Country,IP,PrefixLength,Version
AD,46.172.224.0,19,ipv4
AD,46.175.156.0,22,ipv4
AD,80.80.84.0,22,ipv4
AD,80.80.92.0,22,ipv4
AD,85.94.160.0,19,ipv4
AD,89.150.2.0,23,ipv4
AD,89.150.4.0,22,ipv4
AD,89.150.8.0,21,ipv4
AD,91.187.64.0,19,ipv4
AD,94.125.138.0,23,ipv4
AD,94.125.140.0,23,ipv4
AD,109.111.96.0,19,ipv4
AD,109.175.210.0,24,ipv4
AD,185.4.52.0,22,ipv4
AD,185.33.0.0,22,ipv4
AD,185.87.36.0,22,ipv4
AD,185.87.40.0,22,ipv4
AD,185.87.44.0,22,ipv4
AD,185.132.200.0,22,ipv4
AD,185.194.56.0,22,ipv4
AD,185.247.24.0,22,ipv4
AD,188.241.26.0,23,ipv4
AD,194.158.64.0,19,ipv4
AD,213.236.8.0,21,ipv4
