country,ip,prefixlength,version
AF,23.88.192.0,19,ipv4
AF,36.50.21.0,24,ipv4
AF,43.230.209.0,24,ipv4
AF,43.250.136.0,22,ipv4
AF,45.65.56.0,23,ipv4
AF,45.65.58.0,23,ipv4
AF,45.116.128.0,23,ipv4
AF,45.126.253.0,24,ipv4
AF,58.147.128.0,19,ipv4
AF,59.153.124.0,22,ipv4
AF,61.5.192.0,20,ipv4
AF,64.207.208.0,21,ipv4
AF,64.224.144.0,20,ipv4
AF,74.118.80.0,22,ipv4
AF,91.109.216.0,24,ipv4
AF,91.109.217.0,24,ipv4
AF,91.109.218.0,24,ipv4
AF,91.109.219.0,24,ipv4
AF,91.109.220.0,22,ipv4
AF,103.5.172.0,22,ipv4
AF,103.5.196.0,23,ipv4
AF,103.13.64.0,22,ipv4
AF,103.15.38.0,24,ipv4
AF,103.15.238.0,23,ipv4
AF,103.17.60.0,22,ipv4
AF,103.17.165.0,24,ipv4
AF,103.17.166.0,23,ipv4
AF,103.18.160.0,22,ipv4
AF,103.23.36.0,22,ipv4
AF,103.28.132.0,22,ipv4
AF,103.30.136.0,22,ipv4
AF,103.42.0.0,22,ipv4
AF,103.46.208.0,22,ipv4
AF,103.53.16.0,22,ipv4
AF,103.53.24.0,22,ipv4
AF,103.71.59.0,24,ipv4
AF,103.84.97.0,24,ipv4
AF,103.86.124.0,22,ipv4
AF,103.87.88.0,24,ipv4
AF,103.88.192.0,22,ipv4
AF,103.89.152.0,23,ipv4
AF,103.93.254.0,24,ipv4
AF,103.94.24.0,23,ipv4
AF,103.96.233.0,24,ipv4
AF,103.102.220.0,24,ipv4
AF,103.102.221.0,24,ipv4
AF,103.104.146.0,23,ipv4
AF,103.106.182.0,24,ipv4
AF,103.110.53.0,24,ipv4
AF,103.110.54.0,23,ipv4
AF,103.112.164.0,22,ipv4
AF,103.112.177.0,24,ipv4
AF,103.112.178.0,23,ipv4
AF,103.114.128.0,23,ipv4
AF,103.115.14.0,23,ipv4
AF,103.116.25.0,24,ipv4
AF,103.119.24.0,22,ipv4
AF,103.125.186.0,24,ipv4
AF,103.126.4.0,23,ipv4
AF,103.132.98.0,23,ipv4
AF,103.133.75.0,24,ipv4
AF,103.133.82.0,23,ipv4
AF,103.142.212.0,23,ipv4
AF,103.143.204.0,23,ipv4
AF,103.144.237.0,24,ipv4
AF,103.146.104.0,24,ipv4
AF,103.146.146.0,24,ipv4
AF,103.146.198.0,24,ipv4
AF,103.147.232.0,23,ipv4
AF,103.148.70.0,23,ipv4
AF,103.149.39.0,24,ipv4
AF,103.151.88.0,24,ipv4
AF,103.153.80.0,24,ipv4
AF,103.156.190.0,23,ipv4
AF,103.157.85.0,24,ipv4
AF,103.159.163.0,24,ipv4
AF,103.161.236.0,23,ipv4
AF,103.162.126.0,24,ipv4
AF,103.165.190.0,23,ipv4
AF,103.168.193.0,24,ipv4
AF,103.170.98.0,23,ipv4
AF,103.177.206.0,23,ipv4
AF,103.185.231.0,24,ipv4
AF,103.212.160.0,23,ipv4
AF,103.213.104.0,22,ipv4
AF,103.215.210.0,23,ipv4
AF,103.216.160.0,24,ipv4
AF,103.224.127.0,24,ipv4
AF,103.227.16.0,22,ipv4
AF,103.230.252.0,22,ipv4
AF,103.233.183.0,24,ipv4
AF,103.235.176.0,22,ipv4
AF,103.241.156.0,22,ipv4
AF,103.242.50.0,23,ipv4
AF,103.244.144.0,22,ipv4
AF,103.247.198.0,24,ipv4
AF,103.254.166.0,24,ipv4
AF,103.255.204.0,23,ipv4
AF,111.125.152.0,21,ipv4
AF,116.204.160.0,22,ipv4
AF,116.204.240.0,22,ipv4
AF,116.206.188.0,22,ipv4
AF,117.55.192.0,21,ipv4
AF,117.104.224.0,21,ipv4
AF,119.59.80.0,21,ipv4
AF,121.100.48.0,21,ipv4
AF,121.127.32.0,24,ipv4
AF,121.127.34.0,24,ipv4
AF,121.127.37.0,24,ipv4
AF,121.127.38.0,23,ipv4
AF,125.213.192.0,19,ipv4
AF,137.59.120.0,22,ipv4
AF,149.54.0.0,17,ipv4
AF,152.36.192.0,19,ipv4
AF,157.10.229.0,24,ipv4
AF,163.47.160.0,22,ipv4
AF,175.106.32.0,19,ipv4
AF,180.94.64.0,19,ipv4
AF,180.222.136.0,21,ipv4
AF,185.178.144.0,22,ipv4
AF,185.193.212.0,22,ipv4
AF,202.3.76.0,24,ipv4
AF,203.171.96.0,19,ipv4
AF,203.174.27.0,24,ipv4
AF,203.215.32.0,20,ipv4
AF,223.26.20.0,22,ipv4
