Country,IP,PrefixLength,Version
AG,23.132.144.0,24,ipv4
AG,23.176.240.0,24,ipv4
AG,46.19.184.0,21,ipv4
AG,69.50.64.0,20,ipv4
AG,69.57.224.0,19,ipv4
AG,76.76.160.0,19,ipv4
AG,77.239.224.0,19,ipv4
AG,91.108.0.0,18,ipv4
AG,91.212.88.0,24,ipv4
AG,92.62.48.0,20,ipv4
AG,94.124.176.0,21,ipv4
AG,94.229.96.0,20,ipv4
AG,95.140.80.0,20,ipv4
AG,95.161.0.0,17,ipv4
AG,95.161.128.0,21,ipv4
AG,95.161.136.0,22,ipv4
AG,95.161.240.0,20,ipv4
AG,109.239.128.0,20,ipv4
AG,149.112.100.0,24,ipv4
AG,149.154.160.0,20,ipv4
AG,162.210.156.0,22,ipv4
AG,162.222.84.0,22,ipv4
AG,162.252.188.0,22,ipv4
AG,170.39.108.0,22,ipv4
AG,178.18.224.0,20,ipv4
AG,185.51.60.0,22,ipv4
AG,185.182.12.0,22,ipv4
AG,188.65.64.0,21,ipv4
AG,192.64.120.0,22,ipv4
AG,199.16.56.0,22,ipv4
AG,199.48.204.0,22,ipv4
AG,199.189.112.0,22,ipv4
AG,204.16.112.0,22,ipv4
AG,205.217.224.0,19,ipv4
AG,206.83.13.0,24,ipv4
AG,206.214.0.0,19,ipv4
AG,208.83.80.0,21,ipv4
AG,209.59.64.0,18,ipv4
AG,212.232.64.0,20,ipv4
AG,213.21.0.0,19,ipv4
AG,213.21.48.0,20,ipv4
AG,216.48.96.0,22,ipv4
