Country,IP,PrefixLength,Version
AT,2.56.160.0,22,ipv4
AT,2.56.208.0,22,ipv4
AT,2.57.48.0,22,ipv4
AT,2.57.104.0,22,ipv4
AT,2.57.156.0,22,ipv4
AT,2.57.180.0,22,ipv4
AT,2.57.252.0,22,ipv4
AT,2.58.144.0,23,ipv4
AT,2.58.146.0,23,ipv4
AT,2.58.213.0,24,ipv4
AT,2.59.116.0,24,ipv4
AT,2.59.172.0,22,ipv4
AT,5.11.0.0,21,ipv4
AT,5.44.208.0,21,ipv4
AT,5.45.144.0,22,ipv4
AT,5.104.216.0,21,ipv4
AT,5.132.128.0,18,ipv4
AT,5.159.0.0,21,ipv4
AT,5.180.12.0,22,ipv4
AT,5.180.114.0,24,ipv4
AT,5.181.148.0,22,ipv4
AT,5.181.228.0,22,ipv4
AT,5.183.172.0,24,ipv4
AT,5.183.173.0,24,ipv4
AT,5.183.174.0,23,ipv4
AT,5.183.204.0,22,ipv4
AT,5.183.216.0,22,ipv4
AT,5.183.244.0,22,ipv4
AT,5.187.33.0,24,ipv4
AT,5.198.144.0,20,ipv4
AT,5.206.200.0,21,ipv4
AT,5.252.12.0,22,ipv4
AT,5.253.136.0,22,ipv4
AT,5.253.216.0,22,ipv4
AT,5.254.184.0,21,ipv4
AT,31.7.92.0,22,ipv4
AT,31.12.0.0,21,ipv4
AT,31.14.17.0,24,ipv4
AT,31.193.160.0,21,ipv4
AT,31.214.139.0,24,ipv4
AT,31.217.216.0,21,ipv4
AT,37.10.112.0,24,ipv4
AT,37.16.72.0,24,ipv4
AT,37.44.213.0,24,ipv4
AT,37.44.220.0,22,ipv4
AT,37.61.184.0,21,ipv4
AT,37.75.136.0,21,ipv4
AT,37.98.192.0,21,ipv4
AT,37.122.220.0,22,ipv4
AT,37.143.176.0,20,ipv4
AT,37.153.156.0,23,ipv4
AT,37.186.0.0,22,ipv4
AT,37.186.4.0,24,ipv4
AT,37.186.5.0,24,ipv4
AT,37.186.6.0,23,ipv4
AT,37.186.8.0,21,ipv4
AT,37.186.16.0,21,ipv4
AT,37.235.0.0,21,ipv4
AT,37.235.48.0,20,ipv4
AT,37.252.184.0,21,ipv4
AT,37.252.224.0,19,ipv4
AT,45.8.60.0,22,ipv4
AT,45.9.220.0,22,ipv4
AT,45.10.0.0,22,ipv4
AT,45.10.144.0,22,ipv4
AT,45.12.44.0,22,ipv4
AT,45.12.96.0,22,ipv4
AT,45.12.160.0,22,ipv4
AT,45.12.232.0,22,ipv4
AT,45.13.244.0,22,ipv4
AT,45.14.44.0,22,ipv4
AT,45.15.36.0,22,ipv4
AT,45.15.52.0,22,ipv4
AT,45.67.16.0,22,ipv4
AT,45.67.44.0,22,ipv4
AT,45.67.168.0,22,ipv4
AT,45.80.176.0,22,ipv4
AT,45.81.8.0,22,ipv4
AT,45.81.236.0,22,ipv4
AT,45.81.244.0,22,ipv4
AT,45.82.168.0,22,ipv4
AT,45.82.204.0,22,ipv4
AT,45.83.252.0,22,ipv4
AT,45.84.144.0,22,ipv4
AT,45.84.252.0,22,ipv4
AT,45.85.12.0,22,ipv4
AT,45.85.84.0,22,ipv4
AT,45.85.192.0,22,ipv4
AT,45.86.116.0,22,ipv4
AT,45.86.164.0,22,ipv4
AT,45.86.192.0,22,ipv4
AT,45.87.192.0,22,ipv4
AT,45.87.196.0,22,ipv4
AT,45.88.240.0,22,ipv4
AT,45.89.12.0,22,ipv4
AT,45.90.24.0,22,ipv4
AT,45.90.68.0,22,ipv4
AT,45.90.76.0,22,ipv4
AT,45.91.24.0,22,ipv4
AT,45.91.44.0,22,ipv4
AT,45.91.244.0,22,ipv4
AT,45.91.254.0,23,ipv4
AT,45.92.212.0,22,ipv4
AT,45.93.116.0,22,ipv4
AT,45.93.252.0,22,ipv4
AT,45.94.164.0,22,ipv4
AT,45.95.124.0,22,ipv4
AT,45.95.140.0,22,ipv4
AT,45.95.152.0,22,ipv4
AT,45.128.28.0,22,ipv4
AT,45.128.164.0,22,ipv4
AT,45.128.172.0,22,ipv4
AT,45.129.28.0,22,ipv4
AT,45.130.72.0,22,ipv4
AT,45.130.204.0,22,ipv4
AT,45.131.24.0,22,ipv4
AT,45.131.252.0,22,ipv4
AT,45.132.12.0,22,ipv4
AT,45.132.35.0,24,ipv4
AT,45.132.60.0,22,ipv4
AT,45.133.64.0,22,ipv4
AT,45.133.84.0,22,ipv4
AT,45.134.0.0,22,ipv4
AT,45.134.244.0,22,ipv4
AT,45.135.100.0,22,ipv4
AT,45.135.220.0,22,ipv4
AT,45.136.0.0,22,ipv4
AT,45.136.60.0,22,ipv4
AT,45.137.4.0,22,ipv4
AT,45.137.216.0,22,ipv4
AT,45.138.20.0,22,ipv4
AT,45.138.108.0,22,ipv4
AT,45.138.208.0,22,ipv4
AT,45.139.60.0,22,ipv4
AT,45.140.148.0,22,ipv4
AT,45.141.56.0,22,ipv4
AT,45.141.144.0,22,ipv4
AT,45.141.244.0,22,ipv4
AT,45.142.60.0,22,ipv4
AT,45.142.240.0,22,ipv4
AT,45.143.24.0,22,ipv4
AT,45.143.44.0,22,ipv4
AT,45.143.64.0,22,ipv4
AT,45.144.68.0,22,ipv4
AT,45.144.72.0,22,ipv4
AT,45.144.84.0,22,ipv4
AT,45.144.200.0,22,ipv4
AT,45.144.208.0,22,ipv4
AT,45.145.80.0,22,ipv4
AT,45.145.192.0,22,ipv4
AT,45.146.216.0,22,ipv4
AT,45.147.108.0,22,ipv4
AT,45.148.128.0,22,ipv4
AT,45.149.32.0,22,ipv4
AT,45.149.196.0,22,ipv4
AT,45.150.96.0,22,ipv4
AT,45.151.72.0,22,ipv4
AT,45.151.172.0,22,ipv4
AT,45.151.204.0,22,ipv4
AT,45.152.40.0,22,ipv4
AT,45.152.52.0,22,ipv4
AT,45.153.124.0,22,ipv4
AT,45.153.140.0,22,ipv4
AT,45.153.168.0,22,ipv4
AT,45.155.184.0,22,ipv4
AT,45.155.244.0,22,ipv4
AT,45.156.4.0,22,ipv4
AT,45.156.240.0,22,ipv4
AT,45.158.32.0,22,ipv4
AT,46.17.224.0,21,ipv4
AT,46.20.16.0,20,ipv4
AT,46.57.0.0,17,ipv4
AT,46.74.0.0,15,ipv4
AT,46.102.156.0,23,ipv4
AT,46.124.0.0,15,ipv4
AT,46.151.200.0,21,ipv4
AT,46.183.184.0,22,ipv4
AT,46.183.188.0,22,ipv4
AT,46.206.0.0,15,ipv4
AT,46.220.0.0,16,ipv4
AT,46.243.104.0,21,ipv4
AT,46.245.200.0,21,ipv4
AT,46.247.192.0,19,ipv4
AT,46.251.239.0,24,ipv4
AT,62.3.47.0,24,ipv4
AT,62.13.192.0,19,ipv4
AT,62.40.128.0,17,ipv4
AT,62.46.0.0,15,ipv4
AT,62.68.192.0,19,ipv4
AT,62.93.64.0,18,ipv4
AT,62.99.128.0,17,ipv4
AT,62.116.0.0,19,ipv4
AT,62.116.32.0,19,ipv4
AT,62.116.64.0,19,ipv4
AT,62.116.96.0,19,ipv4
AT,62.122.24.0,22,ipv4
AT,62.140.32.0,19,ipv4
AT,62.178.0.0,16,ipv4
AT,62.212.160.0,19,ipv4
AT,62.218.0.0,16,ipv4
AT,62.240.128.0,19,ipv4
AT,62.249.64.0,18,ipv4
AT,63.247.208.0,20,ipv4
AT,64.34.16.0,22,ipv4
AT,77.72.160.0,21,ipv4
AT,77.74.112.0,21,ipv4
AT,77.75.16.0,21,ipv4
AT,77.75.24.0,21,ipv4
AT,77.80.0.0,17,ipv4
AT,77.83.108.0,22,ipv4
AT,77.83.156.0,22,ipv4
AT,77.116.0.0,14,ipv4
AT,77.220.96.0,20,ipv4
AT,77.220.112.0,22,ipv4
AT,77.220.120.0,21,ipv4
AT,77.223.0.0,22,ipv4
AT,77.235.64.0,20,ipv4
AT,77.235.80.0,21,ipv4
AT,77.235.88.0,22,ipv4
AT,77.235.92.0,23,ipv4
AT,77.235.94.0,24,ipv4
AT,77.235.95.0,24,ipv4
AT,77.237.32.0,20,ipv4
AT,77.237.48.0,21,ipv4
AT,77.237.56.0,21,ipv4
AT,77.242.64.0,20,ipv4
AT,77.243.92.0,22,ipv4
AT,77.244.240.0,20,ipv4
AT,78.40.212.0,22,ipv4
AT,78.41.112.0,21,ipv4
AT,78.41.144.0,21,ipv4
AT,78.104.0.0,16,ipv4
AT,78.132.0.0,17,ipv4
AT,78.138.20.0,22,ipv4
AT,78.142.64.0,23,ipv4
AT,78.142.66.0,23,ipv4
AT,78.142.68.0,22,ipv4
AT,78.142.72.0,21,ipv4
AT,78.142.80.0,20,ipv4
AT,78.142.96.0,20,ipv4
AT,78.142.112.0,22,ipv4
AT,78.142.116.0,23,ipv4
AT,78.142.118.0,23,ipv4
AT,78.142.120.0,23,ipv4
AT,78.142.122.0,23,ipv4
AT,78.142.124.0,22,ipv4
AT,78.142.128.0,18,ipv4
AT,78.152.64.0,19,ipv4
AT,79.143.48.0,20,ipv4
AT,79.170.208.0,21,ipv4
AT,79.174.20.0,22,ipv4
AT,79.174.96.0,19,ipv4
AT,80.64.128.0,21,ipv4
AT,80.64.136.0,22,ipv4
AT,80.64.140.0,22,ipv4
AT,80.66.32.0,20,ipv4
AT,80.66.48.0,20,ipv4
AT,80.68.149.0,24,ipv4
AT,80.75.32.0,20,ipv4
AT,80.75.48.0,20,ipv4
AT,80.75.224.0,20,ipv4
AT,80.75.240.0,20,ipv4
AT,80.80.240.0,20,ipv4
AT,80.89.96.0,20,ipv4
AT,80.92.112.0,20,ipv4
AT,80.93.32.0,20,ipv4
AT,80.108.0.0,15,ipv4
AT,80.110.0.0,16,ipv4
AT,80.120.0.0,14,ipv4
AT,80.240.224.0,20,ipv4
AT,80.241.16.0,20,ipv4
AT,80.243.160.0,20,ipv4
AT,80.243.224.0,22,ipv4
AT,80.245.192.0,20,ipv4
AT,80.249.120.0,22,ipv4
AT,81.3.192.0,18,ipv4
AT,81.5.192.0,18,ipv4
AT,81.10.128.0,17,ipv4
AT,81.16.24.0,22,ipv4
AT,81.16.32.0,20,ipv4
AT,81.16.96.0,21,ipv4
AT,81.16.104.0,21,ipv4
AT,81.16.136.0,22,ipv4
AT,81.16.144.0,20,ipv4
AT,81.19.144.0,20,ipv4
AT,81.21.112.0,20,ipv4
AT,81.25.208.0,20,ipv4
AT,81.28.128.0,20,ipv4
AT,81.92.240.0,22,ipv4
AT,81.94.48.0,22,ipv4
AT,81.94.52.0,23,ipv4
AT,81.94.54.0,24,ipv4
AT,81.94.55.0,24,ipv4
AT,81.94.56.0,21,ipv4
AT,81.161.115.0,24,ipv4
AT,81.173.80.0,23,ipv4
AT,81.189.0.0,16,ipv4
AT,81.217.0.0,16,ipv4
AT,81.223.0.0,16,ipv4
AT,82.103.0.0,18,ipv4
AT,82.149.96.0,19,ipv4
AT,82.150.192.0,19,ipv4
AT,82.192.0.0,19,ipv4
AT,82.194.128.0,19,ipv4
AT,82.218.0.0,16,ipv4
AT,83.64.0.0,15,ipv4
AT,83.68.128.0,19,ipv4
AT,83.136.32.0,21,ipv4
AT,83.137.40.0,21,ipv4
AT,83.137.112.0,21,ipv4
AT,83.138.55.0,24,ipv4
AT,83.164.0.0,16,ipv4
AT,83.172.134.0,23,ipv4
AT,83.172.136.0,24,ipv4
AT,83.172.138.0,23,ipv4
AT,83.172.150.0,23,ipv4
AT,83.172.153.0,24,ipv4
AT,83.172.159.0,24,ipv4
AT,83.172.169.0,24,ipv4
AT,83.175.64.0,18,ipv4
AT,83.215.0.0,16,ipv4
AT,83.216.32.0,19,ipv4
AT,83.216.192.0,20,ipv4
AT,83.216.208.0,20,ipv4
AT,83.218.160.0,19,ipv4
AT,83.219.160.0,19,ipv4
AT,83.229.64.0,24,ipv4
AT,83.229.93.0,24,ipv4
AT,83.229.109.0,24,ipv4
AT,83.243.120.0,22,ipv4
AT,84.20.160.0,19,ipv4
AT,84.38.112.0,20,ipv4
AT,84.39.184.0,21,ipv4
AT,84.112.0.0,14,ipv4
AT,84.242.8.0,21,ipv4
AT,84.247.61.0,24,ipv4
AT,85.13.0.0,18,ipv4
AT,85.31.0.0,19,ipv4
AT,85.90.128.0,19,ipv4
AT,85.118.184.0,21,ipv4
AT,85.124.0.0,14,ipv4
AT,85.158.224.0,21,ipv4
AT,85.159.119.0,24,ipv4
AT,85.193.128.0,20,ipv4
AT,85.193.160.0,20,ipv4
AT,85.193.176.0,20,ipv4
AT,85.199.0.0,18,ipv4
AT,85.208.152.0,22,ipv4
AT,85.208.168.0,22,ipv4
AT,85.209.20.0,22,ipv4
AT,85.209.252.0,22,ipv4
AT,85.232.64.0,19,ipv4
AT,85.233.96.0,19,ipv4
AT,85.236.224.0,19,ipv4
AT,85.237.0.0,19,ipv4
AT,85.238.160.0,19,ipv4
AT,85.255.144.0,20,ipv4
AT,86.56.128.0,17,ipv4
AT,86.59.0.0,17,ipv4
AT,86.62.32.0,22,ipv4
AT,86.106.119.0,24,ipv4
AT,86.106.182.0,23,ipv4
AT,86.107.244.0,23,ipv4
AT,86.109.24.0,21,ipv4
AT,86.111.32.0,21,ipv4
AT,86.111.40.0,22,ipv4
AT,86.111.44.0,22,ipv4
AT,86.111.50.0,23,ipv4
AT,86.111.52.0,23,ipv4
AT,86.111.56.0,22,ipv4
AT,87.120.162.0,23,ipv4
AT,87.236.112.0,21,ipv4
AT,87.239.48.0,22,ipv4
AT,87.243.128.0,18,ipv4
AT,87.247.192.0,19,ipv4
AT,88.116.0.0,15,ipv4
AT,88.133.144.0,21,ipv4
AT,88.133.152.0,22,ipv4
AT,88.151.72.0,21,ipv4
AT,88.218.52.0,22,ipv4
AT,89.16.192.0,19,ipv4
AT,89.26.0.0,17,ipv4
AT,89.31.120.0,22,ipv4
AT,89.31.128.0,21,ipv4
AT,89.35.48.0,23,ipv4
AT,89.37.88.0,22,ipv4
AT,89.37.98.0,23,ipv4
AT,89.39.64.0,23,ipv4
AT,89.40.104.0,23,ipv4
AT,89.41.128.0,21,ipv4
AT,89.42.158.0,23,ipv4
AT,89.46.122.0,24,ipv4
AT,89.46.124.0,24,ipv4
AT,89.46.232.0,21,ipv4
AT,89.104.0.0,19,ipv4
AT,89.105.160.0,19,ipv4
AT,89.106.208.0,21,ipv4
AT,89.144.192.0,18,ipv4
AT,89.185.96.0,19,ipv4
AT,89.188.64.0,21,ipv4
AT,89.207.120.0,21,ipv4
AT,89.207.144.0,22,ipv4
AT,89.249.184.0,21,ipv4
AT,90.146.0.0,16,ipv4
AT,90.152.128.0,17,ipv4
AT,91.112.0.0,14,ipv4
AT,91.118.0.0,15,ipv4
AT,91.132.92.0,22,ipv4
AT,91.133.64.0,18,ipv4
AT,91.135.160.0,20,ipv4
AT,91.141.0.0,17,ipv4
AT,91.142.16.0,20,ipv4
AT,91.143.96.0,20,ipv4
AT,91.186.128.0,19,ipv4
AT,91.188.200.0,22,ipv4
AT,91.189.184.0,22,ipv4
AT,91.192.48.0,22,ipv4
AT,91.194.148.0,24,ipv4
AT,91.194.248.0,23,ipv4
AT,91.195.40.0,23,ipv4
AT,91.195.94.0,23,ipv4
AT,91.195.116.0,23,ipv4
AT,91.195.198.0,23,ipv4
AT,91.195.216.0,24,ipv4
AT,91.196.20.0,22,ipv4
AT,91.198.25.0,24,ipv4
AT,91.198.45.0,24,ipv4
AT,91.198.93.0,24,ipv4
AT,91.198.128.0,24,ipv4
AT,91.198.142.0,24,ipv4
AT,91.198.148.0,24,ipv4
AT,91.198.195.0,24,ipv4
AT,91.198.240.0,24,ipv4
AT,91.199.5.0,24,ipv4
AT,91.199.60.0,24,ipv4
AT,91.199.70.0,24,ipv4
AT,91.199.145.0,24,ipv4
AT,91.199.175.0,24,ipv4
AT,91.199.200.0,24,ipv4
AT,91.201.171.0,24,ipv4
AT,91.202.116.0,22,ipv4
AT,91.204.192.0,22,ipv4
AT,91.204.216.0,22,ipv4
AT,91.206.8.0,23,ipv4
AT,91.206.102.0,23,ipv4
AT,91.206.113.0,24,ipv4
AT,91.206.192.0,23,ipv4
AT,91.206.202.0,23,ipv4
AT,91.206.204.0,23,ipv4
AT,91.206.224.0,23,ipv4
AT,91.206.236.0,23,ipv4
AT,91.206.238.0,23,ipv4
AT,91.207.101.0,24,ipv4
AT,91.207.134.0,23,ipv4
AT,91.208.7.0,24,ipv4
AT,91.208.56.0,24,ipv4
AT,91.208.80.0,24,ipv4
AT,91.208.98.0,24,ipv4
AT,91.208.169.0,24,ipv4
AT,91.208.201.0,24,ipv4
AT,91.208.217.0,24,ipv4
AT,91.209.2.0,24,ipv4
AT,91.209.46.0,24,ipv4
AT,91.209.75.0,24,ipv4
AT,91.209.89.0,24,ipv4
AT,91.209.112.0,24,ipv4
AT,91.209.219.0,24,ipv4
AT,91.210.140.0,22,ipv4
AT,91.210.220.0,22,ipv4
AT,91.211.196.0,22,ipv4
AT,91.211.240.0,22,ipv4
AT,91.212.46.0,24,ipv4
AT,91.212.136.0,24,ipv4
AT,91.212.172.0,24,ipv4
AT,91.212.187.0,24,ipv4
AT,91.213.6.0,24,ipv4
AT,91.213.54.0,24,ipv4
AT,91.213.77.0,24,ipv4
AT,91.213.132.0,24,ipv4
AT,91.213.204.0,24,ipv4
AT,91.213.222.0,24,ipv4
AT,91.213.234.0,24,ipv4
AT,91.215.240.0,22,ipv4
AT,91.216.8.0,24,ipv4
AT,91.216.92.0,24,ipv4
AT,91.216.230.0,24,ipv4
AT,91.216.242.0,24,ipv4
AT,91.216.247.0,24,ipv4
AT,91.216.249.0,24,ipv4
