country,ip,prefixlength,version
AZ,5.10.240.0,20,ipv4
AZ,5.44.32.0,21,ipv4
AZ,5.133.224.0,20,ipv4
AZ,5.134.48.0,20,ipv4
AZ,5.178.0.0,20,ipv4
AZ,5.191.0.0,17,ipv4
AZ,5.191.128.0,18,ipv4
AZ,5.191.192.0,19,ipv4
AZ,5.191.224.0,20,ipv4
AZ,5.191.240.0,20,ipv4
AZ,5.197.0.0,16,ipv4
AZ,5.250.192.0,19,ipv4
AZ,5.252.48.0,22,ipv4
AZ,31.170.224.0,19,ipv4
AZ,31.171.0.0,17,ipv4
AZ,31.222.225.0,24,ipv4
AZ,37.18.58.0,24,ipv4
AZ,37.26.0.0,18,ipv4
AZ,37.32.64.0,20,ipv4
AZ,37.61.0.0,17,ipv4
AZ,37.114.128.0,18,ipv4
AZ,37.128.200.0,21,ipv4
AZ,45.15.43.0,24,ipv4
AZ,45.136.164.0,22,ipv4
AZ,46.18.64.0,21,ipv4
AZ,46.22.224.0,20,ipv4
AZ,46.23.96.0,20,ipv4
AZ,46.28.237.0,24,ipv4
AZ,46.32.160.0,20,ipv4
AZ,46.32.176.0,24,ipv4
AZ,46.32.177.0,24,ipv4
AZ,46.32.178.0,23,ipv4
AZ,46.32.180.0,22,ipv4
AZ,46.32.184.0,21,ipv4
AZ,46.228.176.0,20,ipv4
AZ,62.212.224.0,19,ipv4
AZ,62.217.128.0,19,ipv4
AZ,77.81.56.0,21,ipv4
AZ,77.81.248.0,21,ipv4
AZ,77.244.112.0,20,ipv4
AZ,78.109.48.0,21,ipv4
AZ,78.111.48.0,20,ipv4
AZ,80.69.48.0,20,ipv4
AZ,81.17.80.0,20,ipv4
AZ,81.21.80.0,20,ipv4
AZ,82.194.0.0,19,ipv4
AZ,85.132.0.0,17,ipv4
AZ,85.158.144.0,21,ipv4
AZ,88.151.192.0,21,ipv4
AZ,89.23.124.0,24,ipv4
AZ,89.37.16.0,21,ipv4
AZ,89.37.32.0,21,ipv4
