country,ip,prefixlength,version
BB,23.236.0.0,20,ipv4
BB,64.119.192.0,20,ipv4
BB,65.48.128.0,17,ipv4
BB,69.73.192.0,18,ipv4
BB,69.80.0.0,18,ipv4
BB,72.22.128.0,19,ipv4
BB,72.51.64.0,18,ipv4
BB,104.153.128.0,21,ipv4
BB,104.200.96.0,20,ipv4
BB,104.218.176.0,22,ipv4
BB,162.212.12.0,22,ipv4
BB,162.220.136.0,21,ipv4
BB,162.246.104.0,21,ipv4
BB,192.65.160.0,21,ipv4
BB,192.171.120.0,21,ipv4
BB,192.214.112.0,20,ipv4
BB,192.235.48.0,20,ipv4
BB,196.1.160.0,20,ipv4
BB,196.3.192.0,19,ipv4
BB,198.56.56.0,21,ipv4
BB,198.245.160.0,24,ipv4
BB,198.246.229.0,24,ipv4
BB,198.246.230.0,24,ipv4
BB,199.7.112.0,21,ipv4
BB,199.47.52.0,22,ipv4
BB,199.58.152.0,22,ipv4
BB,199.254.104.0,21,ipv4
BB,200.50.64.0,19,ipv4
BB,205.214.192.0,19,ipv4
BB,216.110.96.0,19,ipv4
