country,ip,prefixlength,version
BF,41.78.48.0,22,ipv4
BF,41.78.52.0,22,ipv4
BF,41.138.96.0,19,ipv4
BF,41.203.224.0,20,ipv4
BF,41.216.144.0,20,ipv4
BF,41.223.232.0,22,ipv4
BF,102.23.0.0,18,ipv4
BF,102.36.164.0,22,ipv4
BF,102.67.96.0,19,ipv4
BF,102.67.172.0,22,ipv4
BF,102.68.32.0,21,ipv4
BF,102.68.100.0,22,ipv4
BF,102.68.125.0,24,ipv4
BF,102.68.188.0,22,ipv4
BF,102.69.152.0,22,ipv4
BF,102.176.176.0,22,ipv4
BF,102.178.0.0,15,ipv4
BF,102.180.0.0,16,ipv4
BF,102.212.160.0,23,ipv4
BF,102.214.40.0,22,ipv4
BF,102.214.64.0,22,ipv4
BF,102.216.120.0,22,ipv4
BF,102.219.0.0,22,ipv4
BF,102.219.92.0,24,ipv4
BF,102.222.56.0,22,ipv4
BF,102.222.120.0,22,ipv4
BF,102.223.102.0,24,ipv4
BF,102.223.174.0,23,ipv4
BF,105.235.176.0,20,ipv4
BF,129.45.128.0,17,ipv4
BF,154.65.60.0,22,ipv4
BF,154.66.160.0,20,ipv4
BF,160.226.184.0,22,ipv4
BF,165.16.208.0,20,ipv4
BF,192.12.116.0,24,ipv4
BF,192.136.55.0,24,ipv4
BF,192.136.56.0,24,ipv4
BF,192.136.57.0,24,ipv4
BF,196.13.207.0,24,ipv4
BF,196.28.240.0,20,ipv4
BF,196.43.247.0,24,ipv4
BF,196.49.19.0,24,ipv4
BF,196.49.74.0,24,ipv4
BF,196.60.76.0,24,ipv4
BF,196.223.47.0,24,ipv4
BF,197.239.64.0,18,ipv4
BF,212.52.128.0,19,ipv4
