Country,IP,PrefixLength,Version
BG,2.56.12.0,22,ipv4
BG,2.56.52.0,22,ipv4
BG,2.58.92.0,24,ipv4
BG,2.58.95.0,24,ipv4
BG,2.59.252.0,22,ipv4
BG,5.32.128.0,22,ipv4
BG,5.32.132.0,22,ipv4
BG,5.53.128.0,17,ipv4
BG,5.61.96.0,20,ipv4
BG,5.104.160.0,19,ipv4
BG,5.133.92.0,22,ipv4
BG,5.149.248.0,21,ipv4
BG,5.181.28.0,22,ipv4
BG,5.181.55.0,24,ipv4
BG,5.181.80.0,22,ipv4
BG,5.182.20.0,22,ipv4
BG,5.183.228.0,22,ipv4
BG,5.252.132.0,22,ipv4
BG,5.253.56.0,22,ipv4
BG,5.253.64.0,22,ipv4
BG,31.10.5.0,24,ipv4
BG,31.13.192.0,23,ipv4
BG,31.13.195.0,24,ipv4
BG,31.13.196.0,22,ipv4
BG,31.13.200.0,21,ipv4
BG,31.13.208.0,23,ipv4
BG,31.13.211.0,24,ipv4
BG,31.13.212.0,24,ipv4
BG,31.13.215.0,24,ipv4
BG,31.13.216.0,21,ipv4
BG,31.13.224.0,22,ipv4
BG,31.13.228.0,23,ipv4
BG,31.13.230.0,23,ipv4
BG,31.13.232.0,21,ipv4
BG,31.13.240.0,21,ipv4
BG,31.13.248.0,24,ipv4
BG,31.41.16.0,22,ipv4
BG,31.41.20.0,22,ipv4
BG,31.169.124.0,22,ipv4
BG,31.193.189.0,24,ipv4
BG,31.210.170.0,23,ipv4
BG,31.210.172.0,23,ipv4
BG,31.211.128.0,19,ipv4
BG,37.60.136.0,24,ipv4
BG,37.60.137.0,24,ipv4
BG,37.60.138.0,23,ipv4
BG,37.60.140.0,23,ipv4
BG,37.60.143.0,24,ipv4
BG,37.63.0.0,17,ipv4
BG,37.72.130.0,24,ipv4
BG,37.130.240.0,21,ipv4
BG,37.139.128.0,24,ipv4
BG,37.139.130.0,24,ipv4
BG,37.143.192.0,18,ipv4
BG,37.157.136.0,21,ipv4
BG,37.157.160.0,19,ipv4
BG,37.209.168.0,21,ipv4
BG,45.8.72.0,23,ipv4
BG,45.8.92.0,22,ipv4
BG,45.9.156.0,22,ipv4
BG,45.9.208.0,22,ipv4
BG,45.10.188.0,22,ipv4
BG,45.12.253.0,24,ipv4
BG,45.12.254.0,23,ipv4
BG,45.14.164.0,22,ipv4
BG,45.15.180.0,22,ipv4
BG,45.65.68.0,22,ipv4
BG,45.66.44.0,22,ipv4
BG,45.66.228.0,24,ipv4
BG,45.66.230.0,23,ipv4
BG,45.67.15.0,24,ipv4
BG,45.67.88.0,22,ipv4
BG,45.81.36.0,24,ipv4
BG,45.81.38.0,23,ipv4
BG,45.81.176.0,22,ipv4
BG,45.81.240.0,24,ipv4
BG,45.81.243.0,24,ipv4
BG,45.83.216.0,22,ipv4
BG,45.83.248.0,22,ipv4
BG,45.84.88.0,22,ipv4
BG,45.84.172.0,22,ipv4
BG,45.84.184.0,22,ipv4
BG,45.84.192.0,22,ipv4
BG,45.84.220.0,22,ipv4
BG,45.87.160.0,22,ipv4
BG,45.88.64.0,24,ipv4
BG,45.88.66.0,23,ipv4
BG,45.88.88.0,22,ipv4
BG,45.89.244.0,22,ipv4
BG,45.90.88.0,22,ipv4
BG,45.91.192.0,22,ipv4
BG,45.95.0.0,22,ipv4
BG,45.128.4.0,22,ipv4
BG,45.128.88.0,22,ipv4
BG,45.128.96.0,23,ipv4
BG,45.128.98.0,24,ipv4
BG,45.128.99.0,24,ipv4
BG,45.128.232.0,22,ipv4
BG,45.129.85.0,24,ipv4
BG,45.129.86.0,23,ipv4
BG,45.133.92.0,22,ipv4
BG,45.133.100.0,22,ipv4
BG,45.133.251.0,24,ipv4
BG,45.137.220.0,22,ipv4
BG,45.139.104.0,23,ipv4
BG,45.139.106.0,24,ipv4
BG,45.139.123.0,24,ipv4
BG,45.141.156.0,22,ipv4
BG,45.141.232.0,22,ipv4
BG,45.142.128.0,22,ipv4
BG,45.144.154.0,23,ipv4
BG,45.146.140.0,22,ipv4
BG,45.149.124.0,22,ipv4
BG,45.149.234.0,23,ipv4
BG,45.149.240.0,24,ipv4
BG,45.149.242.0,23,ipv4
BG,45.151.89.0,24,ipv4
BG,45.151.90.0,23,ipv4
BG,45.153.108.0,22,ipv4
BG,45.154.76.0,22,ipv4
BG,45.154.176.0,22,ipv4
BG,45.158.28.0,22,ipv4
BG,45.158.160.0,22,ipv4
BG,46.10.0.0,16,ipv4
BG,46.16.192.0,21,ipv4
BG,46.28.234.0,24,ipv4
BG,46.35.160.0,19,ipv4
BG,46.40.64.0,18,ipv4
BG,46.47.64.0,18,ipv4
BG,46.55.128.0,18,ipv4
BG,46.55.192.0,19,ipv4
BG,46.55.224.0,20,ipv4
BG,46.55.240.0,21,ipv4
BG,46.55.248.0,22,ipv4
BG,46.55.252.0,22,ipv4
BG,46.229.192.0,20,ipv4
BG,46.229.246.0,24,ipv4
BG,46.229.247.0,24,ipv4
BG,46.232.152.0,21,ipv4
BG,46.233.0.0,18,ipv4
BG,46.237.64.0,18,ipv4
BG,46.238.0.0,18,ipv4
BG,46.245.237.0,24,ipv4
BG,46.245.238.0,24,ipv4
BG,46.249.64.0,19,ipv4
BG,46.252.48.0,20,ipv4
BG,46.253.0.0,21,ipv4
BG,46.253.8.0,21,ipv4
BG,46.253.134.0,24,ipv4
BG,46.254.128.0,21,ipv4
BG,62.3.39.0,24,ipv4
BG,62.44.96.0,19,ipv4
BG,62.68.70.0,24,ipv4
BG,62.68.90.0,24,ipv4
BG,62.73.64.0,18,ipv4
BG,62.133.59.0,24,ipv4
BG,62.176.64.0,19,ipv4
BG,62.176.96.0,19,ipv4
BG,62.182.112.0,21,ipv4
BG,62.192.132.0,22,ipv4
BG,62.204.42.0,24,ipv4
BG,62.204.128.0,19,ipv4
BG,62.221.128.0,19,ipv4
BG,62.233.37.0,24,ipv4
BG,77.70.0.0,17,ipv4
BG,77.71.0.0,17,ipv4
BG,77.76.0.0,20,ipv4
BG,77.76.16.0,20,ipv4
BG,77.76.32.0,19,ipv4
BG,77.76.128.0,18,ipv4
BG,77.77.0.0,18,ipv4
BG,77.78.0.0,18,ipv4
BG,77.78.128.0,20,ipv4
BG,77.78.144.0,24,ipv4
BG,77.78.145.0,24,ipv4
BG,77.78.146.0,23,ipv4
BG,77.78.148.0,23,ipv4
BG,77.78.150.0,24,ipv4
BG,77.78.151.0,24,ipv4
BG,77.78.152.0,21,ipv4
BG,77.83.196.0,22,ipv4
BG,77.85.0.0,16,ipv4
BG,77.95.232.0,23,ipv4
BG,77.111.64.0,20,ipv4
BG,77.111.80.0,22,ipv4
BG,77.111.84.0,22,ipv4
BG,77.220.196.0,22,ipv4
BG,77.236.160.0,19,ipv4
BG,77.238.64.0,19,ipv4
BG,77.244.192.0,20,ipv4
BG,77.246.208.0,23,ipv4
BG,77.246.210.0,24,ipv4
BG,77.246.211.0,24,ipv4
BG,77.246.212.0,22,ipv4
BG,77.246.216.0,22,ipv4
BG,77.246.220.0,22,ipv4
BG,78.40.136.0,21,ipv4
BG,78.83.0.0,16,ipv4
BG,78.90.0.0,16,ipv4
BG,78.108.240.0,23,ipv4
BG,78.108.242.0,24,ipv4
BG,78.108.243.0,24,ipv4
BG,78.108.244.0,22,ipv4
BG,78.108.248.0,23,ipv4
BG,78.108.250.0,23,ipv4
BG,78.108.252.0,22,ipv4
BG,78.128.0.0,23,ipv4
BG,78.128.2.0,23,ipv4
BG,78.128.4.0,22,ipv4
BG,78.128.8.0,23,ipv4
BG,78.128.10.0,23,ipv4
BG,78.128.12.0,22,ipv4
BG,78.128.16.0,20,ipv4
BG,78.128.32.0,22,ipv4
BG,78.128.36.0,22,ipv4
BG,78.128.40.0,23,ipv4
BG,78.128.42.0,23,ipv4
BG,78.128.44.0,22,ipv4
BG,78.128.48.0,22,ipv4
BG,78.128.52.0,22,ipv4
BG,78.128.56.0,22,ipv4
BG,78.128.60.0,22,ipv4
BG,78.128.64.0,23,ipv4
BG,78.128.66.0,23,ipv4
BG,78.128.68.0,22,ipv4
BG,78.128.72.0,23,ipv4
BG,78.128.74.0,23,ipv4
BG,78.128.76.0,22,ipv4
BG,78.128.80.0,23,ipv4
BG,78.128.82.0,23,ipv4
BG,78.128.84.0,22,ipv4
BG,78.128.88.0,22,ipv4
BG,78.128.92.0,22,ipv4
BG,78.128.96.0,23,ipv4
BG,78.128.98.0,23,ipv4
BG,78.128.100.0,22,ipv4
BG,78.128.104.0,22,ipv4
BG,78.128.108.0,22,ipv4
BG,78.128.112.0,23,ipv4
BG,78.128.114.0,24,ipv4
BG,78.128.115.0,24,ipv4
BG,78.128.116.0,23,ipv4
BG,78.128.118.0,23,ipv4
BG,78.128.120.0,22,ipv4
BG,78.128.124.0,22,ipv4
BG,78.130.128.0,17,ipv4
BG,78.142.0.0,21,ipv4
BG,78.142.8.0,24,ipv4
BG,78.142.9.0,24,ipv4
BG,78.142.10.0,23,ipv4
BG,78.142.12.0,22,ipv4
BG,78.142.16.0,21,ipv4
BG,78.142.24.0,22,ipv4
BG,78.142.28.0,23,ipv4
BG,78.142.30.0,23,ipv4
BG,78.142.32.0,19,ipv4
BG,78.154.0.0,20,ipv4
BG,78.154.16.0,21,ipv4
BG,78.154.24.0,21,ipv4
BG,78.159.128.0,22,ipv4
BG,78.159.136.0,22,ipv4
BG,78.159.149.0,24,ipv4
BG,78.159.150.0,24,ipv4
BG,78.159.152.0,21,ipv4
BG,79.98.104.0,21,ipv4
BG,79.100.0.0,16,ipv4
BG,79.110.48.0,22,ipv4
BG,79.110.61.0,24,ipv4
BG,79.110.62.0,23,ipv4
BG,79.110.112.0,21,ipv4
BG,79.110.120.0,21,ipv4
BG,79.110.164.0,22,ipv4
BG,79.124.0.0,18,ipv4
BG,79.124.64.0,20,ipv4
BG,79.124.80.0,22,ipv4
BG,79.124.84.0,24,ipv4
BG,79.124.85.0,24,ipv4
BG,79.124.86.0,23,ipv4
BG,79.124.88.0,21,ipv4
BG,79.132.0.0,19,ipv4
BG,79.134.48.0,20,ipv4
BG,79.134.160.0,19,ipv4
BG,79.141.160.0,20,ipv4
BG,80.68.159.0,24,ipv4
BG,80.72.64.0,24,ipv4
BG,80.72.65.0,24,ipv4
BG,80.72.66.0,24,ipv4
BG,80.72.67.0,24,ipv4
BG,80.72.68.0,23,ipv4
BG,80.72.70.0,23,ipv4
BG,80.72.72.0,24,ipv4
BG,80.72.73.0,24,ipv4
BG,80.72.74.0,24,ipv4
BG,80.72.75.0,24,ipv4
BG,80.72.76.0,24,ipv4
BG,80.72.77.0,24,ipv4
BG,80.72.78.0,24,ipv4
BG,80.72.79.0,24,ipv4
BG,80.72.80.0,24,ipv4
BG,80.72.81.0,24,ipv4
BG,80.72.82.0,24,ipv4
BG,80.72.83.0,24,ipv4
BG,80.72.84.0,22,ipv4
BG,80.72.88.0,22,ipv4
BG,80.72.92.0,23,ipv4
BG,80.72.94.0,24,ipv4
BG,80.72.95.0,24,ipv4
BG,80.75.211.0,24,ipv4
BG,80.76.48.0,22,ipv4
BG,80.78.224.0,20,ipv4
BG,80.80.128.0,20,ipv4
BG,80.80.144.0,20,ipv4
