Country,IP,PrefixLength,Version
BH,31.217.249.0,24,ipv4
BH,37.131.0.0,17,ipv4
BH,45.11.72.0,22,ipv4
BH,46.42.64.0,18,ipv4
BH,46.184.128.0,17,ipv4
BH,46.235.208.0,21,ipv4
BH,62.209.0.0,19,ipv4
BH,77.69.128.0,17,ipv4
BH,77.83.88.0,22,ipv4
BH,77.92.160.0,19,ipv4
BH,78.110.64.0,20,ipv4
BH,79.171.240.0,21,ipv4
BH,80.88.240.0,20,ipv4
BH,80.95.208.0,20,ipv4
BH,80.241.144.0,20,ipv4
BH,81.22.16.0,20,ipv4
BH,82.194.32.0,19,ipv4
BH,83.136.56.0,21,ipv4
BH,84.255.128.0,18,ipv4
BH,85.158.128.0,21,ipv4
BH,87.236.48.0,21,ipv4
BH,87.236.136.0,21,ipv4
BH,87.237.192.0,21,ipv4
BH,87.252.96.0,21,ipv4
BH,87.252.104.0,23,ipv4
BH,87.252.126.0,23,ipv4
BH,88.201.0.0,17,ipv4
BH,89.31.192.0,21,ipv4
BH,89.148.0.0,18,ipv4
BH,91.189.188.0,22,ipv4
BH,93.188.192.0,21,ipv4
BH,94.76.0.0,18,ipv4
BH,94.79.192.0,18,ipv4
BH,95.84.64.0,18,ipv4
BH,109.63.0.0,17,ipv4
BH,109.161.128.0,17,ipv4
BH,143.223.179.0,24,ipv4
BH,178.132.32.0,20,ipv4
BH,185.3.120.0,22,ipv4
BH,185.7.8.0,22,ipv4
BH,185.33.176.0,22,ipv4
BH,185.34.228.0,22,ipv4
BH,185.36.88.0,22,ipv4
BH,185.49.160.0,22,ipv4
BH,185.143.124.0,22,ipv4
BH,185.156.236.0,22,ipv4
BH,185.165.176.0,22,ipv4
BH,185.236.132.0,22,ipv4
BH,188.116.192.0,18,ipv4
BH,188.137.128.0,18,ipv4
BH,188.137.224.0,19,ipv4
BH,193.25.204.0,24,ipv4
BH,193.188.12.0,23,ipv4
BH,193.188.96.0,19,ipv4
BH,217.17.224.0,20,ipv4
BH,217.17.240.0,20,ipv4
