country,ip,prefixlength,version
BJ,41.74.0.0,20,ipv4
BJ,41.79.216.0,22,ipv4
BJ,41.85.160.0,19,ipv4
BJ,41.86.224.0,19,ipv4
BJ,41.138.88.0,22,ipv4
BJ,41.191.84.0,22,ipv4
BJ,41.216.32.0,19,ipv4
BJ,41.222.192.0,22,ipv4
BJ,41.223.248.0,22,ipv4
BJ,45.221.224.0,19,ipv4
BJ,81.91.224.0,20,ipv4
BJ,102.38.128.0,19,ipv4
BJ,102.213.224.0,22,ipv4
BJ,102.214.143.0,24,ipv4
BJ,102.214.247.0,24,ipv4
BJ,102.215.88.0,22,ipv4
BJ,102.215.93.0,24,ipv4
BJ,102.215.124.0,22,ipv4
BJ,102.215.136.0,22,ipv4
BJ,102.216.164.0,22,ipv4
BJ,102.222.216.0,22,ipv4
BJ,137.255.0.0,16,ipv4
BJ,154.65.28.0,22,ipv4
BJ,154.66.128.0,20,ipv4
BJ,154.127.32.0,20,ipv4
BJ,156.0.212.0,22,ipv4
BJ,160.119.144.0,22,ipv4
BJ,164.160.140.0,22,ipv4
BJ,196.49.8.0,24,ipv4
BJ,196.192.16.0,20,ipv4
BJ,196.223.40.0,24,ipv4
BJ,196.251.152.0,22,ipv4
BJ,197.234.216.0,21,ipv4
