country,ip,prefixlength,version
BM,31.47.88.0,21,ipv4
BM,45.42.144.0,22,ipv4
BM,64.37.32.0,20,ipv4
BM,64.147.80.0,20,ipv4
BM,66.55.112.0,20,ipv4
BM,66.97.172.0,23,ipv4
BM,69.17.192.0,19,ipv4
BM,69.48.140.0,24,ipv4
BM,74.114.240.0,22,ipv4
BM,76.8.32.0,20,ipv4
BM,83.229.103.0,24,ipv4
BM,83.229.108.0,24,ipv4
BM,83.229.111.0,24,ipv4
BM,104.218.168.0,21,ipv4
BM,142.54.192.0,21,ipv4
BM,162.219.233.0,24,ipv4
BM,162.221.212.0,22,ipv4
BM,162.255.216.0,21,ipv4
BM,185.198.104.0,22,ipv4
BM,192.40.84.0,22,ipv4
BM,192.156.199.0,24,ipv4
BM,192.219.29.0,24,ipv4
BM,196.1.107.0,24,ipv4
BM,196.12.64.0,18,ipv4
BM,198.182.170.0,24,ipv4
BM,198.186.235.0,24,ipv4
BM,198.187.171.0,24,ipv4
BM,198.207.16.0,21,ipv4
BM,199.15.228.0,22,ipv4
BM,199.16.248.0,22,ipv4
BM,199.27.70.0,23,ipv4
BM,199.68.192.0,22,ipv4
BM,199.87.170.0,23,ipv4
BM,199.96.64.0,22,ipv4
BM,199.193.228.0,22,ipv4
BM,200.1.160.0,24,ipv4
BM,200.10.165.0,24,ipv4
BM,200.10.166.0,24,ipv4
BM,204.13.24.0,21,ipv4
BM,205.211.8.0,23,ipv4
BM,206.53.176.0,20,ipv4
BM,206.188.128.0,19,ipv4
BM,207.2.96.0,21,ipv4
BM,207.228.128.0,18,ipv4
BM,208.64.0.0,23,ipv4
BM,208.64.6.0,23,ipv4
BM,208.75.200.0,22,ipv4
BM,208.82.164.0,22,ipv4
BM,208.89.228.0,22,ipv4
BM,209.240.32.0,20,ipv4
BM,216.249.32.0,20,ipv4
