country,ip,prefixlength,version
BN,43.225.40.0,22,ipv4
BN,43.225.136.0,22,ipv4
BN,43.251.128.0,22,ipv4
BN,45.126.140.0,22,ipv4
BN,45.127.140.0,22,ipv4
BN,58.97.144.0,20,ipv4
BN,61.6.192.0,18,ipv4
BN,103.4.188.0,22,ipv4
BN,103.12.208.0,23,ipv4
BN,103.16.120.0,22,ipv4
BN,103.17.24.0,22,ipv4
BN,103.18.172.0,22,ipv4
BN,103.20.24.0,22,ipv4
BN,103.42.208.0,22,ipv4
BN,103.139.109.0,24,ipv4
BN,103.162.82.0,24,ipv4
BN,103.170.170.0,24,ipv4
BN,103.224.96.0,22,ipv4
BN,103.230.64.0,22,ipv4
BN,118.103.248.0,21,ipv4
BN,119.160.128.0,18,ipv4
BN,139.5.184.0,22,ipv4
BN,156.31.0.0,16,ipv4
BN,158.161.0.0,16,ipv4
BN,185.8.100.0,22,ipv4
BN,185.100.40.0,22,ipv4
BN,192.94.122.0,24,ipv4
BN,195.128.4.0,22,ipv4
BN,202.12.26.0,24,ipv4
BN,202.59.230.0,24,ipv4
BN,202.86.24.0,21,ipv4
BN,202.90.36.0,24,ipv4
BN,202.93.208.0,20,ipv4
BN,202.152.64.0,19,ipv4
BN,202.160.0.0,21,ipv4
BN,202.160.8.0,21,ipv4
BN,202.160.16.0,20,ipv4
BN,202.160.32.0,20,ipv4
