Country,IP,PrefixLength,Version
BO,45.4.98.0,23,ipv4
BO,45.5.13.0,24,ipv4
BO,45.68.0.0,22,ipv4
BO,45.70.180.0,22,ipv4
BO,45.163.18.0,23,ipv4
BO,45.183.184.0,22,ipv4
BO,45.225.75.0,24,ipv4
BO,45.226.32.0,22,ipv4
BO,45.229.195.0,24,ipv4
BO,45.229.244.0,23,ipv4
BO,45.232.46.0,23,ipv4
BO,45.236.192.0,22,ipv4
BO,131.0.0.0,22,ipv4
BO,131.0.196.0,22,ipv4
BO,132.251.224.0,19,ipv4
BO,138.36.76.0,22,ipv4
BO,143.0.101.0,24,ipv4
BO,143.137.112.0,22,ipv4
BO,143.137.228.0,22,ipv4
BO,160.20.225.0,24,ipv4
BO,161.22.128.0,17,ipv4
BO,161.56.0.0,16,ipv4
BO,161.138.0.0,16,ipv4
BO,166.114.0.0,16,ipv4
BO,167.157.0.0,16,ipv4
BO,167.250.135.0,24,ipv4
BO,168.197.240.0,22,ipv4
BO,168.205.96.0,22,ipv4
BO,168.228.132.0,22,ipv4
BO,170.82.244.0,23,ipv4
BO,170.239.120.0,22,ipv4
BO,170.245.35.0,24,ipv4
BO,170.247.160.0,22,ipv4
BO,177.222.32.0,19,ipv4
BO,177.222.96.0,19,ipv4
BO,179.0.30.0,24,ipv4
BO,179.42.80.0,22,ipv4
BO,179.58.0.0,16,ipv4
BO,179.59.0.0,16,ipv4
BO,179.60.112.0,20,ipv4
BO,181.114.64.0,19,ipv4
BO,181.114.96.0,19,ipv4
BO,181.114.160.0,19,ipv4
BO,181.115.128.0,17,ipv4
BO,181.177.128.0,18,ipv4
BO,181.188.128.0,18,ipv4
BO,181.191.68.0,22,ipv4
BO,181.227.0.0,16,ipv4
BO,186.0.156.0,22,ipv4
BO,186.2.0.0,18,ipv4
BO,186.2.64.0,18,ipv4
BO,186.27.0.0,18,ipv4
BO,186.27.64.0,18,ipv4
BO,186.121.192.0,18,ipv4
BO,186.195.247.0,24,ipv4
BO,187.102.200.0,22,ipv4
BO,190.0.248.0,21,ipv4
BO,190.3.184.0,21,ipv4
BO,190.11.64.0,20,ipv4
BO,190.11.80.0,20,ipv4
BO,190.14.64.0,18,ipv4
BO,190.52.48.0,21,ipv4
BO,190.99.92.0,22,ipv4
BO,190.103.64.0,20,ipv4
BO,190.104.0.0,19,ipv4
BO,190.106.240.0,20,ipv4
BO,190.107.32.0,20,ipv4
BO,190.107.48.0,20,ipv4
BO,190.109.224.0,19,ipv4
BO,190.111.152.0,22,ipv4
BO,190.111.178.0,24,ipv4
BO,190.129.0.0,17,ipv4
BO,190.129.128.0,17,ipv4
BO,190.171.192.0,18,ipv4
BO,190.180.0.0,17,ipv4
BO,190.181.0.0,18,ipv4
BO,190.186.0.0,18,ipv4
BO,190.186.64.0,18,ipv4
BO,190.186.128.0,18,ipv4
BO,190.186.192.0,18,ipv4
BO,190.211.224.0,20,ipv4
BO,191.241.62.0,23,ipv4
BO,192.223.64.0,18,ipv4
BO,192.245.121.0,24,ipv4
BO,200.7.160.0,20,ipv4
BO,200.9.165.0,24,ipv4
BO,200.9.166.0,23,ipv4
BO,200.9.168.0,24,ipv4
BO,200.10.156.0,23,ipv4
BO,200.12.248.0,21,ipv4
BO,200.13.152.0,21,ipv4
BO,200.33.113.0,24,ipv4
BO,200.58.64.0,20,ipv4
BO,200.58.80.0,20,ipv4
BO,200.58.160.0,20,ipv4
BO,200.58.176.0,20,ipv4
BO,200.73.96.0,21,ipv4
BO,200.75.160.0,20,ipv4
BO,200.85.128.0,21,ipv4
BO,200.85.140.0,22,ipv4
BO,200.85.144.0,21,ipv4
BO,200.87.0.0,17,ipv4
BO,200.87.128.0,17,ipv4
BO,200.90.144.0,21,ipv4
BO,200.105.128.0,19,ipv4
BO,200.105.160.0,19,ipv4
BO,200.105.192.0,19,ipv4
BO,200.106.244.0,23,ipv4
BO,200.107.240.0,21,ipv4
BO,200.110.48.0,20,ipv4
BO,200.119.192.0,20,ipv4
BO,200.119.208.0,20,ipv4
BO,201.131.41.0,24,ipv4
BO,201.131.45.0,24,ipv4
BO,201.150.160.0,19,ipv4
BO,201.222.64.0,19,ipv4
BO,201.222.96.0,19,ipv4
