country,ip,prefixlength,version
BS,23.185.48.0,24,ipv4
BS,23.190.112.0,24,ipv4
BS,24.51.64.0,18,ipv4
BS,24.206.0.0,19,ipv4
BS,24.231.32.0,19,ipv4
BS,24.244.128.0,18,ipv4
BS,64.66.0.0,20,ipv4
BS,64.150.192.0,18,ipv4
BS,65.75.64.0,18,ipv4
BS,66.85.2.0,24,ipv4
BS,66.226.160.0,19,ipv4
BS,69.4.160.0,20,ipv4
BS,104.166.32.0,20,ipv4
BS,108.60.224.0,19,ipv4
BS,141.193.84.0,22,ipv4
BS,161.199.175.0,24,ipv4
BS,165.140.144.0,22,ipv4
BS,170.117.211.0,24,ipv4
BS,192.231.36.0,24,ipv4
BS,199.102.188.0,22,ipv4
BS,204.236.64.0,18,ipv4
BS,208.87.32.0,21,ipv4
BS,209.126.78.0,24,ipv4
BS,216.137.0.0,20,ipv4
BS,216.181.104.0,23,ipv4
