country,ip,prefixlength,version
BT,36.50.37.0,24,ipv4
BT,43.229.124.0,22,ipv4
BT,43.230.208.0,24,ipv4
BT,43.241.136.0,22,ipv4
BT,45.64.248.0,22,ipv4
BT,103.7.252.0,22,ipv4
BT,103.29.224.0,22,ipv4
BT,103.71.40.0,22,ipv4
BT,103.78.111.0,24,ipv4
BT,103.78.116.0,23,ipv4
BT,103.80.108.0,22,ipv4
BT,103.97.87.0,24,ipv4
BT,103.117.80.0,24,ipv4
BT,103.119.126.0,24,ipv4
BT,103.127.254.0,24,ipv4
BT,103.129.62.0,23,ipv4
BT,103.133.216.0,22,ipv4
BT,103.151.231.0,24,ipv4
BT,103.161.248.0,23,ipv4
BT,103.166.42.0,23,ipv4
BT,103.179.206.0,23,ipv4
BT,103.197.176.0,22,ipv4
BT,103.234.126.0,23,ipv4
BT,103.245.240.0,22,ipv4
BT,103.252.84.0,24,ipv4
BT,118.103.136.0,21,ipv4
BT,119.2.96.0,19,ipv4
BT,157.10.120.0,23,ipv4
BT,157.10.122.0,23,ipv4
BT,157.10.124.0,23,ipv4
BT,157.10.126.0,23,ipv4
BT,157.10.128.0,23,ipv4
BT,157.10.136.0,23,ipv4
BT,157.10.138.0,23,ipv4
BT,157.10.140.0,23,ipv4
BT,157.10.142.0,23,ipv4
BT,157.10.144.0,23,ipv4
BT,157.10.146.0,23,ipv4
BT,202.89.24.0,21,ipv4
BT,202.144.128.0,19,ipv4
BT,220.158.236.0,22,ipv4
