Country,IP,PrefixLength,Version
BW,41.74.48.0,20,ipv4
BW,41.75.0.0,20,ipv4
BW,41.76.240.0,21,ipv4
BW,41.77.88.0,21,ipv4
BW,41.79.32.0,22,ipv4
BW,41.79.136.0,22,ipv4
BW,41.87.160.0,19,ipv4
BW,41.138.72.0,21,ipv4
BW,41.190.244.0,22,ipv4
BW,41.191.64.0,22,ipv4
BW,41.191.216.0,22,ipv4
BW,41.216.208.0,21,ipv4
BW,41.223.72.0,22,ipv4
BW,41.223.140.0,22,ipv4
BW,41.223.192.0,22,ipv4
BW,83.143.24.0,21,ipv4
BW,102.134.84.0,22,ipv4
BW,102.134.160.0,20,ipv4
BW,102.141.112.0,21,ipv4
BW,102.165.128.0,19,ipv4
BW,102.205.122.0,24,ipv4
BW,102.207.236.0,22,ipv4
BW,102.208.32.0,22,ipv4
BW,102.208.192.0,22,ipv4
BW,102.210.158.0,24,ipv4
BW,102.210.252.0,24,ipv4
BW,102.211.140.0,22,ipv4
BW,102.214.126.0,24,ipv4
BW,102.215.0.0,22,ipv4
BW,102.219.75.0,24,ipv4
BW,102.219.206.0,24,ipv4
BW,102.222.8.0,22,ipv4
BW,102.222.48.0,22,ipv4
BW,102.222.173.0,24,ipv4
BW,105.235.240.0,20,ipv4
BW,129.205.192.0,18,ipv4
BW,154.0.16.0,21,ipv4
BW,154.70.144.0,21,ipv4
BW,154.73.36.0,22,ipv4
BW,154.73.84.0,22,ipv4
BW,156.38.4.0,22,ipv4
BW,156.38.16.0,20,ipv4
BW,168.167.0.0,16,ipv4
BW,169.255.80.0,22,ipv4
BW,196.2.2.0,24,ipv4
BW,196.45.164.0,22,ipv4
BW,196.49.24.0,24,ipv4
BW,196.60.4.0,24,ipv4
BW,196.61.208.0,21,ipv4
BW,196.216.163.0,24,ipv4
BW,197.231.192.0,22,ipv4
