country,ip,prefixlength,version
CG,197.255.176.0,20,ipv4
CG,197.214.128.0,17,ipv4
CG,197.157.252.0,22,ipv4
CG,197.149.136.0,22,ipv4
CG,196.223.32.0,24,ipv4
CG,196.60.56.0,24,ipv4
CG,196.49.60.0,24,ipv4
CG,196.49.56.0,24,ipv4
CG,196.43.240.0,24,ipv4
CG,169.255.120.0,22,ipv4
CG,169.255.72.0,22,ipv4
CG,164.160.16.0,22,ipv4
CG,160.113.0.0,16,ipv4
CG,102.223.220.0,22,ipv4
CG,102.220.244.0,22,ipv4
CG,102.213.232.0,22,ipv4
CG,102.209.72.0,22,ipv4
CG,102.141.0.0,18,ipv4
CG,102.129.64.0,19,ipv4
CG,102.64.116.0,22,ipv4
CG,41.75.64.0,20,ipv4
