Country,IP,PrefixLength,Version
CO,24.152.56.0,24,ipv4
CO,24.152.58.0,24,ipv4
CO,24.152.59.0,24,ipv4
CO,45.5.160.0,22,ipv4
CO,45.5.164.0,22,ipv4
CO,45.5.172.0,22,ipv4
CO,45.5.180.0,22,ipv4
CO,45.5.184.0,22,ipv4
CO,45.5.188.0,22,ipv4
CO,45.7.132.0,22,ipv4
CO,45.65.136.0,22,ipv4
CO,45.65.200.0,24,ipv4
CO,45.65.232.0,22,ipv4
CO,45.68.24.0,22,ipv4
CO,45.68.28.0,22,ipv4
CO,45.68.32.0,24,ipv4
CO,45.68.36.0,22,ipv4
CO,45.70.168.0,22,ipv4
CO,45.71.7.0,24,ipv4
CO,45.71.180.0,22,ipv4
CO,45.127.192.0,22,ipv4
CO,45.162.0.0,22,ipv4
CO,45.162.76.0,22,ipv4
CO,45.162.82.0,23,ipv4
CO,45.162.84.0,24,ipv4
CO,45.162.85.0,24,ipv4
CO,45.162.126.0,24,ipv4
CO,45.163.28.0,23,ipv4
CO,45.163.30.0,24,ipv4
CO,45.167.124.0,23,ipv4
CO,45.167.126.0,24,ipv4
CO,45.167.248.0,22,ipv4
CO,45.168.104.0,22,ipv4
CO,45.169.98.0,23,ipv4
CO,45.169.253.0,24,ipv4
CO,45.170.124.0,22,ipv4
CO,45.170.132.0,22,ipv4
CO,45.170.240.0,22,ipv4
CO,45.171.118.0,24,ipv4
CO,45.171.180.0,22,ipv4
CO,45.172.178.0,24,ipv4
CO,45.172.179.0,24,ipv4
CO,45.172.184.0,22,ipv4
CO,45.172.218.0,24,ipv4
CO,45.172.222.0,23,ipv4
CO,45.173.4.0,22,ipv4
CO,45.173.8.0,22,ipv4
CO,45.173.12.0,24,ipv4
CO,45.173.14.0,23,ipv4
CO,45.173.44.0,24,ipv4
CO,45.173.68.0,22,ipv4
CO,45.174.224.0,23,ipv4
CO,45.174.227.0,24,ipv4
CO,45.175.20.0,24,ipv4
CO,45.175.139.0,24,ipv4
CO,45.176.70.0,23,ipv4
CO,45.176.193.0,24,ipv4
CO,45.176.232.0,22,ipv4
CO,45.177.52.0,23,ipv4
CO,45.177.54.0,24,ipv4
CO,45.177.108.0,22,ipv4
CO,45.178.4.0,22,ipv4
CO,45.178.12.0,22,ipv4
CO,45.178.64.0,22,ipv4
CO,45.179.160.0,22,ipv4
CO,45.179.200.0,22,ipv4
CO,45.179.244.0,22,ipv4
CO,45.180.22.0,23,ipv4
CO,45.180.44.0,24,ipv4
CO,45.180.82.0,23,ipv4
CO,45.180.112.0,24,ipv4
CO,45.181.156.0,22,ipv4
CO,45.181.188.0,22,ipv4
CO,45.181.204.0,23,ipv4
CO,45.181.206.0,23,ipv4
CO,45.182.41.0,24,ipv4
CO,45.182.190.0,23,ipv4
CO,45.183.40.0,24,ipv4
CO,45.183.196.0,22,ipv4
CO,45.183.247.0,24,ipv4
CO,45.185.31.0,24,ipv4
CO,45.187.48.0,22,ipv4
CO,45.189.119.0,24,ipv4
CO,45.189.235.0,24,ipv4
CO,45.190.86.0,24,ipv4
CO,45.191.0.0,22,ipv4
CO,45.191.44.0,22,ipv4
CO,45.191.74.0,23,ipv4
CO,45.191.232.0,22,ipv4
CO,45.224.186.0,24,ipv4
CO,45.225.224.0,22,ipv4
CO,45.226.112.0,22,ipv4
CO,45.226.186.0,23,ipv4
CO,45.227.5.0,24,ipv4
CO,45.227.88.0,22,ipv4
CO,45.228.66.0,24,ipv4
CO,45.229.72.0,23,ipv4
CO,45.229.192.0,23,ipv4
CO,45.230.33.0,24,ipv4
CO,45.231.184.0,22,ipv4
CO,45.233.4.0,22,ipv4
CO,45.233.72.0,22,ipv4
CO,45.233.168.0,22,ipv4
CO,45.235.40.0,22,ipv4
CO,45.238.144.0,22,ipv4
CO,45.238.180.0,22,ipv4
CO,45.238.196.0,22,ipv4
CO,45.239.88.0,22,ipv4
