country,ip,prefixlength,version
CR,45.5.60.0,22,ipv4
CR,45.65.188.0,22,ipv4
CR,45.160.132.0,22,ipv4
CR,45.162.204.0,22,ipv4
CR,45.163.136.0,22,ipv4
CR,45.167.17.0,24,ipv4
CR,45.167.196.0,22,ipv4
CR,45.168.196.0,22,ipv4
CR,45.182.43.0,24,ipv4
CR,45.185.43.0,24,ipv4
CR,45.188.128.0,22,ipv4
CR,45.188.216.0,23,ipv4
CR,45.224.202.0,24,ipv4
CR,45.226.64.0,22,ipv4
CR,45.227.200.0,22,ipv4
CR,45.229.151.0,24,ipv4
CR,45.229.246.0,24,ipv4
CR,45.229.252.0,22,ipv4
CR,45.231.52.0,22,ipv4
CR,45.232.116.0,22,ipv4
CR,45.239.64.0,22,ipv4
CR,65.38.100.0,24,ipv4
CR,128.201.144.0,22,ipv4
CR,131.0.72.0,22,ipv4
CR,131.108.36.0,22,ipv4
CR,131.196.32.0,22,ipv4
CR,138.59.16.0,22,ipv4
CR,138.59.132.0,22,ipv4
CR,138.94.56.0,22,ipv4
CR,138.118.80.0,22,ipv4
CR,138.118.156.0,22,ipv4
CR,138.121.140.0,22,ipv4
CR,138.122.24.0,22,ipv4
CR,138.122.244.0,22,ipv4
CR,138.185.248.0,22,ipv4
CR,143.0.160.0,22,ipv4
CR,143.137.148.0,22,ipv4
CR,143.202.160.0,22,ipv4
CR,143.208.168.0,22,ipv4
CR,143.255.28.0,22,ipv4
CR,144.22.0.0,16,ipv4
CR,144.23.0.0,16,ipv4
CR,152.231.128.0,17,ipv4
CR,160.223.203.0,24,ipv4
CR,163.178.0.0,16,ipv4
CR,167.250.192.0,22,ipv4
CR,168.181.160.0,22,ipv4
CR,168.195.124.0,22,ipv4
CR,168.197.96.0,22,ipv4
CR,168.197.132.0,22,ipv4
CR,168.205.64.0,22,ipv4
CR,168.228.48.0,22,ipv4
CR,168.232.28.0,22,ipv4
CR,170.80.88.0,22,ipv4
CR,170.81.32.0,22,ipv4
CR,170.83.8.0,22,ipv4
CR,170.84.108.0,22,ipv4
CR,170.84.255.0,24,ipv4
CR,170.150.56.0,22,ipv4
CR,170.244.168.0,22,ipv4
CR,170.245.240.0,22,ipv4
CR,170.246.100.0,22,ipv4
CR,170.246.148.0,22,ipv4
CR,170.246.156.0,22,ipv4
CR,177.93.0.0,19,ipv4
CR,179.0.20.0,22,ipv4
CR,179.0.202.0,24,ipv4
CR,179.0.208.0,20,ipv4
CR,179.48.248.0,22,ipv4
CR,179.50.128.0,17,ipv4
CR,179.60.160.0,21,ipv4
CR,179.189.223.0,24,ipv4
CR,181.174.168.0,22,ipv4
CR,181.193.0.0,16,ipv4
CR,181.194.0.0,15,ipv4
CR,181.224.72.0,22,ipv4
CR,186.2.240.0,22,ipv4
CR,186.4.0.0,18,ipv4
CR,186.5.160.0,20,ipv4
CR,186.15.0.0,18,ipv4
CR,186.15.64.0,18,ipv4
CR,186.15.128.0,17,ipv4
CR,186.26.112.0,20,ipv4
CR,186.32.0.0,18,ipv4
CR,186.32.160.0,19,ipv4
CR,186.32.192.0,19,ipv4
CR,186.64.128.0,17,ipv4
CR,186.96.80.0,20,ipv4
CR,186.148.212.0,22,ipv4
CR,186.151.94.0,24,ipv4
CR,186.159.128.0,17,ipv4
CR,186.176.0.0,17,ipv4
CR,186.176.128.0,17,ipv4
CR,186.177.0.0,17,ipv4
CR,186.177.128.0,18,ipv4
CR,186.179.64.0,20,ipv4
CR,187.49.248.0,21,ipv4
CR,190.0.224.0,21,ipv4
CR,190.2.216.0,21,ipv4
CR,190.4.88.0,21,ipv4
CR,190.5.212.0,22,ipv4
CR,190.7.160.0,20,ipv4
CR,190.7.192.0,20,ipv4
CR,190.7.208.0,20,ipv4
CR,190.9.124.0,23,ipv4
CR,190.10.0.0,19,ipv4
CR,190.10.32.0,19,ipv4
CR,190.10.64.0,18,ipv4
CR,190.14.152.0,22,ipv4
CR,190.57.48.0,21,ipv4
CR,190.93.160.0,20,ipv4
CR,190.93.240.0,20,ipv4
CR,190.99.120.0,21,ipv4
CR,190.106.64.0,20,ipv4
CR,190.108.72.0,22,ipv4
CR,190.108.220.0,22,ipv4
CR,190.110.228.0,24,ipv4
CR,190.112.220.0,22,ipv4
CR,190.113.80.0,22,ipv4
CR,190.113.84.0,22,ipv4
CR,190.113.96.0,20,ipv4
CR,190.113.112.0,20,ipv4
CR,190.113.248.0,21,ipv4
CR,190.115.200.0,22,ipv4
CR,190.120.240.0,22,ipv4
CR,190.123.14.0,24,ipv4
CR,190.123.128.0,20,ipv4
CR,190.124.248.0,22,ipv4
CR,190.148.85.0,24,ipv4
CR,190.149.134.0,24,ipv4
CR,190.149.152.0,24,ipv4
CR,190.171.0.0,18,ipv4
CR,190.171.96.0,19,ipv4
CR,190.184.196.0,22,ipv4
CR,190.211.92.0,22,ipv4
CR,190.211.96.0,19,ipv4
CR,190.241.0.0,18,ipv4
CR,190.241.64.0,18,ipv4
CR,190.241.128.0,17,ipv4
CR,191.102.36.0,22,ipv4
CR,191.102.56.0,22,ipv4
CR,192.100.182.0,24,ipv4
CR,192.153.167.0,24,ipv4
CR,196.40.0.0,18,ipv4
CR,196.40.64.0,19,ipv4
CR,198.49.164.0,24,ipv4
CR,199.60.215.0,24,ipv4
CR,200.5.48.0,20,ipv4
CR,200.9.32.0,19,ipv4
CR,200.9.209.0,24,ipv4
CR,200.9.210.0,24,ipv4
CR,200.9.211.0,24,ipv4
CR,200.10.145.0,24,ipv4
CR,200.10.176.0,23,ipv4
CR,200.12.167.0,24,ipv4
