country,ip,prefixlength,version
CU,201.220.208.0,20,ipv4
CU,201.220.192.0,20,ipv4
CU,200.55.176.0,20,ipv4
CU,200.55.160.0,20,ipv4
CU,200.55.128.0,19,ipv4
CU,200.14.48.0,21,ipv4
CU,200.13.144.0,21,ipv4
CU,200.5.12.0,22,ipv4
CU,200.0.24.0,22,ipv4
CU,200.0.16.0,24,ipv4
CU,196.3.152.0,24,ipv4
CU,196.1.135.0,24,ipv4
CU,196.1.112.0,24,ipv4
CU,190.107.0.0,20,ipv4
CU,190.92.112.0,20,ipv4
CU,190.15.144.0,20,ipv4
CU,190.6.80.0,20,ipv4
CU,190.6.64.0,20,ipv4
CU,181.225.224.0,19,ipv4
CU,169.158.0.0,16,ipv4
CU,152.206.0.0,15,ipv4
