Country,IP,PrefixLength,Version
CY,2.56.116.0,22,ipv4
CY,2.56.120.0,22,ipv4
CY,2.56.124.0,22,ipv4
CY,2.56.140.0,22,ipv4
CY,2.56.172.0,22,ipv4
CY,2.56.176.0,22,ipv4
CY,2.56.212.0,22,ipv4
CY,2.57.88.0,22,ipv4
CY,5.42.205.0,24,ipv4
CY,5.180.20.0,22,ipv4
CY,5.180.24.0,22,ipv4
CY,5.180.28.0,22,ipv4
CY,5.180.32.0,22,ipv4
CY,5.180.40.0,22,ipv4
CY,5.180.44.0,22,ipv4
CY,5.180.48.0,22,ipv4
CY,5.180.52.0,22,ipv4
CY,5.180.80.0,22,ipv4
CY,5.180.144.0,22,ipv4
CY,5.180.232.0,22,ipv4
CY,5.253.28.0,22,ipv4
CY,5.253.36.0,22,ipv4
CY,5.253.40.0,22,ipv4
CY,5.253.44.0,22,ipv4
CY,31.12.92.0,22,ipv4
CY,31.14.238.0,24,ipv4
CY,31.25.224.0,21,ipv4
CY,31.153.0.0,16,ipv4
CY,31.170.160.0,21,ipv4
CY,31.216.64.0,18,ipv4
CY,31.220.16.0,21,ipv4
CY,31.220.48.0,20,ipv4
CY,31.220.104.0,21,ipv4
CY,31.222.64.0,20,ipv4
CY,31.222.229.0,24,ipv4
CY,36.255.76.0,22,ipv4
CY,37.9.176.0,21,ipv4
CY,37.140.223.0,24,ipv4
CY,37.149.0.0,16,ipv4
CY,45.8.184.0,22,ipv4
CY,45.8.188.0,22,ipv4
CY,45.8.192.0,22,ipv4
CY,45.8.196.0,22,ipv4
CY,45.8.200.0,22,ipv4
CY,45.8.204.0,22,ipv4
CY,45.8.252.0,22,ipv4
CY,45.9.0.0,22,ipv4
CY,45.9.4.0,22,ipv4
CY,45.9.12.0,22,ipv4
CY,45.9.16.0,22,ipv4
CY,45.12.108.0,22,ipv4
CY,45.12.112.0,22,ipv4
CY,45.12.128.0,22,ipv4
CY,45.12.132.0,22,ipv4
CY,45.12.136.0,22,ipv4
CY,45.12.140.0,22,ipv4
CY,45.12.144.0,22,ipv4
CY,45.12.148.0,22,ipv4
CY,45.13.26.0,24,ipv4
CY,45.13.132.0,22,ipv4
CY,45.13.220.0,22,ipv4
CY,45.13.252.0,22,ipv4
CY,45.15.124.0,22,ipv4
CY,45.15.128.0,22,ipv4
CY,45.15.140.0,22,ipv4
CY,45.15.144.0,22,ipv4
CY,45.15.152.0,22,ipv4
CY,45.15.160.0,22,ipv4
CY,45.15.164.0,22,ipv4
CY,45.15.168.0,22,ipv4
CY,45.15.176.0,22,ipv4
CY,45.15.184.0,22,ipv4
CY,45.66.152.0,22,ipv4
CY,45.66.156.0,22,ipv4
CY,45.66.160.0,22,ipv4
CY,45.66.164.0,22,ipv4
CY,45.67.214.0,24,ipv4
CY,45.67.236.0,22,ipv4
CY,45.82.244.0,22,ipv4
CY,45.82.248.0,22,ipv4
CY,45.82.252.0,22,ipv4
CY,45.83.20.0,22,ipv4
CY,45.83.24.0,22,ipv4
CY,45.83.84.0,22,ipv4
CY,45.83.116.0,22,ipv4
CY,45.83.128.0,22,ipv4
CY,45.83.140.0,22,ipv4
CY,45.83.148.0,22,ipv4
CY,45.84.232.0,22,ipv4
CY,45.86.60.0,22,ipv4
CY,45.86.64.0,22,ipv4
CY,45.86.68.0,22,ipv4
CY,45.86.72.0,22,ipv4
