Country,IP,PrefixLength,Version
EC,27.50.12.0,22,ipv4
EC,45.4.88.0,22,ipv4
EC,45.4.200.0,22,ipv4
EC,45.6.224.0,22,ipv4
EC,45.65.203.0,24,ipv4
EC,45.68.96.0,22,ipv4
EC,45.70.12.0,22,ipv4
EC,45.70.56.0,22,ipv4
EC,45.70.196.0,22,ipv4
EC,45.70.200.0,23,ipv4
EC,45.70.202.0,23,ipv4
EC,45.70.236.0,22,ipv4
EC,45.71.0.0,22,ipv4
EC,45.71.36.0,22,ipv4
EC,45.71.112.0,22,ipv4
EC,45.71.184.0,22,ipv4
EC,45.71.200.0,22,ipv4
EC,45.71.252.0,22,ipv4
EC,45.161.32.0,22,ipv4
EC,45.162.72.0,22,ipv4
EC,45.163.204.0,22,ipv4
EC,45.164.64.0,22,ipv4
EC,45.169.144.0,22,ipv4
EC,45.170.44.0,22,ipv4
EC,45.171.108.0,22,ipv4
EC,45.171.120.0,23,ipv4
EC,45.171.160.0,22,ipv4
EC,45.173.112.0,22,ipv4
EC,45.173.228.0,22,ipv4
EC,45.175.164.0,22,ipv4
EC,45.177.124.0,22,ipv4
EC,45.178.36.0,22,ipv4
EC,45.179.140.0,22,ipv4
EC,45.180.45.0,24,ipv4
EC,45.180.46.0,23,ipv4
EC,45.180.124.0,22,ipv4
EC,45.180.140.0,22,ipv4
EC,45.182.117.0,24,ipv4
EC,45.182.118.0,24,ipv4
EC,45.182.119.0,24,ipv4
EC,45.183.100.0,22,ipv4
EC,45.183.136.0,22,ipv4
EC,45.183.140.0,22,ipv4
EC,45.184.102.0,24,ipv4
EC,45.184.224.0,22,ipv4
EC,45.185.160.0,22,ipv4
EC,45.186.4.0,22,ipv4
EC,45.186.140.0,23,ipv4
EC,45.187.0.0,22,ipv4
EC,45.188.56.0,23,ipv4
EC,45.188.219.0,24,ipv4
EC,45.188.228.0,22,ipv4
EC,45.188.232.0,22,ipv4
EC,45.189.56.0,22,ipv4
EC,45.189.112.0,22,ipv4
EC,45.224.20.0,22,ipv4
EC,45.224.96.0,22,ipv4
EC,45.224.116.0,22,ipv4
EC,45.224.148.0,22,ipv4
EC,45.224.152.0,22,ipv4
EC,45.225.44.0,22,ipv4
EC,45.225.88.0,22,ipv4
EC,45.225.104.0,22,ipv4
EC,45.226.204.0,22,ipv4
EC,45.228.52.0,22,ipv4
EC,45.228.172.0,22,ipv4
EC,45.228.180.0,22,ipv4
EC,45.229.4.0,22,ipv4
EC,45.229.48.0,22,ipv4
EC,45.229.87.0,24,ipv4
EC,45.230.240.0,22,ipv4
EC,45.231.148.0,22,ipv4
EC,45.233.92.0,22,ipv4
EC,45.233.100.0,22,ipv4
EC,45.235.12.0,22,ipv4
EC,45.235.140.0,22,ipv4
EC,45.235.212.0,22,ipv4
EC,45.236.104.0,22,ipv4
EC,45.236.140.0,22,ipv4
EC,45.236.148.0,22,ipv4
EC,45.236.168.0,22,ipv4
EC,45.238.56.0,22,ipv4
EC,45.238.216.0,22,ipv4
EC,45.239.48.0,22,ipv4
EC,45.239.160.0,22,ipv4
EC,59.153.44.0,22,ipv4
EC,66.231.64.0,20,ipv4
EC,123.200.232.0,21,ipv4
EC,123.200.248.0,21,ipv4
EC,128.201.160.0,22,ipv4
EC,131.161.220.0,22,ipv4
EC,131.196.8.0,22,ipv4
EC,131.196.12.0,22,ipv4
EC,131.196.60.0,22,ipv4
EC,131.196.112.0,22,ipv4
EC,138.59.108.0,22,ipv4
EC,138.122.108.0,22,ipv4
EC,138.185.136.0,22,ipv4
EC,143.255.248.0,22,ipv4
EC,157.100.0.0,16,ipv4
EC,160.20.164.0,22,ipv4
EC,164.163.48.0,22,ipv4
EC,164.163.132.0,22,ipv4
EC,164.163.160.0,22,ipv4
