Country,IP,PrefixLength,Version
EE,2.57.220.0,22,ipv4
EE,2.59.164.0,22,ipv4
EE,5.42.199.0,24,ipv4
EE,5.42.221.0,24,ipv4
EE,5.44.184.0,21,ipv4
EE,5.45.112.0,21,ipv4
EE,5.45.120.0,21,ipv4
EE,5.101.112.0,20,ipv4
EE,5.101.176.0,20,ipv4
EE,5.154.181.0,24,ipv4
EE,5.188.16.0,21,ipv4
EE,5.188.24.0,22,ipv4
EE,5.253.63.0,24,ipv4
EE,5.253.176.0,22,ipv4
EE,31.24.56.0,21,ipv4
EE,37.0.24.0,21,ipv4
EE,37.49.224.0,21,ipv4
EE,37.143.64.0,21,ipv4
EE,37.157.64.0,18,ipv4
EE,45.67.128.0,22,ipv4
EE,45.80.108.0,24,ipv4
EE,45.80.110.0,24,ipv4
EE,45.83.52.0,22,ipv4
EE,45.83.72.0,22,ipv4
EE,45.83.192.0,22,ipv4
EE,45.86.228.0,24,ipv4
EE,45.86.229.0,24,ipv4
EE,45.86.230.0,24,ipv4
EE,45.86.231.0,24,ipv4
EE,45.88.59.0,24,ipv4
EE,45.92.100.0,22,ipv4
EE,45.128.132.0,22,ipv4
EE,45.129.0.0,24,ipv4
EE,45.129.52.0,22,ipv4
EE,45.129.78.0,24,ipv4
EE,45.129.96.0,22,ipv4
EE,45.129.164.0,24,ipv4
EE,45.129.199.0,24,ipv4
EE,45.131.164.0,22,ipv4
EE,45.132.64.0,22,ipv4
EE,45.132.188.0,22,ipv4
EE,45.139.40.0,22,ipv4
EE,45.139.107.0,24,ipv4
EE,45.140.48.0,22,ipv4
EE,45.142.100.0,22,ipv4
EE,45.143.166.0,23,ipv4
EE,45.144.4.0,22,ipv4
EE,45.145.171.0,24,ipv4
EE,45.146.76.0,22,ipv4
EE,45.146.116.0,22,ipv4
EE,45.147.93.0,24,ipv4
EE,45.151.4.0,22,ipv4
EE,45.156.32.0,22,ipv4
EE,45.157.192.0,22,ipv4
EE,45.158.52.0,23,ipv4
EE,45.158.54.0,23,ipv4
EE,45.159.181.0,24,ipv4
EE,45.159.188.0,22,ipv4
