country,ip,prefixlength,version
EU,138.199.64.0,20,ipv4
EU,139.191.0.0,16,ipv4
EU,144.44.0.0,16,ipv4
EU,145.218.0.0,16,ipv4
EU,148.185.0.0,16,ipv4
EU,151.175.0.0,16,ipv4
EU,158.67.0.0,16,ipv4
EU,192.84.203.0,24,ipv4
EU,192.108.23.0,22,ipv4
EU,192.108.27.0,24,ipv4
EU,192.108.28.0,24,ipv4
EU,192.108.29.0,24,ipv4
EU,192.108.30.0,24,ipv4
EU,192.108.35.0,21,ipv4
EU,207.229.112.0,22,ipv4
EU,207.229.118.0,22,ipv4
EU,207.229.123.0,22,ipv4
EU,209.162.128.0,19,ipv4
EU,209.162.156.0,24,ipv4
EU,209.162.158.0,23,ipv4
