country,ip,prefixlength,version
FJ,210.7.0.0,19,ipv4
FJ,203.202.235.0,24,ipv4
FJ,203.119.51.0,24,ipv4
FJ,203.83.251.0,24,ipv4
FJ,202.170.32.0,20,ipv4
FJ,202.151.16.0,20,ipv4
FJ,202.137.176.0,21,ipv4
FJ,202.129.228.0,22,ipv4
FJ,202.62.124.0,22,ipv4
FJ,202.62.120.0,22,ipv4
FJ,202.62.118.0,23,ipv4
FJ,202.62.6.0,23,ipv4
FJ,183.81.128.0,20,ipv4
FJ,144.120.0.0,16,ipv4
FJ,124.108.24.0,21,ipv4
FJ,119.235.96.0,21,ipv4
FJ,119.235.64.0,19,ipv4
FJ,113.20.64.0,19,ipv4
FJ,110.35.88.0,21,ipv4
FJ,103.244.228.0,22,ipv4
FJ,103.178.195.0,24,ipv4
FJ,103.148.54.0,23,ipv4
FJ,103.147.194.0,23,ipv4
FJ,103.137.129.0,24,ipv4
FJ,103.116.156.0,24,ipv4
FJ,103.101.240.0,22,ipv4
FJ,103.99.43.0,24,ipv4
FJ,103.77.225.0,24,ipv4
FJ,103.76.157.0,24,ipv4
FJ,103.71.204.0,24,ipv4
FJ,103.58.20.0,22,ipv4
FJ,103.52.88.0,22,ipv4
FJ,103.1.180.0,22,ipv4
FJ,45.117.244.0,22,ipv4
FJ,45.117.240.0,22,ipv4
FJ,45.112.224.0,22,ipv4
FJ,27.123.128.0,18,ipv4
