country,ip,prefixlength,version
GA,41.78.240.0,22,ipv4
GA,41.158.0.0,15,ipv4
GA,41.211.128.0,18,ipv4
GA,41.223.168.0,22,ipv4
GA,102.129.32.0,22,ipv4
GA,102.134.28.0,22,ipv4
GA,102.135.164.0,22,ipv4
GA,102.142.0.0,16,ipv4
GA,102.164.124.0,22,ipv4
GA,154.0.32.0,19,ipv4
GA,154.0.176.0,20,ipv4
GA,154.66.232.0,21,ipv4
GA,154.112.0.0,16,ipv4
GA,154.116.0.0,17,ipv4
GA,154.119.192.0,19,ipv4
GA,160.119.160.0,19,ipv4
GA,169.159.0.0,18,ipv4
GA,169.239.148.0,22,ipv4
GA,169.255.148.0,22,ipv4
GA,192.188.164.0,22,ipv4
GA,192.189.139.0,23,ipv4
GA,196.49.17.0,24,ipv4
GA,196.50.32.0,23,ipv4
GA,196.223.39.0,24,ipv4
GA,197.231.64.0,18,ipv4
GA,197.242.0.0,19,ipv4
GA,217.77.64.0,20,ipv4
