Country,IP,PrefixLength,Version
GE,2.57.60.0,22,ipv4
GE,2.57.216.0,22,ipv4
GE,5.10.32.0,21,ipv4
GE,5.44.128.0,21,ipv4
GE,5.133.160.0,21,ipv4
GE,5.152.0.0,17,ipv4
GE,5.159.16.0,21,ipv4
GE,5.178.128.0,17,ipv4
GE,5.187.8.0,21,ipv4
GE,5.255.57.0,24,ipv4
GE,5.255.61.0,24,ipv4
GE,5.255.62.0,23,ipv4
GE,23.252.66.0,23,ipv4
GE,23.252.68.0,24,ipv4
GE,23.252.71.0,24,ipv4
GE,23.252.75.0,24,ipv4
GE,23.252.76.0,24,ipv4
GE,23.252.79.0,24,ipv4
GE,31.146.0.0,16,ipv4
GE,31.192.0.0,18,ipv4
GE,31.222.234.0,24,ipv4
GE,37.46.104.0,21,ipv4
GE,37.72.142.0,24,ipv4
GE,37.75.128.0,21,ipv4
GE,37.110.160.0,19,ipv4
GE,37.131.224.0,21,ipv4
GE,37.140.253.0,24,ipv4
GE,37.143.152.0,21,ipv4
GE,37.156.175.0,24,ipv4
GE,37.232.0.0,17,ipv4
GE,37.233.128.0,17,ipv4
GE,45.8.36.0,22,ipv4
GE,45.9.32.0,22,ipv4
GE,45.9.44.0,22,ipv4
GE,45.11.188.0,22,ipv4
GE,45.13.40.0,22,ipv4
GE,45.65.112.0,22,ipv4
GE,45.67.14.0,24,ipv4
GE,45.81.28.0,22,ipv4
GE,45.90.252.0,22,ipv4
GE,45.136.52.0,22,ipv4
GE,45.138.44.0,22,ipv4
GE,45.141.217.0,24,ipv4
GE,45.143.108.0,22,ipv4
GE,45.154.88.0,22,ipv4
GE,45.154.156.0,22,ipv4
GE,45.157.152.0,22,ipv4
GE,46.31.64.0,24,ipv4
GE,46.49.0.0,17,ipv4
GE,46.174.216.0,21,ipv4
GE,46.175.134.0,24,ipv4
GE,46.245.239.0,24,ipv4
GE,62.3.11.0,24,ipv4
GE,62.3.30.0,24,ipv4
GE,62.106.90.0,24,ipv4
GE,62.168.160.0,19,ipv4
GE,62.212.32.0,19,ipv4
GE,62.233.61.0,24,ipv4
GE,77.74.40.0,21,ipv4
GE,77.91.64.0,20,ipv4
GE,77.92.224.0,19,ipv4
GE,77.242.48.0,20,ipv4
GE,78.40.104.0,22,ipv4
GE,78.139.128.0,18,ipv4
GE,79.99.92.0,22,ipv4
GE,79.99.248.0,21,ipv4
GE,80.71.144.0,24,ipv4
GE,80.71.145.0,24,ipv4
GE,80.77.48.0,20,ipv4
GE,80.83.128.0,20,ipv4
GE,80.92.176.0,20,ipv4
GE,80.241.176.0,20,ipv4
GE,80.241.240.0,22,ipv4
GE,80.241.244.0,22,ipv4
GE,80.241.248.0,22,ipv4
GE,80.241.252.0,24,ipv4
GE,80.241.253.0,24,ipv4
GE,80.241.254.0,23,ipv4
GE,81.16.240.0,20,ipv4
GE,81.95.160.0,20,ipv4
GE,82.211.128.0,18,ipv4
GE,84.38.245.0,24,ipv4
GE,85.114.224.0,19,ipv4
GE,85.117.32.0,19,ipv4
GE,85.118.96.0,19,ipv4
GE,85.209.80.0,22,ipv4
GE,85.238.32.0,19,ipv4
GE,87.253.32.0,19,ipv4
GE,88.210.192.0,18,ipv4
GE,88.218.112.0,22,ipv4
GE,89.150.0.0,23,ipv4
GE,89.232.0.0,19,ipv4
GE,89.232.32.0,19,ipv4
GE,91.92.112.0,23,ipv4
GE,91.151.128.0,20,ipv4
GE,91.184.96.0,19,ipv4
GE,91.192.8.0,24,ipv4
GE,91.193.56.0,23,ipv4
GE,91.194.7.0,24,ipv4
GE,91.200.136.0,22,ipv4
GE,91.201.96.0,22,ipv4
GE,91.202.56.0,22,ipv4
GE,91.202.96.0,22,ipv4
GE,91.205.157.0,24,ipv4
GE,91.206.130.0,23,ipv4
GE,91.208.144.0,24,ipv4
GE,91.209.131.0,24,ipv4
GE,91.209.135.0,24,ipv4
GE,91.210.120.0,22,ipv4
GE,91.211.86.0,24,ipv4
GE,91.212.213.0,24,ipv4
GE,91.212.225.0,24,ipv4
GE,91.219.232.0,22,ipv4
GE,91.221.52.0,23,ipv4
GE,91.223.53.0,24,ipv4
GE,91.223.245.0,24,ipv4
GE,91.224.62.0,23,ipv4
GE,91.225.152.0,22,ipv4
GE,91.226.179.0,24,ipv4
GE,91.227.255.0,24,ipv4
GE,91.232.26.0,24,ipv4
GE,91.233.15.0,24,ipv4
GE,91.233.104.0,24,ipv4
GE,91.234.228.0,24,ipv4
GE,91.235.84.0,22,ipv4
GE,91.235.243.0,24,ipv4
GE,91.237.51.0,24,ipv4
GE,91.239.206.0,23,ipv4
GE,91.241.55.0,24,ipv4
GE,91.246.50.0,24,ipv4
GE,91.247.64.0,23,ipv4
GE,92.51.64.0,18,ipv4
GE,92.54.192.0,18,ipv4
GE,92.241.64.0,19,ipv4
GE,93.177.128.0,18,ipv4
GE,93.179.88.0,22,ipv4
