Country,IP,PrefixLength,Version
GG,37.72.152.0,21,ipv4
GG,45.11.144.0,22,ipv4
GG,45.135.252.0,22,ipv4
GG,46.31.240.0,21,ipv4
GG,46.102.107.0,24,ipv4
GG,46.235.128.0,21,ipv4
GG,62.68.160.0,19,ipv4
GG,77.81.75.0,24,ipv4
GG,78.41.0.0,21,ipv4
GG,78.111.192.0,20,ipv4
GG,84.247.1.0,24,ipv4
GG,85.204.71.0,24,ipv4
GG,85.204.135.0,24,ipv4
GG,85.204.144.0,24,ipv4
GG,85.204.192.0,24,ipv4
GG,86.104.12.0,24,ipv4
GG,86.104.64.0,24,ipv4
GG,86.105.10.0,23,ipv4
GG,88.81.128.0,19,ipv4
GG,89.32.207.0,24,ipv4
GG,89.33.15.0,24,ipv4
GG,89.35.82.0,23,ipv4
GG,89.37.59.0,24,ipv4
GG,89.40.64.0,24,ipv4
GG,89.42.115.0,24,ipv4
GG,89.42.174.0,23,ipv4
GG,89.42.179.0,24,ipv4
GG,89.43.49.0,24,ipv4
GG,89.43.172.0,23,ipv4
GG,89.44.107.0,24,ipv4
GG,89.47.248.0,24,ipv4
GG,89.47.253.0,24,ipv4
GG,91.190.160.0,21,ipv4
GG,92.43.208.0,21,ipv4
GG,92.114.55.0,24,ipv4
GG,93.114.188.0,23,ipv4
GG,93.187.0.0,21,ipv4
GG,93.187.144.0,21,ipv4
GG,93.189.160.0,21,ipv4
GG,94.247.84.0,23,ipv4
GG,146.247.48.0,20,ipv4
GG,185.3.100.0,22,ipv4
GG,185.31.220.0,22,ipv4
GG,185.37.76.0,22,ipv4
GG,185.85.253.0,24,ipv4
GG,185.104.200.0,22,ipv4
GG,185.110.36.0,22,ipv4
GG,185.143.248.0,22,ipv4
GG,185.159.16.0,22,ipv4
GG,188.214.59.0,24,ipv4
GG,188.241.17.0,24,ipv4
GG,193.104.140.0,24,ipv4
GG,193.169.206.0,23,ipv4
GG,194.9.2.0,23,ipv4
GG,194.116.244.0,23,ipv4
GG,194.145.126.0,24,ipv4
GG,195.226.128.0,19,ipv4
GG,212.30.0.0,19,ipv4
GG,217.19.128.0,20,ipv4
