Country,IP,PrefixLength,Version
GI,2.58.8.0,22,ipv4
GI,5.150.152.0,22,ipv4
GI,31.222.48.0,20,ipv4
GI,45.88.36.0,22,ipv4
GI,45.89.212.0,22,ipv4
GI,45.94.8.0,22,ipv4
GI,62.192.155.0,24,ipv4
GI,80.92.200.0,22,ipv4
GI,85.115.128.0,19,ipv4
GI,85.159.120.0,21,ipv4
GI,85.208.60.0,22,ipv4
GI,91.109.248.0,21,ipv4
GI,91.235.119.0,24,ipv4
GI,92.249.5.0,24,ipv4
GI,93.191.192.0,21,ipv4
GI,94.26.93.0,24,ipv4
GI,94.26.95.0,24,ipv4
GI,94.26.97.0,24,ipv4
GI,94.26.98.0,23,ipv4
GI,94.26.101.0,24,ipv4
GI,94.26.103.0,24,ipv4
GI,94.26.109.0,24,ipv4
GI,94.131.0.0,23,ipv4
GI,94.131.4.0,22,ipv4
GI,94.131.21.0,24,ipv4
GI,94.131.22.0,24,ipv4
GI,94.131.24.0,21,ipv4
GI,94.131.32.0,19,ipv4
GI,94.131.64.0,20,ipv4
GI,94.131.124.0,22,ipv4
GI,94.131.128.0,19,ipv4
GI,94.131.160.0,20,ipv4
GI,94.131.224.0,20,ipv4
GI,94.190.196.0,22,ipv4
GI,95.131.184.0,21,ipv4
GI,104.255.128.0,21,ipv4
GI,147.189.164.0,22,ipv4
GI,153.94.56.0,21,ipv4
GI,178.170.238.0,23,ipv4
GI,178.170.240.0,23,ipv4
GI,178.208.192.0,19,ipv4
GI,178.211.128.0,24,ipv4
GI,185.9.212.0,22,ipv4
GI,185.16.192.0,22,ipv4
GI,185.39.28.0,23,ipv4
GI,185.49.216.0,22,ipv4
GI,185.74.72.0,22,ipv4
GI,185.75.80.0,22,ipv4
GI,185.82.48.0,22,ipv4
GI,185.83.148.0,22,ipv4
GI,185.94.76.0,22,ipv4
GI,185.104.220.0,22,ipv4
GI,185.114.228.0,22,ipv4
GI,185.120.96.0,22,ipv4
GI,185.149.68.0,22,ipv4
GI,185.192.4.0,22,ipv4
GI,192.190.168.0,22,ipv4
GI,193.33.64.0,23,ipv4
GI,193.34.188.0,23,ipv4
GI,193.105.57.0,24,ipv4
GI,193.169.30.0,24,ipv4
GI,194.164.146.0,23,ipv4
GI,195.166.192.0,19,ipv4
GI,195.214.213.0,24,ipv4
GI,195.214.214.0,24,ipv4
GI,195.244.192.0,19,ipv4
GI,212.22.224.0,19,ipv4
GI,212.86.97.0,24,ipv4
GI,212.86.103.0,24,ipv4
GI,212.86.107.0,24,ipv4
GI,212.86.112.0,24,ipv4
GI,212.86.116.0,22,ipv4
GI,212.86.120.0,21,ipv4
GI,212.120.224.0,19,ipv4
GI,217.65.48.0,20,ipv4
GI,217.147.112.0,20,ipv4
