country,ip,prefixlength,version
GM,41.76.8.0,21,ipv4
GM,41.223.212.0,22,ipv4
GM,102.69.160.0,22,ipv4
GM,102.140.128.0,19,ipv4
GM,102.211.12.0,22,ipv4
GM,102.211.244.0,22,ipv4
GM,102.213.220.0,22,ipv4
GM,102.216.248.0,22,ipv4
GM,102.221.64.0,22,ipv4
GM,146.196.128.0,17,ipv4
GM,155.251.0.0,16,ipv4
GM,160.182.0.0,15,ipv4
GM,196.46.232.0,21,ipv4
GM,196.49.1.0,24,ipv4
GM,196.223.34.0,24,ipv4
GM,196.223.144.0,21,ipv4
GM,197.148.72.0,21,ipv4
GM,197.231.128.0,21,ipv4
GM,197.231.204.0,22,ipv4
GM,197.242.128.0,20,ipv4
GM,197.255.192.0,20,ipv4
GM,212.60.64.0,19,ipv4
