Country,IP,PrefixLength,Version
GN,41.77.184.0,21,ipv4
GN,41.79.200.0,22,ipv4
GN,41.79.236.0,22,ipv4
GN,41.191.220.0,22,ipv4
GN,41.223.48.0,22,ipv4
GN,41.242.88.0,22,ipv4
GN,45.220.52.0,22,ipv4
GN,102.176.160.0,20,ipv4
GN,102.205.74.0,24,ipv4
GN,102.206.72.0,22,ipv4
GN,102.208.222.0,24,ipv4
GN,102.208.241.0,24,ipv4
GN,102.209.204.0,22,ipv4
GN,102.211.199.0,24,ipv4
GN,102.218.129.0,24,ipv4
GN,102.218.136.0,22,ipv4
GN,102.218.236.0,22,ipv4
GN,160.119.128.0,21,ipv4
GN,196.49.40.0,24,ipv4
GN,196.49.64.0,24,ipv4
GN,196.60.38.0,24,ipv4
GN,196.60.61.0,24,ipv4
GN,197.149.192.0,18,ipv4
