country,ip,prefixlength,version
GP,5.187.96.0,19,ipv4
GP,46.238.128.0,18,ipv4
GP,93.121.128.0,17,ipv4
GP,95.138.0.0,17,ipv4
GP,104.250.0.0,19,ipv4
GP,107.191.208.0,20,ipv4
GP,137.83.76.0,24,ipv4
GP,137.83.102.0,24,ipv4
GP,142.202.112.0,22,ipv4
GP,185.29.48.0,22,ipv4
GP,192.149.44.0,22,ipv4
GP,193.218.114.0,24,ipv4
GP,199.91.160.0,22,ipv4
GP,207.90.254.0,23,ipv4
GP,208.72.228.0,22,ipv4
GP,208.79.96.0,22,ipv4
GP,208.94.168.0,22,ipv4
GP,208.103.148.0,23,ipv4
GP,209.35.0.0,22,ipv4
GP,213.16.0.0,19,ipv4
GP,213.188.160.0,19,ipv4
GP,216.230.17.0,24,ipv4
GP,216.230.19.0,24,ipv4
