country,ip,prefixlength,version
GU,43.240.88.0,22,ipv4
GU,43.247.60.0,22,ipv4
GU,49.128.104.0,22,ipv4
GU,101.99.128.0,17,ipv4
GU,103.3.240.0,22,ipv4
GU,103.7.100.0,22,ipv4
GU,103.17.112.0,22,ipv4
GU,103.115.192.0,23,ipv4
GU,103.142.152.0,23,ipv4
GU,103.212.24.0,22,ipv4
GU,114.142.192.0,19,ipv4
GU,114.142.224.0,19,ipv4
GU,116.68.0.0,20,ipv4
GU,116.68.16.0,20,ipv4
GU,117.20.120.0,21,ipv4
GU,121.55.192.0,18,ipv4
GU,139.5.136.0,22,ipv4
GU,168.123.0.0,16,ipv4
GU,182.173.192.0,18,ipv4
GU,192.149.202.0,24,ipv4
GU,202.22.176.0,20,ipv4
GU,202.47.144.0,20,ipv4
GU,202.123.128.0,19,ipv4
GU,202.128.0.0,19,ipv4
GU,202.128.64.0,19,ipv4
GU,202.131.160.0,19,ipv4
GU,202.151.64.0,19,ipv4
GU,203.95.8.0,21,ipv4
GU,203.215.52.0,22,ipv4
