country,ip,prefixlength,version
HN,45.4.84.0,22,ipv4
HN,45.4.136.0,22,ipv4
HN,45.4.204.0,22,ipv4
HN,45.5.28.0,22,ipv4
HN,45.5.64.0,22,ipv4
HN,45.5.76.0,22,ipv4
HN,45.7.236.0,22,ipv4
HN,45.68.34.0,23,ipv4
HN,45.71.16.0,22,ipv4
HN,45.71.52.0,22,ipv4
HN,45.162.86.0,24,ipv4
HN,45.166.92.0,22,ipv4
HN,45.168.172.0,23,ipv4
HN,45.169.244.0,22,ipv4
HN,45.170.12.0,22,ipv4
HN,45.170.32.0,22,ipv4
HN,45.171.200.0,22,ipv4
HN,45.175.64.0,22,ipv4
HN,45.181.84.0,22,ipv4
HN,45.182.20.0,22,ipv4
HN,45.184.92.0,22,ipv4
HN,45.185.52.0,22,ipv4
HN,45.186.152.0,22,ipv4
HN,45.190.13.0,24,ipv4
HN,45.190.64.0,22,ipv4
HN,45.190.184.0,22,ipv4
HN,45.224.228.0,22,ipv4
HN,45.224.252.0,22,ipv4
HN,45.226.59.0,24,ipv4
HN,45.234.232.0,22,ipv4
HN,45.237.84.0,22,ipv4
HN,45.237.168.0,22,ipv4
HN,45.238.140.0,22,ipv4
HN,45.238.156.0,22,ipv4
HN,131.72.208.0,22,ipv4
HN,131.108.16.0,22,ipv4
HN,131.108.232.0,22,ipv4
HN,131.161.52.0,22,ipv4
HN,131.161.80.0,22,ipv4
HN,131.196.52.0,22,ipv4
HN,131.221.8.0,22,ipv4
HN,132.255.132.0,22,ipv4
HN,138.0.228.0,22,ipv4
HN,138.0.240.0,22,ipv4
HN,138.36.92.0,22,ipv4
HN,138.36.136.0,22,ipv4
HN,138.59.4.0,22,ipv4
HN,138.59.176.0,22,ipv4
HN,138.59.204.0,22,ipv4
HN,138.94.120.0,22,ipv4
HN,138.94.216.0,22,ipv4
HN,138.99.36.0,22,ipv4
HN,138.117.96.0,22,ipv4
HN,138.122.192.0,22,ipv4
HN,138.186.136.0,22,ipv4
HN,138.204.180.0,22,ipv4
HN,138.219.72.0,22,ipv4
HN,138.219.120.0,22,ipv4
HN,138.219.172.0,22,ipv4
HN,143.0.236.0,22,ipv4
HN,143.137.164.0,22,ipv4
HN,143.137.168.0,22,ipv4
HN,143.202.196.0,22,ipv4
HN,143.208.16.0,22,ipv4
HN,143.255.32.0,22,ipv4
HN,152.231.0.0,20,ipv4
HN,161.0.0.0,19,ipv4
HN,161.0.68.0,22,ipv4
HN,161.0.192.0,19,ipv4
HN,164.163.72.0,22,ipv4
HN,164.163.124.0,22,ipv4
HN,167.250.108.0,22,ipv4
HN,167.250.198.0,24,ipv4
HN,167.250.212.0,22,ipv4
HN,168.0.212.0,22,ipv4
HN,168.90.96.0,22,ipv4
HN,168.90.196.0,22,ipv4
HN,168.181.52.0,22,ipv4
HN,168.181.120.0,22,ipv4
HN,168.181.228.0,22,ipv4
HN,168.196.236.0,22,ipv4
HN,168.196.240.0,22,ipv4
HN,168.197.172.0,22,ipv4
HN,168.205.160.0,22,ipv4
HN,168.227.140.0,22,ipv4
HN,168.228.44.0,22,ipv4
HN,168.228.192.0,22,ipv4
HN,168.232.168.0,22,ipv4
HN,170.80.140.0,22,ipv4
HN,170.81.196.0,22,ipv4
HN,170.82.0.0,22,ipv4
HN,170.82.36.0,22,ipv4
HN,170.83.116.0,22,ipv4
HN,170.83.176.0,22,ipv4
HN,170.83.232.0,22,ipv4
HN,170.83.236.0,22,ipv4
HN,170.150.180.0,22,ipv4
HN,170.231.52.0,22,ipv4
HN,170.231.248.0,22,ipv4
HN,170.238.108.0,22,ipv4
HN,170.244.92.0,22,ipv4
HN,170.244.144.0,22,ipv4
HN,170.244.156.0,22,ipv4
HN,170.244.240.0,22,ipv4
HN,170.245.56.0,22,ipv4
HN,170.246.52.0,22,ipv4
HN,170.247.84.0,22,ipv4
HN,170.254.176.0,22,ipv4
HN,177.10.184.0,22,ipv4
HN,177.234.136.0,21,ipv4
HN,179.0.31.0,24,ipv4
HN,179.49.112.0,21,ipv4
HN,179.51.208.0,22,ipv4
HN,179.60.176.0,21,ipv4
HN,179.63.252.0,22,ipv4
HN,181.114.56.0,22,ipv4
HN,181.115.0.0,17,ipv4
HN,181.189.224.0,19,ipv4
HN,181.199.176.0,20,ipv4
HN,181.210.0.0,16,ipv4
HN,185.114.52.0,22,ipv4
HN,186.2.128.0,19,ipv4
HN,186.32.128.0,19,ipv4
HN,186.32.224.0,20,ipv4
HN,186.32.240.0,21,ipv4
HN,186.65.112.0,20,ipv4
HN,186.96.252.0,22,ipv4
HN,186.179.0.0,18,ipv4
HN,187.49.188.0,22,ipv4
HN,190.5.64.0,19,ipv4
HN,190.5.96.0,19,ipv4
HN,190.6.192.0,20,ipv4
HN,190.11.224.0,20,ipv4
HN,190.15.64.0,20,ipv4
HN,190.53.48.0,20,ipv4
HN,190.53.64.0,19,ipv4
HN,190.53.192.0,18,ipv4
HN,190.83.2.0,23,ipv4
HN,190.83.116.0,22,ipv4
HN,190.92.0.0,19,ipv4
HN,190.92.32.0,19,ipv4
HN,190.92.64.0,19,ipv4
HN,190.97.176.0,20,ipv4
HN,190.99.0.0,20,ipv4
