Country,IP,PrefixLength,Version
HR,5.39.128.0,19,ipv4
HR,5.43.160.0,19,ipv4
HR,31.45.128.0,17,ipv4
HR,31.147.0.0,16,ipv4
HR,31.216.192.0,19,ipv4
HR,31.217.0.0,17,ipv4
HR,36.255.92.0,22,ipv4
HR,37.48.232.0,21,ipv4
HR,37.60.128.0,21,ipv4
HR,37.72.133.0,24,ipv4
HR,37.205.96.0,20,ipv4
HR,37.244.128.0,17,ipv4
HR,45.8.106.0,24,ipv4
HR,45.85.120.0,22,ipv4
HR,45.87.24.0,22,ipv4
HR,45.87.220.0,22,ipv4
HR,45.95.168.0,22,ipv4
HR,45.136.142.0,23,ipv4
HR,45.136.188.0,22,ipv4
HR,45.137.248.0,22,ipv4
HR,45.142.8.0,22,ipv4
HR,45.143.216.0,22,ipv4
HR,46.31.136.0,21,ipv4
HR,46.151.128.0,21,ipv4
HR,46.174.136.0,22,ipv4
HR,46.188.128.0,17,ipv4
HR,46.234.64.0,19,ipv4
HR,46.245.236.0,24,ipv4
HR,77.81.160.0,22,ipv4
HR,77.237.96.0,19,ipv4
HR,78.0.0.0,14,ipv4
HR,78.134.128.0,17,ipv4
HR,80.80.48.0,20,ipv4
HR,80.253.160.0,22,ipv4
HR,80.253.164.0,22,ipv4
HR,80.253.168.0,21,ipv4
HR,82.132.0.0,17,ipv4
HR,82.193.192.0,19,ipv4
HR,83.131.0.0,16,ipv4
HR,83.139.64.0,18,ipv4
HR,84.246.96.0,21,ipv4
HR,84.252.105.0,24,ipv4
HR,85.10.48.0,20,ipv4
HR,85.94.64.0,19,ipv4
HR,85.114.32.0,19,ipv4
HR,85.209.12.0,22,ipv4
HR,85.222.160.0,23,ipv4
HR,85.222.162.0,24,ipv4
HR,85.222.163.0,24,ipv4
HR,85.222.164.0,22,ipv4
HR,85.222.168.0,21,ipv4
HR,86.32.0.0,15,ipv4
HR,86.54.32.0,21,ipv4
HR,87.252.128.0,19,ipv4
HR,88.207.0.0,17,ipv4
HR,89.17.0.0,19,ipv4
HR,89.18.32.0,20,ipv4
HR,89.18.48.0,22,ipv4
HR,89.18.52.0,22,ipv4
HR,89.18.56.0,21,ipv4
HR,89.164.0.0,17,ipv4
HR,89.164.128.0,17,ipv4
HR,89.172.0.0,16,ipv4
HR,89.201.128.0,17,ipv4
HR,89.248.67.0,24,ipv4
HR,89.249.96.0,20,ipv4
HR,91.132.227.0,24,ipv4
HR,91.142.139.0,24,ipv4
HR,91.194.242.0,23,ipv4
HR,91.198.216.0,24,ipv4
HR,91.199.32.0,24,ipv4
HR,91.199.42.0,24,ipv4
HR,91.199.47.0,24,ipv4
HR,91.199.77.0,24,ipv4
HR,91.199.79.0,24,ipv4
HR,91.207.22.0,23,ipv4
HR,91.208.100.0,24,ipv4
HR,91.208.113.0,24,ipv4
HR,91.208.128.0,24,ipv4
HR,91.208.137.0,24,ipv4
HR,91.208.151.0,24,ipv4
HR,91.209.4.0,24,ipv4
HR,91.209.32.0,24,ipv4
