country,ip,prefixlength,version
HT,148.102.128.0,17,ipv4
HT,161.0.128.0,19,ipv4
HT,168.197.100.0,22,ipv4
HT,170.80.248.0,22,ipv4
HT,170.83.192.0,22,ipv4
HT,170.239.12.0,22,ipv4
HT,179.51.206.0,24,ipv4
HT,186.1.192.0,20,ipv4
HT,186.190.0.0,17,ipv4
HT,190.102.64.0,19,ipv4
HT,190.105.172.0,22,ipv4
HT,190.115.128.0,18,ipv4
HT,190.120.192.0,20,ipv4
HT,190.120.208.0,20,ipv4
HT,190.196.192.0,20,ipv4
HT,200.0.18.0,24,ipv4
HT,200.2.128.0,20,ipv4
HT,200.2.144.0,20,ipv4
HT,200.4.160.0,20,ipv4
HT,200.4.176.0,20,ipv4
HT,200.113.192.0,19,ipv4
HT,200.113.224.0,19,ipv4
HT,200.115.182.0,23,ipv4
HT,201.131.77.0,24,ipv4
HT,201.150.104.0,22,ipv4
