Country,IP,PrefixLength,Version
IM,5.62.80.0,20,ipv4
IM,5.253.76.0,22,ipv4
IM,31.130.208.0,21,ipv4
IM,37.10.116.0,24,ipv4
IM,37.18.136.0,21,ipv4
IM,37.25.88.0,21,ipv4
IM,43.225.112.0,22,ipv4
IM,45.85.4.0,22,ipv4
IM,45.85.196.0,22,ipv4
IM,46.31.200.0,21,ipv4
IM,46.226.184.0,21,ipv4
IM,46.247.38.0,23,ipv4
IM,66.84.64.0,20,ipv4
IM,66.132.133.0,24,ipv4
IM,77.87.176.0,21,ipv4
IM,78.24.208.0,21,ipv4
IM,79.170.32.0,21,ipv4
IM,80.65.240.0,20,ipv4
IM,81.85.104.0,21,ipv4
IM,81.88.160.0,20,ipv4
IM,83.218.0.0,19,ipv4
IM,84.246.200.0,21,ipv4
IM,85.184.200.0,21,ipv4
IM,85.184.208.0,20,ipv4
IM,87.254.64.0,19,ipv4
IM,89.40.171.0,24,ipv4
IM,89.107.0.0,21,ipv4
IM,91.199.83.0,24,ipv4
IM,91.206.144.0,23,ipv4
IM,91.211.96.0,22,ipv4
IM,91.223.161.0,24,ipv4
IM,92.39.192.0,20,ipv4
IM,93.113.129.0,24,ipv4
IM,94.125.56.0,21,ipv4
IM,103.214.248.0,23,ipv4
IM,109.70.40.0,21,ipv4
IM,109.202.112.0,21,ipv4
IM,146.247.48.0,20,ipv4
IM,178.16.0.0,20,ipv4
IM,178.211.144.0,24,ipv4
IM,178.217.93.0,24,ipv4
IM,185.1.178.0,24,ipv4
IM,185.16.0.0,22,ipv4
IM,185.28.72.0,22,ipv4
IM,185.48.76.0,22,ipv4
IM,185.60.88.0,22,ipv4
IM,185.63.184.0,22,ipv4
IM,185.64.144.0,22,ipv4
IM,185.74.56.0,22,ipv4
IM,185.84.67.0,24,ipv4
IM,185.90.216.0,22,ipv4
IM,185.162.228.0,22,ipv4
IM,185.179.89.0,24,ipv4
IM,185.180.168.0,22,ipv4
IM,185.184.229.0,24,ipv4
IM,185.185.108.0,22,ipv4
IM,185.193.12.0,22,ipv4
IM,193.28.159.0,24,ipv4
IM,193.31.208.0,20,ipv4
IM,193.33.228.0,23,ipv4
IM,193.107.204.0,22,ipv4
IM,193.143.248.0,24,ipv4
IM,193.219.111.0,24,ipv4
IM,195.10.96.0,19,ipv4
IM,213.137.0.0,19,ipv4
IM,217.23.160.0,20,ipv4
IM,217.28.0.0,20,ipv4
