Country,IP,PrefixLength,Version
IS,5.23.64.0,19,ipv4
IS,31.15.112.0,21,ipv4
IS,31.43.172.0,23,ipv4
IS,31.209.136.0,21,ipv4
IS,31.209.144.0,20,ipv4
IS,31.209.192.0,18,ipv4
IS,37.152.64.0,21,ipv4
IS,37.156.68.0,24,ipv4
IS,37.205.32.0,21,ipv4
IS,37.228.128.0,24,ipv4
IS,37.228.129.0,24,ipv4
IS,46.22.96.0,20,ipv4
IS,46.28.152.0,21,ipv4
IS,46.182.184.0,21,ipv4
IS,46.239.192.0,18,ipv4
IS,62.145.128.0,19,ipv4
IS,77.73.33.0,24,ipv4
IS,78.40.248.0,21,ipv4
IS,79.171.96.0,21,ipv4
IS,80.248.16.0,20,ipv4
IS,81.15.0.0,17,ipv4
IS,82.112.64.0,19,ipv4
IS,82.148.64.0,19,ipv4
IS,82.221.0.0,16,ipv4
IS,83.173.0.0,18,ipv4
IS,85.116.64.0,19,ipv4
IS,85.197.192.0,18,ipv4
IS,85.220.0.0,17,ipv4
IS,87.121.23.0,24,ipv4
IS,87.237.32.0,21,ipv4
IS,88.135.70.0,24,ipv4
IS,88.149.0.0,17,ipv4
IS,88.151.48.0,21,ipv4
IS,89.17.128.0,19,ipv4
IS,89.104.128.0,19,ipv4
IS,89.147.108.0,22,ipv4
IS,89.160.128.0,17,ipv4
IS,91.199.134.0,24,ipv4
IS,91.208.22.0,24,ipv4
IS,91.216.255.0,24,ipv4
IS,91.220.110.0,24,ipv4
IS,91.220.138.0,24,ipv4
IS,91.235.6.0,24,ipv4
IS,92.43.192.0,21,ipv4
IS,93.95.25.0,24,ipv4
IS,93.95.72.0,21,ipv4
IS,93.95.224.0,21,ipv4
IS,94.142.152.0,21,ipv4
IS,94.198.48.0,23,ipv4
IS,128.140.232.0,21,ipv4
IS,130.208.0.0,16,ipv4
IS,141.138.152.0,21,ipv4
IS,147.28.16.0,20,ipv4
IS,149.126.80.0,21,ipv4
IS,153.92.128.0,19,ipv4
IS,157.97.0.0,19,ipv4
IS,157.157.0.0,16,ipv4
IS,160.20.214.0,23,ipv4
IS,160.210.0.0,16,ipv4
IS,176.10.32.0,21,ipv4
IS,176.57.224.0,20,ipv4
IS,178.19.48.0,20,ipv4
IS,178.248.16.0,21,ipv4
IS,185.1.200.0,24,ipv4
IS,185.10.68.0,24,ipv4
IS,185.21.16.0,22,ipv4
IS,185.24.0.0,22,ipv4
IS,185.25.252.0,22,ipv4
IS,185.27.36.0,22,ipv4
IS,185.29.196.0,22,ipv4
