country,ip,prefixlength,version
JE,5.35.160.0,21,ipv4
JE,5.42.128.0,21,ipv4
JE,31.186.112.0,21,ipv4
JE,37.156.38.0,23,ipv4
JE,46.254.248.0,21,ipv4
JE,81.20.176.0,20,ipv4
JE,82.112.128.0,19,ipv4
JE,83.137.248.0,21,ipv4
JE,87.237.128.0,21,ipv4
JE,87.244.64.0,18,ipv4
JE,93.191.200.0,22,ipv4
JE,93.191.204.0,23,ipv4
JE,93.191.206.0,23,ipv4
JE,109.68.192.0,22,ipv4
JE,146.19.127.0,24,ipv4
JE,165.250.0.0,16,ipv4
JE,173.255.144.0,21,ipv4
JE,185.3.52.0,22,ipv4
JE,185.16.68.0,22,ipv4
JE,185.48.60.0,22,ipv4
JE,185.57.212.0,22,ipv4
JE,185.87.8.0,22,ipv4
JE,185.113.12.0,22,ipv4
JE,185.122.244.0,22,ipv4
JE,185.158.120.0,22,ipv4
JE,185.179.89.0,24,ipv4
JE,185.179.101.0,24,ipv4
JE,185.206.12.0,22,ipv4
JE,185.235.244.0,24,ipv4
JE,188.116.44.0,24,ipv4
JE,193.3.239.0,24,ipv4
JE,193.17.36.0,22,ipv4
JE,193.36.44.0,24,ipv4
JE,193.201.42.0,24,ipv4
JE,194.34.106.0,23,ipv4
JE,199.34.116.0,22,ipv4
JE,199.66.128.0,22,ipv4
JE,209.251.252.0,23,ipv4
JE,212.9.0.0,19,ipv4
JE,213.133.192.0,19,ipv4
JE,213.134.23.0,24,ipv4
JE,217.198.188.0,24,ipv4
