Country,IP,PrefixLength,Version
JM,23.156.32.0,24,ipv4
JM,63.143.64.0,18,ipv4
JM,64.112.16.0,22,ipv4
JM,65.183.0.0,20,ipv4
JM,66.54.112.0,20,ipv4
JM,66.71.196.0,23,ipv4
JM,66.212.52.0,22,ipv4
JM,66.249.144.0,20,ipv4
JM,67.213.144.0,20,ipv4
JM,69.160.96.0,19,ipv4
JM,72.27.0.0,17,ipv4
JM,72.27.128.0,18,ipv4
JM,72.27.192.0,19,ipv4
JM,74.116.56.0,22,ipv4
JM,96.43.160.0,19,ipv4
JM,104.152.236.0,22,ipv4
JM,104.244.224.0,21,ipv4
JM,142.0.224.0,20,ipv4
JM,162.216.160.0,21,ipv4
JM,162.246.0.0,22,ipv4
JM,170.62.168.0,22,ipv4
JM,170.62.196.0,22,ipv4
JM,173.225.240.0,20,ipv4
JM,184.170.0.0,18,ipv4
JM,192.131.32.0,21,ipv4
JM,196.1.136.0,24,ipv4
JM,196.1.138.0,23,ipv4
JM,196.2.0.0,24,ipv4
JM,196.2.1.0,24,ipv4
JM,196.3.0.0,21,ipv4
JM,196.3.95.0,24,ipv4
JM,196.3.104.0,24,ipv4
JM,196.3.153.0,24,ipv4
JM,196.3.184.0,21,ipv4
JM,196.32.0.0,21,ipv4
JM,198.58.0.0,23,ipv4
JM,199.73.60.0,22,ipv4
JM,199.115.28.0,23,ipv4
JM,199.195.220.0,22,ipv4
JM,200.9.115.0,24,ipv4
JM,200.10.152.0,24,ipv4
JM,206.41.107.0,24,ipv4
JM,207.204.64.0,18,ipv4
JM,207.254.128.0,20,ipv4
JM,208.131.160.0,19,ipv4
JM,208.138.16.0,20,ipv4
JM,208.138.32.0,20,ipv4
JM,208.163.32.0,19,ipv4
JM,209.112.84.0,22,ipv4
JM,209.236.0.0,18,ipv4
JM,216.10.208.0,20,ipv4
