Country,IP,PrefixLength,Version
KG,5.57.8.0,21,ipv4
KG,31.3.216.0,24,ipv4
KG,31.29.0.0,19,ipv4
KG,31.186.48.0,21,ipv4
KG,31.192.248.0,21,ipv4
KG,37.218.128.0,18,ipv4
KG,46.226.208.0,21,ipv4
KG,46.251.192.0,19,ipv4
KG,66.132.134.0,24,ipv4
KG,77.95.56.0,21,ipv4
KG,77.220.204.0,23,ipv4
KG,77.235.0.0,19,ipv4
KG,78.136.254.0,24,ipv4
KG,78.136.255.0,24,ipv4
KG,80.72.176.0,20,ipv4
KG,81.20.16.0,20,ipv4
KG,81.88.192.0,20,ipv4
KG,84.54.12.0,24,ipv4
KG,85.113.0.0,19,ipv4
KG,89.237.192.0,18,ipv4
KG,91.192.64.0,22,ipv4
KG,91.199.112.0,24,ipv4
KG,91.205.48.0,22,ipv4
KG,91.207.28.0,23,ipv4
KG,91.213.233.0,24,ipv4
KG,91.229.224.0,24,ipv4
KG,91.237.180.0,24,ipv4
KG,91.240.245.0,24,ipv4
KG,91.247.56.0,22,ipv4
KG,91.247.60.0,22,ipv4
KG,92.62.64.0,20,ipv4
KG,92.245.96.0,19,ipv4
KG,93.157.224.0,21,ipv4
KG,94.143.192.0,21,ipv4
KG,95.87.64.0,21,ipv4
KG,95.87.72.0,21,ipv4
KG,95.87.80.0,21,ipv4
KG,95.87.88.0,23,ipv4
KG,95.87.90.0,23,ipv4
KG,95.87.92.0,22,ipv4
KG,95.130.231.0,24,ipv4
KG,95.215.244.0,22,ipv4
KG,109.71.224.0,21,ipv4
KG,109.201.160.0,19,ipv4
KG,139.28.28.0,22,ipv4
KG,146.19.220.0,24,ipv4
KG,158.181.0.0,19,ipv4
KG,158.181.128.0,17,ipv4
KG,176.123.224.0,19,ipv4
KG,176.126.164.0,22,ipv4
KG,178.216.208.0,21,ipv4
KG,178.217.168.0,21,ipv4
KG,185.1.110.0,24,ipv4
KG,185.1.151.0,24,ipv4
KG,185.20.120.0,22,ipv4
KG,185.29.184.0,22,ipv4
KG,185.39.79.0,24,ipv4
KG,185.48.136.0,22,ipv4
KG,185.53.228.0,22,ipv4
KG,185.54.252.0,22,ipv4
KG,185.66.252.0,22,ipv4
KG,185.81.180.0,22,ipv4
KG,185.88.32.0,22,ipv4
KG,185.117.148.0,22,ipv4
KG,185.138.100.0,22,ipv4
KG,185.138.184.0,22,ipv4
KG,185.157.136.0,22,ipv4
KG,185.161.48.0,22,ipv4
KG,185.211.228.0,22,ipv4
KG,185.229.36.0,22,ipv4
KG,188.244.124.0,24,ipv4
KG,193.34.225.0,24,ipv4
KG,193.36.95.0,24,ipv4
KG,193.106.48.0,22,ipv4
KG,193.151.226.0,24,ipv4
KG,193.176.239.0,24,ipv4
KG,194.56.214.0,24,ipv4
KG,194.76.192.0,24,ipv4
KG,194.76.217.0,24,ipv4
KG,194.76.218.0,24,ipv4
KG,194.76.238.0,24,ipv4
KG,194.150.178.0,24,ipv4
KG,194.152.36.0,23,ipv4
KG,194.176.111.0,24,ipv4
KG,194.180.245.0,24,ipv4
KG,195.38.160.0,19,ipv4
KG,195.54.180.0,23,ipv4
KG,195.114.240.0,20,ipv4
KG,195.191.231.0,24,ipv4
KG,195.211.167.0,24,ipv4
KG,195.216.237.0,24,ipv4
KG,212.2.224.0,21,ipv4
KG,212.2.232.0,24,ipv4
KG,212.2.233.0,24,ipv4
KG,212.42.96.0,19,ipv4
KG,212.97.0.0,19,ipv4
KG,212.112.96.0,19,ipv4
KG,212.241.0.0,19,ipv4
KG,213.109.64.0,21,ipv4
KG,213.145.128.0,19,ipv4
KG,213.232.200.0,24,ipv4
KG,217.29.16.0,20,ipv4
