country,ip,prefixlength,version
KY,23.188.0.0,24,ipv4
KY,63.136.112.0,21,ipv4
KY,74.117.216.0,21,ipv4
KY,74.222.64.0,19,ipv4
KY,76.76.15.0,24,ipv4
KY,138.43.115.0,24,ipv4
KY,138.43.248.0,22,ipv4
KY,149.112.19.0,24,ipv4
KY,157.207.32.0,22,ipv4
KY,161.199.132.0,22,ipv4
KY,162.211.136.0,22,ipv4
KY,162.247.220.0,22,ipv4
KY,162.249.128.0,21,ipv4
KY,173.225.208.0,20,ipv4
KY,192.0.4.0,22,ipv4
KY,192.160.250.0,24,ipv4
KY,199.201.84.0,22,ipv4
KY,208.82.216.0,22,ipv4
KY,208.157.144.0,21,ipv4
KY,208.168.224.0,19,ipv4
KY,209.27.52.0,22,ipv4
KY,209.27.60.0,22,ipv4
KY,216.144.80.0,20,ipv4
