Country,IP,PrefixLength,Version
LK,43.224.124.0,22,ipv4
LK,43.228.108.0,22,ipv4
LK,43.250.240.0,22,ipv4
LK,43.252.12.0,22,ipv4
LK,45.121.88.0,22,ipv4
LK,61.245.160.0,20,ipv4
LK,101.2.176.0,20,ipv4
LK,103.1.176.0,22,ipv4
LK,103.2.148.0,22,ipv4
LK,103.2.152.0,22,ipv4
LK,103.11.32.0,22,ipv4
LK,103.21.164.0,22,ipv4
LK,103.77.64.0,22,ipv4
LK,103.84.160.0,22,ipv4
LK,103.87.12.0,22,ipv4
LK,103.87.124.0,22,ipv4
LK,103.96.226.0,23,ipv4
LK,103.99.100.0,24,ipv4
LK,103.138.180.0,24,ipv4
LK,103.140.194.0,23,ipv4
LK,103.142.50.0,24,ipv4
LK,103.144.60.0,24,ipv4
LK,103.210.128.0,23,ipv4
LK,103.227.244.0,22,ipv4
LK,103.230.177.0,24,ipv4
LK,103.241.27.0,24,ipv4
LK,103.247.48.0,22,ipv4
LK,111.223.128.0,18,ipv4
LK,112.134.0.0,15,ipv4
LK,113.59.192.0,19,ipv4
LK,116.12.64.0,18,ipv4
LK,116.204.212.0,22,ipv4
LK,116.206.20.0,22,ipv4
LK,116.206.180.0,22,ipv4
LK,116.206.244.0,22,ipv4
LK,119.235.0.0,22,ipv4
LK,119.235.4.0,22,ipv4
LK,119.235.8.0,23,ipv4
LK,119.235.10.0,24,ipv4
LK,119.235.11.0,24,ipv4
LK,119.235.12.0,24,ipv4
LK,119.235.13.0,24,ipv4
LK,119.235.14.0,23,ipv4
LK,122.255.0.0,18,ipv4
LK,123.231.0.0,17,ipv4
LK,124.6.240.0,20,ipv4
LK,124.43.0.0,16,ipv4
LK,125.214.160.0,19,ipv4
LK,157.10.164.0,24,ipv4
LK,175.157.0.0,16,ipv4
LK,182.161.0.0,19,ipv4
LK,192.248.0.0,17,ipv4
LK,194.140.200.0,21,ipv4
LK,202.69.192.0,20,ipv4
LK,202.124.160.0,20,ipv4
LK,202.124.176.0,20,ipv4
LK,202.129.232.0,22,ipv4
LK,203.34.116.0,24,ipv4
LK,203.81.96.0,23,ipv4
LK,203.81.98.0,24,ipv4
LK,203.81.99.0,24,ipv4
LK,203.81.100.0,23,ipv4
LK,203.81.102.0,24,ipv4
LK,203.81.103.0,24,ipv4
LK,203.81.104.0,21,ipv4
LK,203.94.64.0,19,ipv4
LK,203.94.96.0,19,ipv4
LK,203.96.160.0,22,ipv4
LK,203.115.0.0,19,ipv4
LK,203.115.32.0,19,ipv4
LK,203.143.0.0,22,ipv4
LK,203.143.4.0,22,ipv4
LK,203.143.8.0,21,ipv4
LK,203.143.16.0,20,ipv4
LK,203.143.32.0,19,ipv4
LK,203.153.220.0,22,ipv4
LK,203.189.64.0,20,ipv4
LK,203.189.184.0,21,ipv4
LK,212.104.224.0,20,ipv4
LK,218.100.57.0,24,ipv4
LK,218.100.61.0,24,ipv4
LK,220.247.192.0,18,ipv4
LK,222.165.128.0,18,ipv4
LK,223.224.0.0,19,ipv4
