country,ip,prefixlength,version
LV,2.58.16.0,22,ipv4
LV,5.44.216.0,21,ipv4
LV,5.45.44.0,22,ipv4
LV,5.152.224.0,21,ipv4
LV,5.179.0.0,19,ipv4
LV,31.24.192.0,21,ipv4
LV,31.42.80.0,20,ipv4
LV,31.131.88.0,22,ipv4
LV,31.170.16.0,21,ipv4
LV,31.222.233.0,24,ipv4
LV,37.44.214.0,24,ipv4
LV,37.148.168.0,21,ipv4
LV,37.203.32.0,21,ipv4
LV,45.11.192.0,22,ipv4
LV,45.13.96.0,22,ipv4
LV,45.65.124.0,22,ipv4
LV,45.80.52.0,22,ipv4
LV,45.93.23.0,24,ipv4
LV,45.131.182.0,23,ipv4
LV,45.137.212.0,22,ipv4
LV,45.153.208.0,22,ipv4
LV,46.16.128.0,22,ipv4
LV,46.19.144.0,21,ipv4
LV,46.19.200.0,21,ipv4
LV,46.23.32.0,20,ipv4
LV,46.28.56.0,21,ipv4
LV,46.109.0.0,16,ipv4
LV,46.227.165.0,24,ipv4
LV,62.63.128.0,18,ipv4
LV,62.84.0.0,19,ipv4
LV,62.85.0.0,19,ipv4
LV,62.85.32.0,19,ipv4
LV,62.85.64.0,18,ipv4
LV,62.122.16.0,21,ipv4
LV,62.205.192.0,18,ipv4
LV,77.38.128.0,17,ipv4
LV,77.73.32.0,24,ipv4
LV,77.73.64.0,21,ipv4
LV,77.93.0.0,19,ipv4
LV,77.240.244.0,22,ipv4
LV,77.241.64.0,22,ipv4
LV,77.241.160.0,22,ipv4
LV,78.28.192.0,18,ipv4
LV,78.84.0.0,16,ipv4
LV,78.154.128.0,19,ipv4
LV,79.132.64.0,19,ipv4
LV,79.135.128.0,19,ipv4
LV,80.70.16.0,20,ipv4
LV,80.81.32.0,20,ipv4
LV,80.81.48.0,20,ipv4
LV,80.89.72.0,21,ipv4
LV,80.232.128.0,17,ipv4
LV,80.233.128.0,17,ipv4
LV,80.250.48.0,20,ipv4
LV,80.254.208.0,20,ipv4
LV,80.255.224.0,20,ipv4
LV,81.94.224.0,20,ipv4
LV,81.163.72.0,21,ipv4
LV,81.198.0.0,16,ipv4
LV,82.193.64.0,19,ipv4
LV,83.99.128.0,17,ipv4
LV,83.136.136.0,21,ipv4
LV,83.223.128.0,19,ipv4
LV,83.241.0.0,17,ipv4
LV,83.243.88.0,21,ipv4
LV,84.38.128.0,24,ipv4
LV,84.38.136.0,21,ipv4
LV,84.237.128.0,17,ipv4
LV,84.245.192.0,18,ipv4
LV,85.15.192.0,18,ipv4
LV,85.31.96.0,21,ipv4
LV,85.115.96.0,19,ipv4
LV,85.158.72.0,21,ipv4
LV,85.234.160.0,19,ipv4
LV,85.254.0.0,17,ipv4
LV,85.254.128.0,18,ipv4
LV,85.254.192.0,18,ipv4
LV,85.255.64.0,20,ipv4
LV,86.63.160.0,19,ipv4
LV,86.105.182.0,24,ipv4
LV,87.99.64.0,19,ipv4
LV,87.110.0.0,16,ipv4
LV,87.226.0.0,17,ipv4
LV,87.246.128.0,20,ipv4
LV,87.246.144.0,20,ipv4
LV,87.246.160.0,19,ipv4
LV,88.135.128.0,19,ipv4
LV,89.18.192.0,19,ipv4
LV,89.107.10.0,24,ipv4
LV,89.111.0.0,18,ipv4
LV,89.191.96.0,19,ipv4
LV,89.200.232.0,21,ipv4
LV,89.201.0.0,17,ipv4
LV,89.207.240.0,21,ipv4
LV,89.221.112.0,20,ipv4
LV,89.248.80.0,20,ipv4
LV,89.254.128.0,18,ipv4
LV,91.90.224.0,19,ipv4
LV,91.105.0.0,17,ipv4
LV,91.105.200.0,22,ipv4
LV,91.105.204.0,22,ipv4
LV,91.123.64.0,20,ipv4
LV,91.135.16.0,20,ipv4
LV,91.135.80.0,20,ipv4
LV,91.142.0.0,20,ipv4
LV,91.188.32.0,19,ipv4
LV,91.190.32.0,19,ipv4
LV,91.190.128.0,21,ipv4
LV,91.193.64.0,22,ipv4
LV,91.194.110.0,24,ipv4
LV,91.194.176.0,24,ipv4
LV,91.197.0.0,22,ipv4
LV,91.198.91.0,24,ipv4
LV,91.198.156.0,24,ipv4
LV,91.199.86.0,24,ipv4
LV,91.200.64.0,22,ipv4
LV,91.200.178.0,24,ipv4
LV,91.201.12.0,22,ipv4
LV,91.203.68.0,22,ipv4
LV,91.204.64.0,22,ipv4
LV,91.212.63.0,24,ipv4
LV,91.213.105.0,24,ipv4
LV,91.213.106.0,24,ipv4
LV,91.213.251.0,24,ipv4
LV,91.216.1.0,24,ipv4
LV,91.216.2.0,24,ipv4
LV,91.217.144.0,24,ipv4
LV,91.217.153.0,24,ipv4
LV,91.218.52.0,22,ipv4
LV,91.220.43.0,24,ipv4
LV,91.221.20.0,23,ipv4
LV,91.221.62.0,23,ipv4
LV,91.223.165.0,24,ipv4
LV,91.224.12.0,23,ipv4
LV,91.227.101.0,24,ipv4
LV,91.230.106.0,24,ipv4
LV,91.231.68.0,24,ipv4
LV,91.233.214.0,23,ipv4
LV,91.236.188.0,24,ipv4
LV,91.237.42.0,24,ipv4
LV,91.237.98.0,23,ipv4
LV,91.240.246.0,23,ipv4
LV,91.241.64.0,22,ipv4
LV,91.245.194.0,24,ipv4
LV,91.247.72.0,24,ipv4
LV,92.49.0.0,18,ipv4
LV,92.63.80.0,20,ipv4
LV,92.240.64.0,19,ipv4
LV,92.243.84.0,24,ipv4
LV,93.177.192.0,18,ipv4
LV,94.30.128.0,17,ipv4
LV,94.100.0.0,20,ipv4
LV,94.101.224.0,20,ipv4
LV,94.103.48.0,20,ipv4
LV,94.140.96.0,19,ipv4
LV,94.232.252.0,22,ipv4
LV,94.242.48.0,20,ipv4
LV,95.68.0.0,17,ipv4
LV,95.130.32.0,21,ipv4
LV,95.131.112.0,21,ipv4
LV,95.215.44.0,22,ipv4
LV,103.35.160.0,22,ipv4
LV,103.237.44.0,22,ipv4
LV,109.73.96.0,20,ipv4
LV,109.110.0.0,19,ipv4
LV,109.197.208.0,21,ipv4
LV,109.205.120.0,21,ipv4
LV,109.229.192.0,19,ipv4
LV,136.169.0.0,17,ipv4
LV,139.28.252.0,22,ipv4
LV,141.98.184.0,22,ipv4
LV,141.136.0.0,21,ipv4
LV,146.19.247.0,24,ipv4
LV,158.255.56.0,21,ipv4
LV,159.148.0.0,16,ipv4
LV,171.25.218.0,23,ipv4
LV,176.57.40.0,21,ipv4
LV,176.67.32.0,20,ipv4
LV,176.103.176.0,20,ipv4
LV,176.103.192.0,21,ipv4
LV,176.106.48.0,20,ipv4
LV,176.106.96.0,21,ipv4
LV,176.106.160.0,20,ipv4
LV,176.106.176.0,21,ipv4
LV,176.223.109.0,24,ipv4
LV,178.16.16.0,20,ipv4
LV,178.212.252.0,23,ipv4
LV,178.213.48.0,21,ipv4
LV,178.236.192.0,22,ipv4
LV,178.249.32.0,21,ipv4
LV,178.250.184.0,22,ipv4
LV,178.250.188.0,23,ipv4
LV,178.250.190.0,23,ipv4
LV,185.1.236.0,24,ipv4
LV,185.7.236.0,22,ipv4
LV,185.8.60.0,22,ipv4
LV,185.13.152.0,22,ipv4
LV,185.22.172.0,22,ipv4
LV,185.23.160.0,22,ipv4
LV,185.27.92.0,22,ipv4
LV,185.31.44.0,22,ipv4
LV,185.34.24.0,22,ipv4
LV,185.34.68.0,22,ipv4
LV,185.38.56.0,22,ipv4
LV,185.47.8.0,22,ipv4
LV,185.47.92.0,22,ipv4
LV,185.59.252.0,22,ipv4
LV,185.61.148.0,22,ipv4
LV,185.62.196.0,22,ipv4
LV,185.65.36.0,22,ipv4
LV,185.65.160.0,22,ipv4
LV,185.69.24.0,22,ipv4
LV,185.71.128.0,22,ipv4
LV,185.72.84.0,22,ipv4
LV,185.72.204.0,22,ipv4
LV,185.75.236.0,22,ipv4
LV,185.80.236.0,22,ipv4
LV,185.81.48.0,22,ipv4
LV,185.81.128.0,22,ipv4
LV,185.82.124.0,22,ipv4
LV,185.86.148.0,22,ipv4
LV,185.87.204.0,22,ipv4
LV,185.113.168.0,22,ipv4
LV,185.116.208.0,22,ipv4
LV,185.118.76.0,22,ipv4
LV,185.129.148.0,22,ipv4
LV,185.141.52.0,22,ipv4
LV,185.144.184.0,22,ipv4
LV,185.145.245.0,24,ipv4
LV,185.147.56.0,22,ipv4
LV,185.155.119.0,24,ipv4
LV,185.176.60.0,22,ipv4
LV,185.176.116.0,22,ipv4
LV,185.176.220.0,22,ipv4
LV,185.178.48.0,24,ipv4
LV,185.182.92.0,22,ipv4
LV,185.197.160.0,22,ipv4
LV,185.205.60.0,22,ipv4
LV,185.209.0.0,22,ipv4
LV,185.209.144.0,22,ipv4
LV,185.211.96.0,22,ipv4
LV,185.213.200.0,22,ipv4
LV,185.219.156.0,22,ipv4
LV,185.220.92.0,23,ipv4
LV,185.220.116.0,22,ipv4
LV,185.220.196.0,22,ipv4
LV,185.242.104.0,22,ipv4
LV,185.250.116.0,22,ipv4
LV,185.253.61.0,24,ipv4
LV,188.64.176.0,21,ipv4
LV,188.92.16.0,21,ipv4
LV,188.92.72.0,21,ipv4
LV,188.112.128.0,18,ipv4
LV,192.144.36.0,22,ipv4
LV,192.162.104.0,22,ipv4
LV,193.0.136.0,22,ipv4
LV,193.0.140.0,23,ipv4
LV,193.0.227.0,24,ipv4
LV,193.0.229.0,24,ipv4
LV,193.0.230.0,24,ipv4
LV,193.0.239.0,24,ipv4
LV,193.9.120.0,24,ipv4
LV,193.27.72.0,23,ipv4
LV,193.32.52.0,24,ipv4
LV,193.41.33.0,24,ipv4
LV,193.41.45.0,24,ipv4
LV,193.41.195.0,24,ipv4
LV,193.42.108.0,22,ipv4
LV,193.46.236.0,24,ipv4
LV,193.68.64.0,19,ipv4
LV,193.84.184.0,24,ipv4
LV,193.91.2.0,23,ipv4
LV,193.91.14.0,23,ipv4
LV,193.93.62.0,24,ipv4
LV,193.105.104.0,24,ipv4
LV,193.105.155.0,24,ipv4
LV,193.105.166.0,24,ipv4
LV,193.106.80.0,22,ipv4
LV,193.108.29.0,24,ipv4
LV,193.108.144.0,22,ipv4
LV,193.108.185.0,24,ipv4
LV,193.109.211.0,24,ipv4
LV,193.110.8.0,23,ipv4
LV,193.110.164.0,23,ipv4
LV,193.111.244.0,22,ipv4
LV,193.138.77.0,24,ipv4
LV,193.138.188.0,22,ipv4
LV,193.164.210.0,23,ipv4
LV,193.169.12.0,23,ipv4
LV,193.169.166.0,23,ipv4
LV,193.169.194.0,23,ipv4
LV,193.178.150.0,23,ipv4
LV,193.178.176.0,21,ipv4
LV,193.178.192.0,22,ipv4
LV,193.178.232.0,23,ipv4
LV,193.200.131.0,24,ipv4
LV,193.200.201.0,24,ipv4
LV,193.200.224.0,24,ipv4
LV,193.201.66.0,23,ipv4
LV,193.238.212.0,22,ipv4
LV,193.238.216.0,21,ipv4
LV,194.0.8.0,24,ipv4
LV,194.0.48.0,24,ipv4
LV,194.0.49.0,24,ipv4
LV,194.0.50.0,24,ipv4
LV,194.0.242.0,24,ipv4
LV,194.8.1.0,24,ipv4
LV,194.8.2.0,23,ipv4
LV,194.8.5.0,22,ipv4
LV,194.8.9.0,24,ipv4
LV,194.8.10.0,23,ipv4
LV,194.8.16.0,20,ipv4
LV,194.8.32.0,20,ipv4
LV,194.9.170.0,24,ipv4
LV,194.9.175.0,24,ipv4
LV,194.9.212.0,22,ipv4
LV,194.19.224.0,19,ipv4
LV,194.26.199.0,24,ipv4
LV,194.48.199.0,24,ipv4
LV,194.50.105.0,24,ipv4
LV,194.76.192.0,24,ipv4
LV,194.76.217.0,24,ipv4
LV,194.76.218.0,24,ipv4
LV,194.76.238.0,24,ipv4
LV,194.105.56.0,24,ipv4
LV,194.125.240.0,24,ipv4
LV,194.125.241.0,24,ipv4
LV,194.126.199.0,24,ipv4
LV,194.143.152.0,23,ipv4
LV,194.152.32.0,23,ipv4
LV,194.153.79.0,24,ipv4
LV,194.153.171.0,24,ipv4
LV,194.187.68.0,22,ipv4
LV,194.187.119.0,24,ipv4
LV,194.213.9.0,24,ipv4
LV,194.213.100.0,23,ipv4
LV,195.2.96.0,19,ipv4
LV,195.3.144.0,22,ipv4
LV,195.5.102.0,23,ipv4
LV,195.8.115.0,24,ipv4
LV,195.10.204.0,24,ipv4
LV,195.10.216.0,24,ipv4
LV,195.13.128.0,17,ipv4
LV,195.20.126.0,23,ipv4
LV,195.26.20.0,23,ipv4
LV,195.35.107.0,24,ipv4
LV,195.43.82.0,23,ipv4
LV,195.47.218.0,24,ipv4
LV,195.47.230.0,24,ipv4
LV,195.47.239.0,24,ipv4
LV,195.47.242.0,24,ipv4
LV,195.60.248.0,22,ipv4
LV,195.62.128.0,19,ipv4
LV,195.66.64.0,24,ipv4
LV,195.69.88.0,22,ipv4
LV,195.114.32.0,19,ipv4
LV,195.122.0.0,19,ipv4
LV,195.130.205.0,24,ipv4
LV,195.135.252.0,22,ipv4
LV,195.160.170.0,23,ipv4
LV,195.162.74.0,23,ipv4
LV,195.178.96.0,23,ipv4
LV,195.182.47.0,24,ipv4
LV,195.206.242.0,24,ipv4
LV,195.211.156.0,22,ipv4
LV,195.216.236.0,24,ipv4
LV,195.234.131.0,24,ipv4
LV,195.234.144.0,24,ipv4
LV,195.244.128.0,20,ipv4
LV,195.244.144.0,20,ipv4
LV,195.245.194.0,24,ipv4
LV,195.246.226.0,23,ipv4
LV,195.246.252.0,23,ipv4
LV,195.248.64.0,24,ipv4
LV,212.3.192.0,19,ipv4
LV,212.6.44.0,24,ipv4
LV,212.52.1.0,24,ipv4
LV,212.70.160.0,19,ipv4
LV,212.93.96.0,19,ipv4
LV,212.142.64.0,18,ipv4
LV,213.21.192.0,18,ipv4
