Country,IP,PrefixLength,Version
MA,41.77.112.0,21,ipv4
MA,41.87.128.0,19,ipv4
MA,41.92.0.0,17,ipv4
MA,41.137.0.0,16,ipv4
MA,41.140.0.0,14,ipv4
MA,41.205.192.0,19,ipv4
MA,41.214.128.0,17,ipv4
MA,41.216.224.0,22,ipv4
MA,41.248.0.0,14,ipv4
MA,45.216.0.0,14,ipv4
MA,62.251.128.0,17,ipv4
MA,80.250.32.0,20,ipv4
MA,81.192.0.0,16,ipv4
MA,102.48.0.0,13,ipv4
MA,102.64.4.0,23,ipv4
MA,102.67.148.0,22,ipv4
MA,102.68.8.0,22,ipv4
MA,102.72.0.0,13,ipv4
MA,102.96.0.0,13,ipv4
MA,102.135.248.0,22,ipv4
MA,102.165.189.0,24,ipv4
MA,102.203.136.0,24,ipv4
MA,102.204.212.0,23,ipv4
MA,102.204.214.0,24,ipv4
MA,102.205.4.0,22,ipv4
MA,102.207.32.0,22,ipv4
MA,102.208.100.0,22,ipv4
MA,102.208.146.0,23,ipv4
MA,102.210.92.0,22,ipv4
MA,102.210.212.0,22,ipv4
MA,102.212.205.0,24,ipv4
MA,102.216.12.0,22,ipv4
MA,102.216.118.0,24,ipv4
MA,102.218.131.0,24,ipv4
MA,102.220.124.0,24,ipv4
MA,102.222.176.0,22,ipv4
MA,102.222.212.0,22,ipv4
MA,105.64.0.0,12,ipv4
MA,105.128.0.0,11,ipv4
MA,105.188.0.0,14,ipv4
MA,154.70.200.0,21,ipv4
MA,154.144.0.0,13,ipv4
MA,160.77.0.0,16,ipv4
MA,160.89.0.0,16,ipv4
MA,160.90.0.0,16,ipv4
MA,160.105.0.0,16,ipv4
MA,160.160.0.0,12,ipv4
MA,160.176.0.0,14,ipv4
MA,169.255.176.0,22,ipv4
MA,192.12.117.0,24,ipv4
MA,193.194.32.0,19,ipv4
MA,194.204.192.0,18,ipv4
MA,196.2.80.0,20,ipv4
MA,196.11.103.0,24,ipv4
MA,196.12.192.0,18,ipv4
MA,196.13.108.0,24,ipv4
MA,196.32.216.0,21,ipv4
MA,196.43.236.0,24,ipv4
MA,196.49.102.0,24,ipv4
MA,196.49.104.0,24,ipv4
MA,196.60.74.0,24,ipv4
MA,196.60.126.0,24,ipv4
MA,196.61.232.0,21,ipv4
MA,196.64.0.0,11,ipv4
MA,196.112.0.0,12,ipv4
MA,196.200.128.0,18,ipv4
MA,196.200.240.0,20,ipv4
MA,196.206.0.0,16,ipv4
MA,196.217.0.0,16,ipv4
MA,196.223.176.0,20,ipv4
MA,197.128.0.0,14,ipv4
MA,197.144.0.0,14,ipv4
MA,197.153.0.0,16,ipv4
MA,197.230.0.0,16,ipv4
MA,197.247.0.0,16,ipv4
MA,197.253.128.0,17,ipv4
MA,212.217.0.0,17,ipv4
