country,ip,prefixlength,version
MC,37.44.224.0,22,ipv4
MC,80.94.96.0,20,ipv4
MC,82.113.0.0,19,ipv4
MC,87.238.104.0,21,ipv4
MC,87.254.224.0,19,ipv4
MC,88.209.64.0,18,ipv4
MC,91.199.109.0,24,ipv4
MC,91.213.192.0,24,ipv4
MC,176.114.96.0,20,ipv4
MC,176.121.52.0,22,ipv4
MC,185.47.116.0,22,ipv4
MC,185.162.120.0,22,ipv4
MC,185.193.108.0,22,ipv4
MC,185.243.3.0,24,ipv4
MC,185.250.4.0,22,ipv4
MC,188.191.136.0,21,ipv4
MC,193.34.228.0,23,ipv4
MC,193.35.2.0,23,ipv4
MC,195.20.192.0,23,ipv4
MC,195.78.0.0,19,ipv4
MC,213.133.72.0,21,ipv4
