Country,IP,PrefixLength,Version
MD,2.57.152.0,22,ipv4
MD,2.59.204.0,22,ipv4
MD,5.32.168.0,21,ipv4
MD,5.56.64.0,18,ipv4
MD,5.63.19.0,24,ipv4
MD,5.180.4.0,22,ipv4
MD,5.181.156.0,22,ipv4
MD,5.182.28.0,22,ipv4
MD,5.252.176.0,22,ipv4
MD,5.253.228.0,22,ipv4
MD,31.31.0.0,19,ipv4
MD,31.131.0.0,21,ipv4
MD,31.210.169.0,24,ipv4
MD,31.222.238.0,24,ipv4
MD,37.26.128.0,20,ipv4
MD,37.34.96.0,19,ipv4
MD,37.75.16.0,20,ipv4
MD,37.75.64.0,18,ipv4
MD,37.221.124.0,22,ipv4
MD,37.233.0.0,18,ipv4
MD,45.15.224.0,22,ipv4
MD,45.15.244.0,22,ipv4
MD,45.67.116.0,22,ipv4
MD,45.67.196.0,22,ipv4
MD,45.67.228.0,22,ipv4
MD,45.81.252.0,22,ipv4
MD,45.83.176.0,22,ipv4
MD,45.86.16.0,22,ipv4
MD,45.86.20.0,22,ipv4
MD,45.88.124.0,22,ipv4
MD,45.91.84.0,22,ipv4
MD,45.95.11.0,24,ipv4
MD,45.120.176.0,22,ipv4
MD,45.137.228.0,22,ipv4
MD,45.144.32.0,22,ipv4
MD,45.145.176.0,22,ipv4
MD,45.150.44.0,22,ipv4
MD,45.150.168.0,22,ipv4
MD,45.151.196.0,22,ipv4
MD,46.55.0.0,17,ipv4
MD,46.166.0.0,18,ipv4
MD,62.3.12.0,24,ipv4
MD,62.68.73.0,24,ipv4
MD,62.106.83.0,24,ipv4
MD,62.221.64.0,18,ipv4
MD,74.119.192.0,22,ipv4
MD,77.75.230.0,24,ipv4
MD,77.81.96.0,24,ipv4
MD,77.89.192.0,18,ipv4
MD,77.235.96.0,19,ipv4
MD,77.246.242.0,24,ipv4
MD,79.140.160.0,20,ipv4
MD,79.170.224.0,21,ipv4
MD,80.71.157.0,24,ipv4
MD,80.92.204.0,23,ipv4
MD,80.92.206.0,24,ipv4
MD,80.94.80.0,23,ipv4
MD,80.94.240.0,20,ipv4
MD,80.245.80.0,20,ipv4
MD,81.31.128.0,20,ipv4
MD,83.143.68.0,22,ipv4
MD,83.218.192.0,19,ipv4
MD,84.234.48.0,20,ipv4
MD,84.246.85.0,24,ipv4
MD,85.204.176.0,21,ipv4
MD,86.104.72.0,22,ipv4
MD,86.104.196.0,22,ipv4
MD,86.105.56.0,21,ipv4
MD,86.105.80.0,21,ipv4
MD,86.105.172.0,22,ipv4
MD,86.105.208.0,22,ipv4
MD,86.106.144.0,21,ipv4
MD,86.106.208.0,20,ipv4
MD,86.106.224.0,19,ipv4
MD,86.107.64.0,22,ipv4
MD,86.107.160.0,21,ipv4
MD,87.236.147.0,24,ipv4
MD,87.248.160.0,19,ipv4
MD,87.255.64.0,19,ipv4
MD,89.28.0.0,17,ipv4
MD,89.32.56.0,21,ipv4
