Country,IP,PrefixLength,Version
ME,31.204.192.0,18,ipv4
ME,37.0.64.0,21,ipv4
ME,37.122.160.0,19,ipv4
ME,46.33.192.0,19,ipv4
ME,46.161.64.0,18,ipv4
ME,62.4.32.0,19,ipv4
ME,77.91.80.0,20,ipv4
ME,77.91.96.0,20,ipv4
ME,77.91.112.0,20,ipv4
ME,77.222.0.0,19,ipv4
ME,78.155.32.0,19,ipv4
ME,79.140.144.0,20,ipv4
ME,79.143.96.0,20,ipv4
ME,81.28.248.0,22,ipv4
ME,84.54.45.0,24,ipv4
ME,85.94.96.0,19,ipv4
ME,89.188.32.0,19,ipv4
ME,91.217.138.0,24,ipv4
ME,91.220.187.0,24,ipv4
ME,92.42.96.0,24,ipv4
ME,94.102.224.0,20,ipv4
ME,94.141.120.0,22,ipv4
ME,95.155.0.0,18,ipv4
ME,109.72.96.0,20,ipv4
ME,109.228.64.0,18,ipv4
ME,185.1.44.0,24,ipv4
ME,185.12.40.0,22,ipv4
ME,185.38.184.0,22,ipv4
ME,185.40.188.0,22,ipv4
ME,185.42.163.0,24,ipv4
ME,185.64.0.0,22,ipv4
ME,185.68.48.0,22,ipv4
ME,185.80.96.0,22,ipv4
ME,185.132.160.0,22,ipv4
ME,185.147.200.0,22,ipv4
ME,185.149.144.0,22,ipv4
ME,185.157.120.0,24,ipv4
ME,185.163.224.0,22,ipv4
ME,185.179.52.0,22,ipv4
ME,185.179.92.0,22,ipv4
ME,185.215.88.0,22,ipv4
ME,185.255.228.0,22,ipv4
ME,193.32.112.0,23,ipv4
ME,195.10.205.0,24,ipv4
ME,195.66.160.0,19,ipv4
ME,195.140.164.0,22,ipv4
ME,195.242.169.0,24,ipv4
ME,213.133.0.0,19,ipv4
ME,213.149.96.0,19,ipv4
ME,213.196.64.0,19,ipv4
