country,ip,prefixlength,version
MG,41.63.128.0,19,ipv4
MG,41.74.16.0,20,ipv4
MG,41.74.208.0,20,ipv4
MG,41.77.16.0,21,ipv4
MG,41.188.0.0,18,ipv4
MG,41.190.236.0,22,ipv4
MG,41.204.96.0,19,ipv4
MG,41.207.32.0,19,ipv4
MG,41.242.96.0,20,ipv4
MG,102.16.0.0,14,ipv4
MG,102.20.0.0,15,ipv4
MG,102.68.192.0,18,ipv4
MG,102.211.100.0,22,ipv4
MG,102.216.23.0,24,ipv4
MG,154.120.128.0,18,ipv4
MG,154.126.0.0,17,ipv4
MG,196.43.214.0,24,ipv4
MG,196.49.13.0,24,ipv4
MG,196.192.32.0,20,ipv4
MG,196.223.41.0,24,ipv4
MG,197.148.128.0,18,ipv4
MG,197.149.0.0,18,ipv4
MG,197.158.64.0,18,ipv4
MG,197.159.144.0,20,ipv4
MG,197.215.192.0,20,ipv4
