country,ip,prefixlength,version
MK,5.32.176.0,23,ipv4
MK,5.32.178.0,23,ipv4
MK,5.32.180.0,24,ipv4
MK,5.32.181.0,24,ipv4
MK,5.32.182.0,24,ipv4
MK,5.32.183.0,24,ipv4
MK,31.3.88.0,22,ipv4
MK,31.3.92.0,24,ipv4
MK,31.3.93.0,24,ipv4
MK,31.3.94.0,24,ipv4
MK,31.3.95.0,24,ipv4
MK,31.7.168.0,21,ipv4
MK,31.11.64.0,18,ipv4
MK,31.12.16.0,20,ipv4
MK,37.25.80.0,21,ipv4
MK,37.26.96.0,21,ipv4
MK,46.29.168.0,21,ipv4
MK,46.217.0.0,16,ipv4
MK,62.77.136.0,21,ipv4
MK,62.162.0.0,16,ipv4
MK,62.220.192.0,19,ipv4
MK,77.28.0.0,15,ipv4
MK,78.40.0.0,21,ipv4
MK,78.157.0.0,19,ipv4
MK,79.99.56.0,21,ipv4
MK,79.125.128.0,17,ipv4
MK,79.126.128.0,17,ipv4
MK,79.141.112.0,20,ipv4
MK,80.77.144.0,20,ipv4
MK,85.30.64.0,18,ipv4
MK,88.85.96.0,19,ipv4
MK,89.31.152.0,21,ipv4
MK,89.185.192.0,19,ipv4
MK,89.205.0.0,17,ipv4
MK,91.192.227.0,24,ipv4
MK,91.198.59.0,24,ipv4
MK,91.199.231.0,24,ipv4
MK,91.220.95.0,24,ipv4
MK,91.226.20.0,23,ipv4
MK,91.230.219.0,24,ipv4
MK,92.53.0.0,18,ipv4
MK,92.55.64.0,18,ipv4
MK,93.95.64.0,21,ipv4
MK,94.100.96.0,20,ipv4
MK,95.86.0.0,19,ipv4
MK,95.86.44.0,22,ipv4
MK,95.86.60.0,22,ipv4
MK,95.128.184.0,23,ipv4
MK,95.128.186.0,24,ipv4
MK,95.128.187.0,24,ipv4
MK,95.128.188.0,22,ipv4
MK,95.156.0.0,18,ipv4
MK,95.180.128.0,17,ipv4
MK,109.69.40.0,21,ipv4
MK,141.136.8.0,21,ipv4
MK,146.255.64.0,22,ipv4
MK,146.255.68.0,24,ipv4
MK,146.255.69.0,24,ipv4
MK,146.255.70.0,23,ipv4
MK,146.255.72.0,24,ipv4
MK,146.255.73.0,24,ipv4
MK,146.255.74.0,23,ipv4
MK,146.255.76.0,24,ipv4
MK,146.255.77.0,24,ipv4
MK,146.255.78.0,23,ipv4
MK,146.255.80.0,22,ipv4
MK,146.255.84.0,23,ipv4
MK,146.255.86.0,24,ipv4
MK,146.255.87.0,24,ipv4
MK,146.255.88.0,23,ipv4
MK,146.255.90.0,23,ipv4
MK,146.255.92.0,23,ipv4
MK,146.255.94.0,23,ipv4
MK,151.236.240.0,20,ipv4
MK,164.40.248.0,21,ipv4
MK,178.249.112.0,21,ipv4
MK,185.1.121.0,24,ipv4
MK,185.2.188.0,22,ipv4
MK,185.5.4.0,22,ipv4
MK,185.6.20.0,22,ipv4
MK,185.13.236.0,22,ipv4
MK,185.14.204.0,22,ipv4
MK,185.42.36.0,22,ipv4
MK,185.47.56.0,22,ipv4
MK,185.56.248.0,22,ipv4
MK,185.64.84.0,22,ipv4
MK,185.80.164.0,22,ipv4
MK,185.83.68.0,22,ipv4
MK,185.83.252.0,22,ipv4
MK,185.86.236.0,22,ipv4
MK,185.89.244.0,22,ipv4
MK,185.100.244.0,22,ipv4
MK,185.107.216.0,22,ipv4
MK,185.112.248.0,24,ipv4
MK,185.130.132.0,22,ipv4
MK,185.153.48.0,22,ipv4
MK,185.162.192.0,22,ipv4
MK,185.167.44.0,22,ipv4
MK,185.177.12.0,22,ipv4
MK,185.183.248.0,22,ipv4
MK,185.193.240.0,24,ipv4
MK,185.197.4.0,22,ipv4
MK,185.204.56.0,22,ipv4
MK,185.225.28.0,22,ipv4
MK,185.226.0.0,22,ipv4
MK,185.229.24.0,22,ipv4
MK,185.229.72.0,22,ipv4
MK,185.230.56.0,22,ipv4
MK,185.230.252.0,22,ipv4
MK,185.231.156.0,22,ipv4
MK,185.232.120.0,22,ipv4
MK,185.233.208.0,22,ipv4
MK,185.235.205.0,24,ipv4
MK,185.244.240.0,22,ipv4
MK,185.250.252.0,22,ipv4
MK,185.252.188.0,22,ipv4
MK,188.44.0.0,19,ipv4
MK,193.36.90.0,24,ipv4
MK,194.61.58.0,24,ipv4
MK,194.61.136.0,22,ipv4
MK,194.149.128.0,19,ipv4
MK,195.26.128.0,19,ipv4
MK,195.88.122.0,23,ipv4
MK,195.189.206.0,23,ipv4
MK,195.200.246.0,23,ipv4
MK,212.13.64.0,19,ipv4
MK,212.110.64.0,23,ipv4
MK,212.110.66.0,23,ipv4
MK,212.110.68.0,22,ipv4
MK,212.110.72.0,22,ipv4
MK,212.110.76.0,22,ipv4
MK,212.110.80.0,21,ipv4
MK,212.110.88.0,22,ipv4
MK,212.110.92.0,23,ipv4
MK,212.110.94.0,23,ipv4
MK,212.158.176.0,20,ipv4
MK,213.135.160.0,19,ipv4
MK,213.240.32.0,24,ipv4
MK,217.16.64.0,20,ipv4
MK,217.16.80.0,20,ipv4
MK,217.196.192.0,20,ipv4
