country,ip,prefixlength,version
ML,41.73.96.0,19,ipv4
ML,41.203.192.0,20,ipv4
ML,41.221.176.0,20,ipv4
ML,102.68.176.0,22,ipv4
ML,102.130.232.0,22,ipv4
ML,102.165.96.0,20,ipv4
ML,102.212.72.0,22,ipv4
ML,102.213.136.0,22,ipv4
ML,102.217.24.0,22,ipv4
ML,102.221.132.0,22,ipv4
ML,102.222.204.0,22,ipv4
ML,102.223.64.0,22,ipv4
ML,154.70.192.0,22,ipv4
ML,154.118.128.0,18,ipv4
ML,165.90.208.0,20,ipv4
ML,169.239.100.0,22,ipv4
ML,196.10.216.0,21,ipv4
ML,196.32.112.0,20,ipv4
ML,196.49.48.0,24,ipv4
ML,196.50.16.0,22,ipv4
ML,196.60.46.0,24,ipv4
ML,196.200.48.0,20,ipv4
ML,196.200.80.0,20,ipv4
ML,196.251.156.0,22,ipv4
ML,197.155.128.0,18,ipv4
ML,217.64.96.0,20,ipv4
ML,217.170.144.0,20,ipv4
