country,ip,prefixlength,version
MO,23.148.24.0,24,ipv4
MO,202.175.160.0,19,ipv4
MO,202.175.96.0,19,ipv4
MO,202.175.64.0,19,ipv4
MO,202.175.32.0,19,ipv4
MO,202.175.16.0,20,ipv4
MO,202.175.8.0,21,ipv4
MO,202.175.4.0,22,ipv4
MO,202.175.0.0,22,ipv4
MO,202.174.0.0,22,ipv4
MO,202.86.128.0,18,ipv4
MO,202.75.248.0,22,ipv4
MO,192.203.232.0,24,ipv4
MO,182.93.0.0,18,ipv4
MO,180.94.128.0,18,ipv4
MO,163.53.244.0,22,ipv4
MO,161.64.0.0,16,ipv4
MO,125.31.0.0,18,ipv4
MO,123.253.200.0,22,ipv4
MO,122.100.224.0,19,ipv4
MO,122.100.192.0,19,ipv4
MO,122.100.128.0,18,ipv4
MO,116.193.8.0,21,ipv4
MO,113.52.64.0,18,ipv4
MO,103.240.56.0,23,ipv4
MO,103.237.124.0,22,ipv4
MO,103.237.100.0,22,ipv4
MO,103.233.188.0,22,ipv4
MO,103.192.44.0,22,ipv4
MO,103.143.92.0,23,ipv4
MO,103.115.140.0,22,ipv4
MO,103.96.60.0,22,ipv4
MO,103.88.176.0,22,ipv4
MO,103.5.218.0,23,ipv4
MO,60.246.0.0,16,ipv4
MO,45.123.200.0,22,ipv4
MO,45.64.20.0,22,ipv4
MO,43.247.24.0,22,ipv4
MO,27.109.128.0,17,ipv4
