country,ip,prefixlength,version
MQ,5.102.72.0,21,ipv4
MQ,80.243.240.0,20,ipv4
MQ,82.197.96.0,19,ipv4
MQ,89.16.0.0,19,ipv4
MQ,92.49.64.0,18,ipv4
MQ,93.176.0.0,18,ipv4
MQ,94.124.152.0,21,ipv4
MQ,94.124.216.0,21,ipv4
MQ,94.198.176.0,21,ipv4
MQ,104.245.112.0,21,ipv4
MQ,104.249.191.0,24,ipv4
MQ,109.62.0.0,17,ipv4
MQ,109.203.224.0,19,ipv4
MQ,185.13.216.0,22,ipv4
MQ,185.14.99.0,24,ipv4
MQ,185.21.212.0,22,ipv4
MQ,185.60.232.0,22,ipv4
MQ,185.91.232.0,22,ipv4
MQ,188.115.64.0,18,ipv4
MQ,217.175.160.0,20,ipv4
MQ,217.175.176.0,20,ipv4
