Country,IP,PrefixLength,Version
MY,1.9.0.0,16,ipv4
MY,1.32.0.0,17,ipv4
MY,14.1.128.0,17,ipv4
MY,14.102.144.0,21,ipv4
MY,14.192.48.0,22,ipv4
MY,14.192.64.0,23,ipv4
MY,14.192.66.0,24,ipv4
MY,14.192.67.0,24,ipv4
MY,14.192.68.0,23,ipv4
MY,14.192.70.0,23,ipv4
MY,14.192.192.0,18,ipv4
MY,27.0.4.0,22,ipv4
MY,27.110.80.0,20,ipv4
MY,27.121.108.0,22,ipv4
MY,27.125.224.0,19,ipv4
MY,27.131.32.0,19,ipv4
MY,27.146.0.0,16,ipv4
MY,36.50.230.0,23,ipv4
MY,36.255.140.0,22,ipv4
MY,42.0.28.0,22,ipv4
MY,42.1.60.0,22,ipv4
MY,42.152.0.0,14,ipv4
MY,42.188.0.0,14,ipv4
MY,43.224.88.0,22,ipv4
MY,43.225.36.0,22,ipv4
MY,43.225.108.0,22,ipv4
MY,43.228.200.0,22,ipv4
MY,43.228.244.0,22,ipv4
MY,43.228.248.0,22,ipv4
MY,43.230.96.0,22,ipv4
MY,43.231.4.0,22,ipv4
MY,43.231.72.0,22,ipv4
MY,43.231.224.0,22,ipv4
MY,43.239.204.0,23,ipv4
MY,43.239.233.0,24,ipv4
MY,43.239.234.0,23,ipv4
MY,43.239.252.0,22,ipv4
MY,43.240.20.0,22,ipv4
MY,43.241.96.0,22,ipv4
MY,43.242.108.0,22,ipv4
MY,43.245.124.0,22,ipv4
MY,43.245.220.0,22,ipv4
MY,43.246.164.0,22,ipv4
MY,43.246.176.0,22,ipv4
MY,43.251.18.0,23,ipv4
MY,43.251.136.0,22,ipv4
MY,43.251.208.0,22,ipv4
MY,43.252.36.0,22,ipv4
MY,43.252.44.0,22,ipv4
MY,43.252.152.0,22,ipv4
MY,43.252.212.0,22,ipv4
MY,43.252.216.0,22,ipv4
MY,43.252.232.0,22,ipv4
MY,43.254.76.0,22,ipv4
MY,43.254.120.0,22,ipv4
MY,43.255.172.0,22,ipv4
MY,45.64.168.0,22,ipv4
MY,45.112.196.0,22,ipv4
MY,45.114.28.0,22,ipv4
MY,45.114.100.0,22,ipv4
MY,45.115.220.0,22,ipv4
MY,45.116.160.0,22,ipv4
MY,45.116.172.0,22,ipv4
MY,45.116.176.0,22,ipv4
MY,45.116.236.0,22,ipv4
MY,45.116.240.0,21,ipv4
MY,45.117.120.0,22,ipv4
MY,45.117.228.0,22,ipv4
MY,45.117.236.0,22,ipv4
MY,45.119.160.0,22,ipv4
MY,45.120.52.0,22,ipv4
MY,45.120.128.0,22,ipv4
MY,45.121.20.0,22,ipv4
MY,45.121.36.0,22,ipv4
MY,45.121.144.0,22,ipv4
MY,45.123.100.0,22,ipv4
MY,45.123.124.0,22,ipv4
MY,45.124.98.0,23,ipv4
