Country,IP,PrefixLength,Version
NA,41.63.192.0,18,ipv4
NA,41.182.0.0,16,ipv4
NA,41.190.84.0,22,ipv4
NA,41.190.96.0,19,ipv4
NA,41.205.128.0,19,ipv4
NA,41.219.64.0,18,ipv4
NA,41.223.80.0,22,ipv4
NA,102.69.212.0,22,ipv4
NA,102.203.124.0,24,ipv4
NA,102.204.80.0,22,ipv4
NA,102.204.180.0,22,ipv4
NA,102.206.108.0,22,ipv4
NA,102.209.196.0,22,ipv4
NA,102.209.244.0,22,ipv4
NA,102.213.184.0,22,ipv4
NA,102.214.132.0,22,ipv4
NA,102.214.212.0,22,ipv4
NA,102.215.104.0,22,ipv4
NA,105.232.0.0,16,ipv4
NA,154.0.192.0,18,ipv4
NA,164.160.108.0,22,ipv4
NA,196.3.94.0,24,ipv4
NA,196.12.10.0,24,ipv4
NA,196.20.0.0,19,ipv4
NA,196.44.128.0,19,ipv4
NA,196.46.28.0,24,ipv4
NA,196.49.2.0,24,ipv4
NA,196.216.164.0,22,ipv4
NA,196.216.207.0,24,ipv4
NA,196.223.18.0,24,ipv4
NA,196.223.35.0,24,ipv4
NA,197.188.0.0,16,ipv4
NA,197.233.0.0,16,ipv4
NA,197.243.128.0,17,ipv4
NA,204.152.14.0,23,ipv4
