country,ip,prefixlength,version
NI,207.248.86.0,24,ipv4
NI,201.131.115.0,24,ipv4
NI,201.131.66.0,24,ipv4
NI,200.106.247.0,24,ipv4
NI,200.85.160.0,20,ipv4
NI,200.62.96.0,19,ipv4
NI,200.62.64.0,19,ipv4
NI,200.11.30.0,24,ipv4
NI,200.10.205.0,24,ipv4
NI,200.9.192.0,24,ipv4
NI,200.9.188.0,22,ipv4
NI,200.9.187.0,24,ipv4
NI,200.6.55.0,24,ipv4
NI,200.1.152.0,24,ipv4
NI,192.136.44.0,22,ipv4
NI,192.136.42.0,23,ipv4
NI,192.107.104.0,24,ipv4
NI,191.103.112.0,20,ipv4
NI,191.102.48.0,21,ipv4
NI,191.98.240.0,20,ipv4
NI,191.98.238.0,24,ipv4
NI,191.98.236.0,23,ipv4
NI,191.98.232.0,22,ipv4
NI,191.98.224.0,21,ipv4
NI,190.212.128.0,17,ipv4
NI,190.212.64.0,18,ipv4
NI,190.212.0.0,18,ipv4
NI,190.184.64.0,18,ipv4
NI,190.184.0.0,18,ipv4
NI,190.181.128.0,18,ipv4
NI,190.143.240.0,20,ipv4
NI,190.124.32.0,21,ipv4
NI,190.107.208.0,22,ipv4
NI,190.106.48.0,20,ipv4
NI,190.106.0.0,19,ipv4
NI,186.76.0.0,15,ipv4
NI,186.1.0.0,18,ipv4
NI,170.246.152.0,22,ipv4
NI,170.84.132.0,22,ipv4
NI,170.80.16.0,22,ipv4
NI,165.98.0.0,16,ipv4
NI,161.0.32.0,19,ipv4
NI,152.231.32.0,20,ipv4
NI,143.202.252.0,22,ipv4
NI,143.137.24.0,22,ipv4
NI,138.185.104.0,22,ipv4
NI,138.185.28.0,22,ipv4
NI,138.117.4.0,22,ipv4
NI,138.97.160.0,22,ipv4
NI,131.255.16.0,24,ipv4
NI,45.238.28.0,22,ipv4
NI,45.182.142.0,24,ipv4
NI,45.170.224.0,22,ipv4
NI,45.5.216.0,22,ipv4
