Country,IP,PrefixLength,Version
NP,27.34.0.0,17,ipv4
NP,27.111.16.0,20,ipv4
NP,36.0.4.0,22,ipv4
NP,36.50.148.0,23,ipv4
NP,36.252.0.0,15,ipv4
NP,43.228.192.0,22,ipv4
NP,43.231.208.0,22,ipv4
NP,43.243.96.0,22,ipv4
NP,43.245.84.0,22,ipv4
NP,43.245.92.0,22,ipv4
NP,43.250.48.0,22,ipv4
NP,45.64.114.0,24,ipv4
NP,45.64.115.0,24,ipv4
NP,45.64.160.0,22,ipv4
NP,45.115.216.0,22,ipv4
NP,45.116.20.0,22,ipv4
NP,45.117.152.0,23,ipv4
NP,45.121.32.0,22,ipv4
NP,45.123.220.0,22,ipv4
NP,49.126.0.0,16,ipv4
NP,49.236.212.0,22,ipv4
NP,49.244.0.0,16,ipv4
NP,72.9.128.0,20,ipv4
NP,101.251.4.0,22,ipv4
NP,103.1.92.0,22,ipv4
NP,103.5.150.0,24,ipv4
NP,103.5.228.0,23,ipv4
NP,103.10.28.0,22,ipv4
NP,103.12.56.0,23,ipv4
NP,103.13.194.0,23,ipv4
NP,103.16.208.0,23,ipv4
NP,103.28.84.0,22,ipv4
NP,103.29.114.0,24,ipv4
NP,103.37.186.0,23,ipv4
NP,103.38.196.0,22,ipv4
NP,103.38.248.0,23,ipv4
NP,103.41.172.0,22,ipv4
NP,103.43.168.0,22,ipv4
NP,103.48.88.0,24,ipv4
NP,103.51.16.0,22,ipv4
NP,103.52.28.0,22,ipv4
NP,103.57.98.0,23,ipv4
NP,103.58.144.0,23,ipv4
NP,103.65.200.0,23,ipv4
NP,103.69.124.0,22,ipv4
NP,103.71.242.0,23,ipv4
NP,103.74.14.0,23,ipv4
NP,103.75.48.0,23,ipv4
NP,103.77.212.0,23,ipv4
NP,103.81.136.0,24,ipv4
NP,103.83.228.0,23,ipv4
NP,103.86.56.0,23,ipv4
NP,103.86.70.0,23,ipv4
NP,103.89.156.0,22,ipv4
NP,103.90.84.0,22,ipv4
NP,103.90.144.0,22,ipv4
NP,103.93.22.0,23,ipv4
NP,103.94.158.0,23,ipv4
NP,103.94.252.0,22,ipv4
NP,103.95.16.0,22,ipv4
NP,103.96.32.0,22,ipv4
NP,103.96.244.0,22,ipv4
NP,103.98.128.0,22,ipv4
NP,103.101.36.0,22,ipv4
NP,103.101.236.0,23,ipv4
NP,103.101.252.0,24,ipv4
NP,103.102.36.0,23,ipv4
NP,103.104.28.0,22,ipv4
NP,103.104.197.0,24,ipv4
NP,103.104.232.0,22,ipv4
NP,103.106.146.0,23,ipv4
NP,103.107.48.0,23,ipv4
NP,103.109.228.0,22,ipv4
NP,103.111.79.0,24,ipv4
NP,103.114.24.0,22,ipv4
NP,103.115.167.0,24,ipv4
NP,103.116.48.0,24,ipv4
NP,103.121.172.0,23,ipv4
NP,103.123.60.0,23,ipv4
NP,103.123.84.0,24,ipv4
NP,103.124.96.0,22,ipv4
NP,103.125.25.0,24,ipv4
NP,103.125.26.0,23,ipv4
NP,103.126.244.0,22,ipv4
NP,103.127.48.0,23,ipv4
NP,103.127.62.0,23,ipv4
NP,103.129.132.0,22,ipv4
NP,103.130.188.0,23,ipv4
NP,103.130.207.0,24,ipv4
NP,103.134.72.0,24,ipv4
NP,103.134.216.0,22,ipv4
NP,103.137.10.0,24,ipv4
NP,103.137.200.0,22,ipv4
NP,103.138.160.0,23,ipv4
NP,103.139.152.0,24,ipv4
NP,103.139.254.0,23,ipv4
NP,103.140.0.0,23,ipv4
NP,103.140.53.0,24,ipv4
NP,103.140.132.0,23,ipv4
NP,103.143.211.0,24,ipv4
NP,103.144.106.0,23,ipv4
NP,103.144.195.0,24,ipv4
NP,103.145.152.0,23,ipv4
NP,103.146.148.0,23,ipv4
NP,103.146.218.0,23,ipv4
NP,103.147.62.0,23,ipv4
NP,103.147.226.0,23,ipv4
NP,103.148.22.0,23,ipv4
NP,103.149.204.0,23,ipv4
NP,103.152.144.0,23,ipv4
NP,103.153.196.0,23,ipv4
NP,103.154.12.0,23,ipv4
NP,103.154.46.0,23,ipv4
NP,103.155.20.0,23,ipv4
NP,103.155.22.0,23,ipv4
NP,103.155.68.0,23,ipv4
NP,103.155.182.0,23,ipv4
NP,103.155.205.0,24,ipv4
NP,103.156.26.0,23,ipv4
NP,103.156.97.0,24,ipv4
NP,103.157.34.0,24,ipv4
NP,103.157.44.0,23,ipv4
NP,103.157.90.0,23,ipv4
NP,103.158.110.0,24,ipv4
NP,103.158.198.0,23,ipv4
NP,103.160.22.0,23,ipv4
NP,103.160.82.0,23,ipv4
NP,103.162.2.0,23,ipv4
NP,103.162.6.0,24,ipv4
NP,103.162.12.0,23,ipv4
NP,103.162.234.0,23,ipv4
NP,103.162.242.0,23,ipv4
NP,103.163.70.0,23,ipv4
NP,103.163.137.0,24,ipv4
NP,103.163.182.0,23,ipv4
NP,103.164.158.0,24,ipv4
NP,103.165.184.0,23,ipv4
NP,103.165.242.0,24,ipv4
NP,103.166.18.0,23,ipv4
NP,103.166.100.0,23,ipv4
NP,103.166.172.0,23,ipv4
NP,103.167.78.0,23,ipv4
NP,103.167.186.0,23,ipv4
NP,103.167.228.0,23,ipv4
NP,103.167.232.0,23,ipv4
NP,103.170.74.0,23,ipv4
NP,103.170.223.0,24,ipv4
NP,103.171.242.0,23,ipv4
NP,103.172.214.0,23,ipv4
NP,103.173.38.0,24,ipv4
NP,103.174.68.0,23,ipv4
NP,103.174.84.0,23,ipv4
NP,103.174.168.0,23,ipv4
NP,103.175.92.0,23,ipv4
NP,103.175.192.0,23,ipv4
NP,103.176.228.0,23,ipv4
NP,103.177.52.0,23,ipv4
NP,103.177.68.0,23,ipv4
NP,103.180.240.0,23,ipv4
NP,103.181.226.0,23,ipv4
NP,103.182.174.0,23,ipv4
NP,103.184.138.0,23,ipv4
NP,103.186.6.0,23,ipv4
NP,103.186.196.0,23,ipv4
NP,103.187.8.0,24,ipv4
NP,103.189.160.0,23,ipv4
NP,103.190.40.0,23,ipv4
NP,103.191.130.0,23,ipv4
NP,103.191.160.0,23,ipv4
NP,103.191.166.0,23,ipv4
NP,103.192.76.0,22,ipv4
NP,103.197.104.0,23,ipv4
NP,103.198.8.0,23,ipv4
NP,103.207.80.0,22,ipv4
NP,103.211.148.0,22,ipv4
NP,103.212.64.0,23,ipv4
NP,103.213.31.0,24,ipv4
NP,103.213.124.0,22,ipv4
NP,103.213.254.0,23,ipv4
NP,103.214.0.0,23,ipv4
NP,103.224.106.0,24,ipv4
NP,103.225.244.0,22,ipv4
NP,103.232.152.0,22,ipv4
NP,103.232.228.0,22,ipv4
NP,103.233.56.0,22,ipv4
NP,103.233.182.0,24,ipv4
NP,103.235.196.0,22,ipv4
NP,103.243.100.0,23,ipv4
NP,103.246.64.0,23,ipv4
NP,103.250.132.0,23,ipv4
NP,103.250.135.0,24,ipv4
NP,103.254.180.0,22,ipv4
NP,103.254.184.0,22,ipv4
NP,103.255.126.0,24,ipv4
NP,110.34.0.0,19,ipv4
NP,110.44.112.0,20,ipv4
NP,111.119.32.0,19,ipv4
NP,113.199.128.0,17,ipv4
NP,116.66.192.0,21,ipv4
NP,116.68.208.0,21,ipv4
NP,116.90.224.0,20,ipv4
NP,117.103.118.0,23,ipv4
NP,117.121.224.0,20,ipv4
NP,118.91.160.0,20,ipv4
NP,120.89.96.0,19,ipv4
NP,124.41.192.0,18,ipv4
NP,139.5.68.0,22,ipv4
NP,139.5.72.0,22,ipv4
NP,150.107.106.0,23,ipv4
NP,150.107.204.0,22,ipv4
NP,157.10.100.0,23,ipv4
NP,157.15.58.0,23,ipv4
NP,160.22.164.0,23,ipv4
NP,160.30.32.0,23,ipv4
NP,160.30.132.0,24,ipv4
NP,160.30.180.0,23,ipv4
NP,160.250.254.0,23,ipv4
NP,161.248.156.0,23,ipv4
NP,161.248.216.0,23,ipv4
NP,163.47.148.0,22,ipv4
NP,163.53.24.0,23,ipv4
NP,163.61.40.0,23,ipv4
NP,163.61.118.0,23,ipv4
NP,163.61.248.0,23,ipv4
NP,163.223.98.0,23,ipv4
NP,163.223.234.0,23,ipv4
NP,163.227.8.0,23,ipv4
NP,163.227.170.0,23,ipv4
NP,165.99.2.0,23,ipv4
NP,165.99.60.0,23,ipv4
NP,165.101.164.0,23,ipv4
NP,182.50.64.0,22,ipv4
NP,182.54.156.0,22,ipv4
NP,182.93.64.0,19,ipv4
NP,183.91.132.0,22,ipv4
NP,202.45.144.0,22,ipv4
NP,202.50.76.0,23,ipv4
NP,202.51.0.0,22,ipv4
NP,202.51.64.0,21,ipv4
NP,202.51.72.0,23,ipv4
NP,202.51.74.0,23,ipv4
NP,202.51.76.0,23,ipv4
NP,202.51.79.0,24,ipv4
NP,202.51.80.0,23,ipv4
NP,202.51.82.0,23,ipv4
NP,202.51.86.0,24,ipv4
NP,202.51.88.0,23,ipv4
NP,202.51.92.0,23,ipv4
NP,202.51.94.0,24,ipv4
NP,202.51.95.0,24,ipv4
NP,202.52.0.0,23,ipv4
NP,202.53.0.0,22,ipv4
NP,202.63.240.0,21,ipv4
NP,202.70.64.0,19,ipv4
NP,202.79.32.0,19,ipv4
NP,202.94.66.0,24,ipv4
NP,202.129.248.0,22,ipv4
NP,202.166.192.0,19,ipv4
NP,203.9.210.0,23,ipv4
NP,203.78.165.0,24,ipv4
NP,203.119.90.0,23,ipv4
NP,203.134.250.0,23,ipv4
NP,212.32.30.0,23,ipv4
NP,212.32.40.0,23,ipv4
NP,212.32.46.0,23,ipv4
NP,212.32.52.0,23,ipv4
