country,ip,prefixlength,version
OM,5.21.0.0,16,ipv4
OM,5.32.192.0,18,ipv4
OM,5.36.0.0,15,ipv4
OM,5.102.176.0,21,ipv4
OM,5.162.0.0,16,ipv4
OM,37.28.0.0,17,ipv4
OM,37.40.0.0,15,ipv4
OM,37.200.128.0,17,ipv4
OM,45.95.244.0,22,ipv4
OM,45.131.140.0,22,ipv4
OM,45.135.88.0,22,ipv4
OM,45.140.104.0,22,ipv4
OM,45.148.200.0,22,ipv4
OM,46.40.192.0,18,ipv4
OM,46.255.56.0,21,ipv4
OM,62.61.160.0,19,ipv4
OM,62.231.192.0,18,ipv4
OM,77.83.60.0,22,ipv4
OM,78.111.32.0,20,ipv4
OM,82.178.0.0,16,ipv4
OM,84.242.32.0,20,ipv4
OM,85.154.0.0,16,ipv4
OM,91.132.64.0,22,ipv4
OM,94.176.16.0,20,ipv4
OM,94.185.0.0,18,ipv4
OM,96.9.128.0,19,ipv4
OM,134.0.128.0,17,ipv4
OM,141.105.168.0,21,ipv4
OM,145.255.64.0,18,ipv4
OM,148.151.0.0,16,ipv4
OM,178.20.16.0,21,ipv4
OM,185.1.191.0,24,ipv4
OM,185.6.220.0,22,ipv4
OM,185.27.88.0,22,ipv4
OM,185.29.140.0,22,ipv4
OM,185.53.240.0,22,ipv4
OM,185.64.24.0,22,ipv4
OM,185.69.0.0,24,ipv4
OM,185.112.104.0,22,ipv4
OM,185.123.148.0,22,ipv4
OM,185.143.64.0,22,ipv4
OM,185.186.204.0,22,ipv4
OM,185.200.124.0,22,ipv4
OM,185.201.100.0,22,ipv4
OM,185.226.124.0,22,ipv4
OM,185.233.168.0,22,ipv4
OM,185.255.204.0,22,ipv4
OM,188.65.24.0,21,ipv4
OM,188.66.128.0,17,ipv4
OM,188.135.0.0,17,ipv4
OM,188.140.128.0,17,ipv4
OM,193.3.37.0,24,ipv4
OM,193.56.120.0,22,ipv4
OM,193.203.254.0,24,ipv4
OM,194.26.102.0,24,ipv4
OM,195.245.85.0,24,ipv4
OM,199.48.224.0,24,ipv4
OM,206.167.33.0,24,ipv4
OM,212.72.0.0,19,ipv4
OM,212.146.160.0,19,ipv4
OM,213.202.0.0,19,ipv4
