Country,IP,PrefixLength,Version
PE,45.4.92.0,22,ipv4
PE,45.5.56.0,22,ipv4
PE,45.5.68.0,22,ipv4
PE,45.65.248.0,22,ipv4
PE,45.68.23.0,24,ipv4
PE,45.68.56.0,22,ipv4
PE,45.71.32.0,22,ipv4
PE,45.167.228.0,22,ipv4
PE,45.169.36.0,22,ipv4
PE,45.169.60.0,22,ipv4
PE,45.169.92.0,22,ipv4
PE,45.169.100.0,22,ipv4
PE,45.170.48.0,22,ipv4
PE,45.171.164.0,22,ipv4
PE,45.172.8.0,22,ipv4
PE,45.173.72.0,22,ipv4
PE,45.173.200.0,22,ipv4
PE,45.177.20.0,22,ipv4
PE,45.177.196.0,23,ipv4
PE,45.178.196.0,22,ipv4
PE,45.182.36.0,22,ipv4
PE,45.183.44.0,22,ipv4
PE,45.183.106.0,23,ipv4
PE,45.183.108.0,22,ipv4
PE,45.185.186.0,23,ipv4
PE,45.186.252.0,22,ipv4
PE,45.189.108.0,22,ipv4
PE,45.189.116.0,23,ipv4
PE,45.189.118.0,24,ipv4
PE,45.189.188.0,22,ipv4
PE,45.190.170.0,24,ipv4
PE,45.191.96.0,22,ipv4
PE,45.191.196.0,22,ipv4
PE,45.224.144.0,22,ipv4
PE,45.226.68.0,22,ipv4
PE,45.227.16.0,22,ipv4
PE,45.230.196.0,22,ipv4
PE,45.230.248.0,22,ipv4
PE,45.231.32.0,22,ipv4
PE,45.231.72.0,22,ipv4
PE,45.231.80.0,22,ipv4
PE,45.232.104.0,22,ipv4
PE,45.232.148.0,22,ipv4
PE,45.232.192.0,22,ipv4
PE,45.236.44.0,22,ipv4
PE,45.236.172.0,23,ipv4
PE,45.236.228.0,22,ipv4
PE,45.237.172.0,22,ipv4
PE,45.239.22.0,23,ipv4
PE,131.161.100.0,22,ipv4
PE,131.255.136.0,22,ipv4
PE,131.255.192.0,22,ipv4
PE,132.157.0.0,16,ipv4
PE,132.184.0.0,16,ipv4
PE,132.191.0.0,16,ipv4
PE,132.251.0.0,17,ipv4
PE,132.251.128.0,18,ipv4
PE,132.251.192.0,19,ipv4
PE,132.255.0.0,22,ipv4
PE,138.36.144.0,23,ipv4
PE,138.36.147.0,24,ipv4
PE,138.59.64.0,22,ipv4
PE,138.117.160.0,22,ipv4
PE,138.185.116.0,22,ipv4
PE,138.186.76.0,22,ipv4
PE,138.204.12.0,22,ipv4
PE,138.204.168.0,22,ipv4
PE,143.0.248.0,22,ipv4
PE,143.137.144.0,22,ipv4
PE,143.208.132.0,22,ipv4
PE,148.102.0.0,17,ipv4
PE,148.222.112.0,21,ipv4
PE,148.222.228.0,23,ipv4
PE,161.132.0.0,16,ipv4
PE,164.163.184.0,23,ipv4
PE,164.163.241.0,24,ipv4
PE,167.249.8.0,22,ipv4
PE,167.250.204.0,22,ipv4
PE,168.0.12.0,22,ipv4
PE,168.121.44.0,22,ipv4
PE,168.121.48.0,22,ipv4
PE,168.121.220.0,22,ipv4
PE,168.121.236.0,22,ipv4
PE,168.181.8.0,22,ipv4
PE,168.194.100.0,22,ipv4
PE,168.205.132.0,22,ipv4
PE,170.0.80.0,22,ipv4
PE,170.0.232.0,22,ipv4
PE,170.79.36.0,22,ipv4
PE,170.81.240.0,22,ipv4
PE,170.82.96.0,22,ipv4
PE,170.231.80.0,22,ipv4
PE,170.231.168.0,22,ipv4
PE,170.233.144.0,22,ipv4
PE,170.239.100.0,22,ipv4
PE,170.246.56.0,22,ipv4
PE,170.254.232.0,22,ipv4
PE,177.53.152.0,22,ipv4
PE,177.67.250.0,24,ipv4
PE,177.73.254.0,23,ipv4
PE,177.91.248.0,21,ipv4
PE,177.126.48.0,22,ipv4
PE,177.128.202.0,23,ipv4
PE,177.221.144.0,22,ipv4
PE,179.0.96.0,22,ipv4
PE,179.1.144.0,20,ipv4
PE,179.6.0.0,16,ipv4
PE,179.7.0.0,16,ipv4
PE,179.43.80.0,20,ipv4
PE,179.43.96.0,22,ipv4
PE,179.48.52.0,22,ipv4
PE,179.49.64.0,21,ipv4
PE,179.49.156.0,22,ipv4
PE,179.51.160.0,22,ipv4
PE,179.60.204.0,22,ipv4
PE,179.63.4.0,22,ipv4
PE,181.64.0.0,15,ipv4
PE,181.66.0.0,15,ipv4
PE,181.174.224.0,22,ipv4
PE,181.176.0.0,16,ipv4
PE,181.177.224.0,19,ipv4
PE,181.199.128.0,20,ipv4
PE,181.224.36.0,22,ipv4
PE,181.224.200.0,22,ipv4
PE,181.224.220.0,23,ipv4
PE,181.224.224.0,19,ipv4
PE,181.233.8.0,22,ipv4
PE,181.233.24.0,22,ipv4
PE,181.233.152.0,23,ipv4
PE,181.233.192.0,18,ipv4
PE,186.64.124.0,22,ipv4
PE,186.148.196.0,22,ipv4
PE,186.160.0.0,14,ipv4
PE,187.86.164.0,22,ipv4
PE,187.102.208.0,22,ipv4
PE,190.8.128.0,19,ipv4
PE,190.12.64.0,20,ipv4
PE,190.12.80.0,20,ipv4
PE,190.40.0.0,17,ipv4
PE,190.40.128.0,17,ipv4
PE,190.41.0.0,17,ipv4
PE,190.41.128.0,17,ipv4
PE,190.42.0.0,15,ipv4
PE,190.52.112.0,20,ipv4
PE,190.81.0.0,18,ipv4
PE,190.81.64.0,18,ipv4
PE,190.81.128.0,17,ipv4
PE,190.83.60.0,23,ipv4
PE,190.89.28.0,24,ipv4
PE,190.102.128.0,19,ipv4
PE,190.105.240.0,20,ipv4
PE,190.107.180.0,22,ipv4
PE,190.108.80.0,21,ipv4
PE,190.108.88.0,21,ipv4
PE,190.113.192.0,19,ipv4
PE,190.114.248.0,22,ipv4
PE,190.116.0.0,15,ipv4
PE,190.118.0.0,16,ipv4
PE,190.119.0.0,16,ipv4
PE,190.151.133.0,24,ipv4
PE,190.187.0.0,17,ipv4
PE,190.187.128.0,17,ipv4
PE,190.222.0.0,16,ipv4
PE,190.223.0.0,16,ipv4
PE,190.232.0.0,15,ipv4
PE,190.234.0.0,15,ipv4
PE,190.236.0.0,15,ipv4
PE,190.238.0.0,15,ipv4
PE,191.52.212.0,22,ipv4
PE,191.97.20.0,22,ipv4
PE,191.97.48.0,20,ipv4
PE,191.97.100.0,22,ipv4
PE,191.98.128.0,18,ipv4
PE,192.75.4.0,24,ipv4
PE,192.102.84.0,24,ipv4
PE,192.141.40.0,22,ipv4
PE,192.141.98.0,23,ipv4
PE,200.0.107.0,24,ipv4
PE,200.0.110.0,24,ipv4
PE,200.0.118.0,23,ipv4
PE,200.0.136.0,24,ipv4
PE,200.0.142.0,24,ipv4
PE,200.0.164.0,24,ipv4
PE,200.0.165.0,24,ipv4
PE,200.0.166.0,23,ipv4
PE,200.0.168.0,24,ipv4
PE,200.0.169.0,24,ipv4
PE,200.0.170.0,23,ipv4
PE,200.0.172.0,23,ipv4
PE,200.1.176.0,21,ipv4
PE,200.3.195.0,24,ipv4
PE,200.3.241.0,24,ipv4
PE,200.4.192.0,18,ipv4
PE,200.10.64.0,19,ipv4
PE,200.10.130.0,23,ipv4
PE,200.10.188.0,24,ipv4
PE,200.10.250.0,24,ipv4
PE,200.11.32.0,24,ipv4
PE,200.11.34.0,23,ipv4
PE,200.11.36.0,24,ipv4
PE,200.11.37.0,24,ipv4
PE,200.11.38.0,23,ipv4
PE,200.11.48.0,20,ipv4
PE,200.16.0.0,21,ipv4
PE,200.24.160.0,19,ipv4
PE,200.31.96.0,20,ipv4
PE,200.31.112.0,20,ipv4
PE,200.36.156.0,23,ipv4
PE,200.37.0.0,16,ipv4
PE,200.39.56.0,22,ipv4
PE,200.39.148.0,23,ipv4
PE,200.39.152.0,22,ipv4
PE,200.48.0.0,16,ipv4
PE,200.49.240.0,22,ipv4
PE,200.60.0.0,17,ipv4
PE,200.60.128.0,18,ipv4
PE,200.60.192.0,19,ipv4
PE,200.60.224.0,19,ipv4
PE,200.62.128.0,18,ipv4
PE,200.62.192.0,20,ipv4
PE,200.62.208.0,20,ipv4
PE,200.62.224.0,19,ipv4
PE,200.89.0.0,20,ipv4
PE,200.89.16.0,20,ipv4
PE,200.106.0.0,18,ipv4
PE,200.106.64.0,18,ipv4
PE,200.107.128.0,18,ipv4
PE,200.108.96.0,20,ipv4
PE,200.110.0.0,19,ipv4
PE,200.110.32.0,20,ipv4
PE,200.115.20.0,22,ipv4
PE,200.121.0.0,17,ipv4
PE,200.121.128.0,17,ipv4
PE,200.123.0.0,19,ipv4
PE,200.123.62.0,24,ipv4
PE,200.123.228.0,22,ipv4
PE,200.126.52.0,22,ipv4
PE,200.126.56.0,21,ipv4
PE,200.192.105.0,24,ipv4
PE,200.215.228.0,22,ipv4
PE,200.215.248.0,22,ipv4
PE,200.233.44.0,22,ipv4
PE,201.130.24.0,22,ipv4
PE,201.131.67.0,24,ipv4
PE,201.131.121.0,24,ipv4
PE,201.131.220.0,22,ipv4
PE,201.150.60.0,22,ipv4
PE,201.158.52.0,22,ipv4
PE,201.230.0.0,17,ipv4
PE,201.230.128.0,17,ipv4
PE,201.240.0.0,17,ipv4
PE,201.240.128.0,17,ipv4
PE,204.87.205.0,24,ipv4
PE,206.223.130.0,24,ipv4
PE,207.248.121.0,24,ipv4
PE,207.248.123.0,24,ipv4
PE,209.45.0.0,17,ipv4
PE,216.244.128.0,18,ipv4
