Country,IP,PrefixLength,Version
PH,1.37.0.0,16,ipv4
PH,2.58.228.0,22,ipv4
PH,14.102.168.0,22,ipv4
PH,27.49.0.0,16,ipv4
PH,27.50.0.0,22,ipv4
PH,27.106.216.0,21,ipv4
PH,27.108.0.0,16,ipv4
PH,27.109.64.0,19,ipv4
PH,27.110.128.0,17,ipv4
PH,27.126.152.0,22,ipv4
PH,36.50.30.0,24,ipv4
PH,36.50.58.0,24,ipv4
PH,36.50.110.0,23,ipv4
PH,36.255.60.0,22,ipv4
PH,36.255.106.0,23,ipv4
PH,36.255.244.0,22,ipv4
PH,43.224.188.0,22,ipv4
PH,43.226.4.0,22,ipv4
PH,43.231.228.0,22,ipv4
PH,43.243.124.0,22,ipv4
PH,43.247.16.0,22,ipv4
PH,43.250.224.0,22,ipv4
PH,43.251.64.0,22,ipv4
PH,43.254.60.0,22,ipv4
PH,43.255.216.0,22,ipv4
PH,45.64.80.0,22,ipv4
PH,45.64.120.0,22,ipv4
PH,45.112.82.0,23,ipv4
PH,45.114.20.0,22,ipv4
PH,45.114.132.0,22,ipv4
PH,45.115.224.0,22,ipv4
PH,45.118.36.0,22,ipv4
PH,45.120.108.0,22,ipv4
PH,45.124.16.0,22,ipv4
PH,45.124.56.0,22,ipv4
PH,45.125.248.0,22,ipv4
PH,45.126.84.0,22,ipv4
PH,45.127.164.0,22,ipv4
PH,45.249.226.0,24,ipv4
PH,45.250.156.0,22,ipv4
PH,45.251.24.0,22,ipv4
PH,49.144.0.0,13,ipv4
PH,49.157.0.0,16,ipv4
PH,58.69.0.0,16,ipv4
PH,58.71.0.0,17,ipv4
PH,58.97.160.0,19,ipv4
PH,61.9.0.0,19,ipv4
PH,61.9.32.0,19,ipv4
PH,61.9.64.0,19,ipv4
PH,61.9.96.0,19,ipv4
PH,61.14.192.0,21,ipv4
PH,61.28.128.0,18,ipv4
PH,61.245.0.0,19,ipv4
PH,61.245.120.0,22,ipv4
PH,64.224.21.0,24,ipv4
PH,64.224.96.0,19,ipv4
PH,64.224.128.0,20,ipv4
PH,64.226.56.0,21,ipv4
PH,82.100.184.0,21,ipv4
PH,87.121.117.0,24,ipv4
PH,95.87.112.0,21,ipv4
PH,103.1.116.0,22,ipv4
PH,103.3.80.0,22,ipv4
PH,103.5.0.0,22,ipv4
PH,103.5.4.0,22,ipv4
PH,103.5.60.0,22,ipv4
PH,103.6.89.0,24,ipv4
PH,103.6.96.0,22,ipv4
PH,103.6.104.0,24,ipv4
PH,103.6.181.0,24,ipv4
PH,103.7.146.0,24,ipv4
PH,103.7.224.0,24,ipv4
PH,103.10.152.0,22,ipv4
PH,103.10.176.0,23,ipv4
PH,103.10.178.0,23,ipv4
PH,103.10.200.0,22,ipv4
PH,103.11.40.0,22,ipv4
PH,103.11.112.0,22,ipv4
PH,103.12.88.0,22,ipv4
PH,103.13.134.0,24,ipv4
PH,103.13.182.0,24,ipv4
PH,103.13.184.0,23,ipv4
PH,103.14.60.0,22,ipv4
PH,103.14.194.0,24,ipv4
PH,103.16.168.0,22,ipv4
PH,103.17.20.0,22,ipv4
PH,103.17.148.0,23,ipv4
PH,103.18.64.0,22,ipv4
PH,103.18.228.0,22,ipv4
PH,103.19.16.0,24,ipv4
PH,103.19.32.0,22,ipv4
PH,103.21.12.0,22,ipv4
PH,103.21.168.0,22,ipv4
PH,103.22.156.0,22,ipv4
PH,103.23.94.0,24,ipv4
PH,103.25.10.0,23,ipv4
PH,103.25.176.0,22,ipv4
PH,103.25.198.0,23,ipv4
PH,103.25.220.0,24,ipv4
PH,103.26.36.0,22,ipv4
PH,103.27.122.0,23,ipv4
PH,103.28.202.0,23,ipv4
PH,103.29.20.0,22,ipv4
PH,103.29.250.0,23,ipv4
PH,103.30.8.0,23,ipv4
PH,103.31.72.0,22,ipv4
PH,103.36.16.0,22,ipv4
PH,103.37.48.0,22,ipv4
PH,103.38.151.0,24,ipv4
