Country,IP,PrefixLength,Version
PY,24.152.40.0,22,ipv4
PY,45.68.52.0,22,ipv4
PY,45.68.94.0,23,ipv4
PY,45.160.32.0,22,ipv4
PY,45.161.236.0,22,ipv4
PY,45.162.180.0,22,ipv4
PY,45.163.188.0,22,ipv4
PY,45.165.52.0,23,ipv4
PY,45.169.112.0,22,ipv4
PY,45.170.104.0,22,ipv4
PY,45.170.128.0,22,ipv4
PY,45.172.228.0,22,ipv4
PY,45.175.156.0,22,ipv4
PY,45.176.86.0,23,ipv4
PY,45.177.16.0,22,ipv4
PY,45.177.204.0,22,ipv4
PY,45.178.48.0,22,ipv4
PY,45.179.152.0,22,ipv4
PY,45.179.192.0,22,ipv4
PY,45.180.114.0,24,ipv4
PY,45.180.180.0,22,ipv4
PY,45.182.128.0,22,ipv4
PY,45.183.60.0,22,ipv4
PY,45.184.108.0,22,ipv4
PY,45.184.156.0,22,ipv4
PY,45.190.92.0,22,ipv4
PY,45.190.188.0,22,ipv4
PY,45.191.88.0,22,ipv4
PY,45.226.180.0,22,ipv4
PY,45.228.60.0,22,ipv4
PY,45.228.136.0,22,ipv4
PY,45.229.168.0,22,ipv4
PY,45.234.84.0,23,ipv4
PY,45.234.86.0,24,ipv4
PY,45.235.120.0,22,ipv4
PY,45.236.244.0,22,ipv4
PY,45.237.44.0,22,ipv4
PY,45.238.36.0,22,ipv4
PY,45.239.44.0,22,ipv4
PY,131.72.24.0,22,ipv4
PY,131.100.184.0,22,ipv4
PY,131.108.192.0,22,ipv4
PY,131.161.252.0,22,ipv4
PY,131.196.192.0,22,ipv4
PY,132.255.164.0,22,ipv4
PY,138.59.164.0,22,ipv4
PY,138.59.224.0,22,ipv4
PY,138.99.100.0,22,ipv4
PY,138.122.160.0,22,ipv4
PY,138.186.60.0,22,ipv4
PY,143.202.208.0,22,ipv4
PY,143.255.140.0,22,ipv4
PY,160.238.184.0,22,ipv4
PY,167.250.36.0,22,ipv4
PY,167.250.236.0,23,ipv4
PY,168.90.176.0,22,ipv4
PY,168.194.240.0,22,ipv4
PY,168.195.224.0,22,ipv4
PY,170.82.144.0,22,ipv4
PY,170.83.240.0,22,ipv4
PY,170.84.172.0,22,ipv4
PY,170.233.216.0,22,ipv4
PY,170.238.16.0,22,ipv4
PY,170.245.132.0,23,ipv4
PY,170.254.216.0,22,ipv4
PY,177.11.254.0,23,ipv4
PY,177.250.0.0,15,ipv4
PY,179.0.26.0,24,ipv4
PY,179.63.8.0,22,ipv4
PY,179.109.100.0,22,ipv4
PY,179.189.218.0,23,ipv4
PY,181.1.152.0,22,ipv4
PY,181.40.0.0,16,ipv4
PY,181.85.208.0,22,ipv4
PY,181.85.212.0,22,ipv4
PY,181.91.84.0,22,ipv4
PY,181.94.197.0,24,ipv4
PY,181.94.208.0,23,ipv4
PY,181.94.210.0,24,ipv4
PY,181.94.212.0,22,ipv4
PY,181.94.216.0,21,ipv4
PY,181.94.224.0,21,ipv4
PY,181.94.232.0,22,ipv4
PY,181.94.236.0,23,ipv4
PY,181.94.238.0,24,ipv4
PY,181.94.241.0,24,ipv4
PY,181.94.242.0,23,ipv4
PY,181.94.244.0,22,ipv4
PY,181.94.248.0,23,ipv4
PY,181.94.250.0,24,ipv4
PY,181.103.0.0,20,ipv4
PY,181.120.0.0,14,ipv4
PY,181.124.0.0,14,ipv4
PY,181.174.160.0,22,ipv4
PY,181.232.156.0,22,ipv4
PY,181.232.188.0,23,ipv4
PY,181.233.100.0,22,ipv4
PY,181.233.158.0,24,ipv4
PY,186.0.188.0,22,ipv4
PY,186.2.192.0,19,ipv4
PY,186.2.224.0,20,ipv4
PY,186.16.0.0,17,ipv4
PY,186.16.128.0,17,ipv4
PY,186.17.0.0,16,ipv4
PY,190.2.192.0,20,ipv4
PY,190.23.0.0,17,ipv4
PY,190.23.128.0,17,ipv4
PY,190.52.128.0,19,ipv4
PY,190.52.160.0,19,ipv4
PY,190.83.112.0,22,ipv4
PY,190.93.176.0,22,ipv4
PY,190.93.184.0,22,ipv4
PY,190.103.188.0,24,ipv4
PY,190.104.128.0,18,ipv4
PY,190.110.226.0,23,ipv4
PY,190.110.230.0,23,ipv4
PY,190.110.246.0,23,ipv4
PY,190.112.168.0,22,ipv4
PY,190.112.208.0,21,ipv4
PY,190.113.92.0,22,ipv4
PY,190.114.224.0,21,ipv4
PY,190.121.160.0,20,ipv4
PY,190.128.128.0,18,ipv4
PY,190.128.192.0,18,ipv4
PY,190.211.240.0,22,ipv4
PY,191.97.120.0,21,ipv4
PY,192.231.116.0,24,ipv4
PY,200.1.200.0,21,ipv4
PY,200.3.248.0,21,ipv4
PY,200.7.14.0,24,ipv4
PY,200.9.4.0,22,ipv4
PY,200.10.141.0,24,ipv4
PY,200.10.228.0,22,ipv4
PY,200.12.146.0,24,ipv4
PY,200.26.176.0,21,ipv4
PY,200.50.156.0,22,ipv4
PY,200.61.224.0,20,ipv4
PY,200.85.32.0,20,ipv4
PY,200.85.48.0,20,ipv4
PY,200.108.128.0,20,ipv4
PY,200.115.16.0,24,ipv4
PY,200.115.17.0,24,ipv4
PY,200.123.36.0,23,ipv4
PY,200.124.120.0,24,ipv4
PY,201.131.51.0,24,ipv4
PY,201.217.0.0,19,ipv4
PY,201.217.32.0,19,ipv4
PY,201.220.25.0,24,ipv4
PY,201.222.48.0,21,ipv4
PY,203.20.86.0,24,ipv4
