Country,IP,PrefixLength,Version
RE,5.57.96.0,19,ipv4
RE,41.213.128.0,17,ipv4
RE,41.242.124.0,22,ipv4
RE,62.61.192.0,18,ipv4
RE,78.108.224.0,20,ipv4
RE,80.69.208.0,20,ipv4
RE,102.35.0.0,16,ipv4
RE,102.135.224.0,20,ipv4
RE,102.213.8.0,22,ipv4
RE,109.122.128.0,18,ipv4
RE,129.122.64.0,18,ipv4
RE,139.26.0.0,16,ipv4
RE,154.67.0.0,17,ipv4
RE,154.67.128.0,17,ipv4
RE,164.160.68.0,22,ipv4
RE,164.160.224.0,20,ipv4
RE,165.90.128.0,18,ipv4
RE,165.169.0.0,16,ipv4
RE,168.253.128.0,18,ipv4
RE,185.147.224.0,22,ipv4
RE,185.161.8.0,22,ipv4
RE,185.165.32.0,22,ipv4
RE,193.56.203.0,24,ipv4
RE,213.55.0.0,18,ipv4
