country,ip,prefixlength,version
SD,212.0.128.0,19,ipv4
SD,197.254.224.0,19,ipv4
SD,197.254.192.0,19,ipv4
SD,197.252.0.0,16,ipv4
SD,197.251.0.0,17,ipv4
SD,197.208.0.0,15,ipv4
SD,196.223.152.0,21,ipv4
SD,196.223.20.0,24,ipv4
SD,196.202.128.0,19,ipv4
SD,196.49.66.0,24,ipv4
SD,196.29.160.0,19,ipv4
SD,196.1.192.0,18,ipv4
SD,155.196.0.0,16,ipv4
SD,154.96.0.0,13,ipv4
SD,105.238.0.0,15,ipv4
SD,102.220.152.0,22,ipv4
SD,102.218.99.0,24,ipv4
SD,102.218.68.0,22,ipv4
SD,102.210.236.0,22,ipv4
SD,102.181.192.0,19,ipv4
SD,102.181.128.0,18,ipv4
SD,102.181.0.0,17,ipv4
SD,102.143.128.0,17,ipv4
SD,102.130.248.0,21,ipv4
SD,102.120.0.0,13,ipv4
SD,62.12.96.0,20,ipv4
SD,41.240.0.0,15,ipv4
SD,41.223.200.0,22,ipv4
SD,41.223.160.0,22,ipv4
SD,41.218.0.0,18,ipv4
SD,41.209.64.0,18,ipv4
SD,41.202.160.0,19,ipv4
SD,41.95.0.0,16,ipv4
SD,41.78.108.0,22,ipv4
SD,41.67.0.0,18,ipv4
