country,ip,prefixlength,version
SM,194.0.27.0,24,ipv4
SM,94.232.112.0,21,ipv4
SM,91.234.215.0,24,ipv4
SM,91.223.220.0,24,ipv4
SM,194.183.64.0,19,ipv4
SM,192.145.48.0,22,ipv4
SM,185.168.168.0,22,ipv4
SM,185.146.128.0,22,ipv4
SM,185.86.60.0,22,ipv4
SM,185.62.32.0,22,ipv4
SM,185.45.68.0,22,ipv4
SM,185.45.40.0,22,ipv4
SM,185.21.132.0,24,ipv4
SM,185.21.116.0,22,ipv4
SM,109.235.104.0,21,ipv4
SM,109.233.80.0,21,ipv4
SM,89.186.32.0,19,ipv4
SM,77.242.208.0,20,ipv4
SM,45.65.80.0,22,ipv4
SM,31.193.32.0,21,ipv4
